               ID       Field_RA      Field_Dec        Cand_RA       Cand_Dec        SNID     CandCCD    
          523.D.a     173.243143     +13.486186     172.910267     +14.076265     2021dha           9    
          418.F.a     162.238815      +0.364871     162.600631      +0.926922     2021dev          11    
          575.B.a     178.488510     +24.629617     178.648724     +25.383441     2021ckc           6    
    376.2020esm.a     211.316737      -7.374202     211.505891      -7.772315     2021cjb          48    
         1511.B.a     124.365277     +10.492781     124.553788     +10.890245     2021cym          16    
          474.E.a     185.871629      +3.175669     186.381320      +3.437056     2021dgu          23    
          523.C.a     173.895752      +8.613094     173.736066      +9.038658     2021dib          15    
          577.B.a     194.037770     +21.387090     194.198754     +21.647986     2021dhg          22    
          577.A.a     196.187961     +29.276518     196.348945     +29.509636     2021dch          22    
          525.D.a     183.678371     +13.235346     183.692940     +13.331372     2021chy          28    
            415.B     133.714302      -0.538301     134.077946      -0.442142     2021dov          29    
            477.F     216.522959     +15.593446     216.886787     +15.524897     2021dam          36    
            674.E     210.891110     +27.887453     211.052733     +27.626144     2021dep          42    
            415.A     123.118545     -12.019660     123.454596     -12.115986     2021cyn          36    
            415.A     129.507492      -1.339554     129.871321      -1.408103     2021ddh          36    
            632.C     241.864306     +25.745045     242.025929     +25.483736     2021dcu          42    
            428.B     223.440154      +3.770551     223.279096      +3.537253     2021dlb          41    
