SNID RACand DecCand ID CandCCD
2021dha 172.910267 +14.0762645 523.D.a 9
2021dev 162.600631 +0.9269217 418.F.a  11
2021ckc 178.648724 +25.3834408 575.B.a 6
2021cjb 211.505891 -7.7723151 376.2020esm.a 48
2021cym 124.553788 +10.8902450 1511.B.a 16
2021dgu 186.381320 +3.4370556 474.E.a 23
2021dib 173.736066 +9.0386583 523.C.a 15
2021dhg 194.198754 +21.6479861 577.B.a 22
2021dch 196.348945 +29.5096361 577.A.a 22
2021chy 183.69294 +13.3313722 525.D.a 28
2021dov 134.07794583333333 -0.44214194444444443 415.B 29
2021dam 216.88678749999997 15.524897222222224 477.F 36
2021dep 211.0527333333333 27.626144444444446 674.E 42
2021cyn 123.45459583333333 -12.115986111111111 415.A 36
2021ddh 129.87132083333333 -1.4081027777777777 415.A 36
2021dcu 242.02592916666663 25.483736111111114 632.C 42
2021dlb 223.2790958333333 3.537252777777778 428.B 41
