              ID            RA           Dec   RACand         DecCand       Notes 
         523.D.a    173.375886    +13.538246   172.910267    +14.0762645    2021dha
         418.F.a    162.205174     +0.348084   162.600631     +0.9269217    2021dev
         403.D.a     52.093869     +0.140225    52.200620     +0.9187038    2021ctk
         253.B.a     52.142616    -20.354317    52.069189    -20.2237010    2021cxr
         575.B.a    178.620162    +24.625125   178.648724    +25.3834408    2021ckc
         401.B.a     37.932886     +1.641360    37.965368     +2.0502012    2021cjf
   376.2020esm.a    211.415586     -7.652090   211.505891     -7.7723151    2021cjb
         353.F.a     67.338019     -6.564764    67.439363     -5.9967529    2021ccy
        1511.B.a    124.468209    +10.483320   124.553788    +10.8902450    2021cym
         474.E.a    186.023769     +3.155637   186.381320     +3.4370556    2021dgu
         523.C.a    173.677382     +9.016230   173.736066     +9.0386583    2021dib
         577.B.a    194.170947    +21.419442   194.198754    +21.6479861    2021dhg
         577.A.a    196.339769    +29.207647   196.348945    +29.5096361    2021dch
         525.B.a    189.300181     +9.806174   NaN             NaN          Virgo
         525.B.b    186.933303     +9.891754   NaN             NaN          Virgo
         525.A.a    186.303468    +14.485903   NaN             NaN          Virgo
         525.A.b    188.544517    +14.510918   NaN             NaN          Virgo
         525.C.a    184.484566     +9.733596   NaN             NaN          Virgo
         525.C.b    191.506232    +12.200376   NaN             NaN          Virgo
         525.D.a    183.942876    +14.540017   183.69294     +13.3313722    2021chy
         525.D.b    184.171759    +12.165107   NaN             NaN          Virgo
         525.E.a    186.577951    +12.265381   NaN             NaN          Virgo
         525.E.b    188.962017    +12.143413   NaN             NaN          Virgo
         525.F.a    184.834545     +6.055907   NaN             NaN          Virgo
         525.F.b    187.782791     +7.203067   NaN             NaN          Virgo



