  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff            Object                   utdate ut_decimal  twi     program  blockID
 972547   91.5 -29.8  23:52   r     5  1.00  1.05  2.79   0.10  0.06          pointing  2021-03-09T23:52:00.000    -0.1333    3  TECHSETUP1        1
 972548   91.5 -29.8  23:55   r    30  1.00  1.12  2.25   0.12  0.09          pointing  2021-03-09T23:55:00.000    -0.0833    3  TECHSETUP1        1
 972549  131.0   2.6  23:59  N7    60  1.44   NaN   NaN    NaN   NaN      checksky_001  2021-03-09T23:59:00.000    -0.0167    3    UNKNOWN1        2
 972550  131.0   2.6  00:04  N7    60  1.42   NaN   NaN    NaN   NaN      checksky_002  2021-03-10T00:04:00.000     0.0667    2    UNKNOWN1        3
 972551  131.0   2.6  00:11  N7    60  1.40   NaN   NaN    NaN   NaN      checksky_003  2021-03-10T00:11:00.000     0.1833    2    UNKNOWN1        3
 972552  131.0   2.6  00:13  N7    60  1.39   NaN   NaN    NaN   NaN       1minexp_000  2021-03-10T00:13:00.000     0.2167    2    UNKNOWN1        3
 972553  131.0   2.6  00:14  N7   600  1.39   NaN   NaN    NaN   NaN  GAMA_J084407.09+  2021-03-10T00:14:00.000     0.2333    1    UNKNOWN1        4
 972554  131.3   2.5  00:25  N7   600  1.35   NaN   NaN    NaN   NaN  GAMA_J084517.73+  2021-03-10T00:25:00.000     0.4167    1    UNKNOWN1        4
 972555  131.6   2.5  00:35  N7   600  1.32   NaN   NaN    NaN   NaN  GAMA_J084628.72+  2021-03-10T00:35:00.000     0.5833    0    UNKNOWN1        5
 972556  131.9   2.5  00:46  N7   600  1.30   NaN   NaN    NaN   NaN  GAMA_J084739.71+  2021-03-10T00:46:00.000     0.7667    0    UNKNOWN1        5
 972557  130.1   4.2  00:56  N7   600  1.28   NaN   NaN    NaN   NaN  GAMA_J084018.35+  2021-03-10T00:56:00.000     0.9333    0    UNKNOWN1        5
 972558  132.6   2.6  01:07  N7   600  1.26   NaN   NaN    NaN   NaN  GAMA_J085030.35+  2021-03-10T01:07:00.000     1.1167    0    UNKNOWN1        5
 972559  132.9   2.5  01:17  N7   600  1.24   NaN   NaN    NaN   NaN  GAMA_J085140.96+  2021-03-10T01:17:00.000     1.2833    0    UNKNOWN1        5
 972560  135.1   0.9  01:28  N7   600  1.21   NaN   NaN    NaN   NaN  GAMA_J090012.88+  2021-03-10T01:28:00.000     1.4667    0    UNKNOWN1        5
 972561  135.3   0.9  01:38  N7   600  1.20   NaN   NaN    NaN   NaN  GAMA_J090123.08+  2021-03-10T01:38:00.000     1.6333    0    UNKNOWN1        5
 972562  135.6   0.8  01:51  N7   600  1.19   NaN   NaN    NaN   NaN  GAMA_J090233.84+  2021-03-10T01:51:00.000     1.8500    0    UNKNOWN1        5
 972563  135.9   0.8  02:01  N7   600  1.18   NaN   NaN    NaN   NaN  GAMA_J090344.58+  2021-03-10T02:01:00.000     2.0167    0    UNKNOWN1        5
 972564  139.9  -0.9  02:12  N7   600  1.16   NaN   NaN    NaN   NaN  GAMA_J091940.67-  2021-03-10T02:12:00.000     2.2000    0    UNKNOWN1        5
 972565  140.7  -0.8  02:22  N7   600  1.16   NaN   NaN    NaN   NaN  GAMA_J092236.17-  2021-03-10T02:22:00.000     2.3667    0    UNKNOWN1        5
 972566  140.9  -0.8  02:33  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J092346.00-  2021-03-10T02:33:00.000     2.5500    0    UNKNOWN1        5
 972567  141.2  -0.9  02:43  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J092456.55-  2021-03-10T02:43:00.000     2.7167    0    UNKNOWN1        5
 972568  141.5  -0.9  02:54  N7   600  1.14   NaN   NaN    NaN   NaN  GAMA_J092607.09-  2021-03-10T02:54:00.000     2.9000    0    UNKNOWN1        5
 972569  142.3  -0.8  03:04  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J092904.74-  2021-03-10T03:04:00.000     3.0667    0    UNKNOWN1        5
 972570  145.8  -0.9  03:15  N7   600  1.14   NaN   NaN    NaN   NaN  GAMA_J094318.22-  2021-03-10T03:15:00.000     3.2500    0    UNKNOWN1        5
 972571  147.2  -0.8  03:25  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J094843.92-  2021-03-10T03:25:00.000     3.4167    0    UNKNOWN1        5
 972572  150.5  -0.9  03:36  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J100203.90-  2021-03-10T03:36:00.000     3.6000    0    UNKNOWN1        5
 972573  150.8  -0.9  03:46  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J100313.76-  2021-03-10T03:46:00.000     3.7667    0    UNKNOWN1        5
 972574  151.1  -1.0  03:57  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J100424.32-  2021-03-10T03:57:00.000     3.9500    0    UNKNOWN1        5
 972575  151.4  -1.0  04:07  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J100534.88-  2021-03-10T04:07:00.000     4.1167    0    UNKNOWN1        5
 972576  171.9  -1.1  04:19  N7    60  1.16   NaN   NaN    NaN   NaN       1minexp_000  2021-03-10T04:19:00.000     4.3167    0    UNKNOWN1        5
 972577  171.9  -1.1  04:20  N7   600  1.16   NaN   NaN    NaN   NaN  GAMA_J112744.22-  2021-03-10T04:20:00.000     4.3333    0    UNKNOWN1        5
 972578  169.8  -1.0  04:31  N7   600  1.15   NaN   NaN    NaN   NaN  GAMA_J111914.03-  2021-03-10T04:31:00.000     4.5167    0    UNKNOWN1        5
 972579  170.1  -1.1  04:41  N7   600  1.14   NaN   NaN    NaN   NaN  GAMA_J112023.99-  2021-03-10T04:41:00.000     4.6833    0    UNKNOWN1        5
 972580  123.1 -12.0  04:55   g    50  1.48  1.10  0.13   0.13  0.72           415.A.a  2021-03-10T04:55:00.000     4.9167    0         YSE        6
 972581  123.1 -12.0  04:56   r    50  1.49  0.89  0.01   0.11  1.10           415.A.a  2021-03-10T04:56:00.000     4.9333    0         YSE        6
 972582  129.5  -1.3  04:58   g    50  1.53  0.96  0.13   0.15  0.95           415.A.b  2021-03-10T04:58:00.000     4.9667    0         YSE        6
 972583  129.5  -1.3  05:00   r    50  1.54  0.88  0.00   0.11  1.13           415.A.b  2021-03-10T05:00:00.000     5.0000    0         YSE        6
 972584  133.7  -0.5  05:01   g    50  1.47  0.94  0.13   0.15  0.99           415.B.a  2021-03-10T05:01:00.000     5.0167    0         YSE        6
 972585  133.7  -0.5  05:02   r    50  1.47  0.89  0.00   0.11  1.11           415.B.a  2021-03-10T05:02:00.000     5.0333    0         YSE        6
 972586  179.9  -1.7  05:05   g    15  1.14  1.03  0.20   0.08  0.77        2021dsi_P1  2021-03-10T05:05:00.000     5.0833    0      DEBASS        7
 972587  179.9  -1.7  05:06   r    15  1.14  0.82  0.06   0.04  1.23        2021dsi_P1  2021-03-10T05:06:00.000     5.1000    0      DEBASS        7
