  expid     ra   dec     ut  fil     time  secz   psf   sky  cloud   teff       Object                   utdate ut_decimal twi       program  blockID
 974871   95.1 -30.1  23:40    r      5.0  1.00  1.93  3.94   0.09   0.01     pointing  2021-03-18T23:40:00.000    -0.3333   2    TECHSETUP1      1.0
 974872   95.1 -30.1  23:42    r     30.0  1.00  1.67  3.48   0.32   0.01     pointing  2021-03-18T23:42:00.000    -0.3000   2    TECHSETUP1      1.0
 974873  102.7  27.9  23:48    g     50.0  1.88  2.34  3.62   0.29   0.01          YSE  2021-03-18T23:48:00.000    -0.2000   2           YSE      2.0
 974874  102.7  27.9  23:50    g     50.0  1.88  2.10  3.22   0.27   0.01          YSE  2021-03-18T23:50:00.000    -0.1667   1           YSE      3.0
 974875  102.7  27.9  23:51    r     50.0  1.89  1.90  2.42   0.23   0.02          YSE  2021-03-18T23:51:00.000    -0.1500   1           YSE      3.0
 974876  102.7  27.9  23:52    r     50.0  1.89  1.86  2.24   0.22   0.03          YSE  2021-03-18T23:52:00.000    -0.1333   1           YSE      3.0
 974877   52.6 -28.1  23:56    i     90.0  1.42  1.71  1.36   0.07   0.08        SN-C3  2021-03-18T23:56:00.000    -0.0667   1          Shen      4.0
 974878   52.6 -28.1  23:58    i     90.0  1.43  1.62  1.14  -0.08   0.11        SN-C3  2021-03-18T23:58:00.000    -0.0333   0          Shen      5.0
 974879   52.6 -28.1  00:00    r     70.0  1.44  1.66  1.43   0.12   0.09        SN-C3  2021-03-19T00:00:00.000     0.0000   0          Shen      5.0
 974880   52.6 -28.1  00:02    r     70.0  1.45  1.88  1.30   0.12   0.07        SN-C3  2021-03-19T00:02:00.000     0.0333   0          Shen      5.0
 974881   52.6 -28.1  00:03    g     80.0  1.46  1.84  1.48   0.18   0.07        SN-C3  2021-03-19T00:03:00.000     0.0500   0          Shen      5.0
 974882   52.6 -28.1  00:05    g     80.0  1.47  2.39  1.36   0.27   0.04        SN-C3  2021-03-19T00:05:00.000     0.0833   0          Shen      5.0
 974883   90.0 -66.6  00:08    i     90.0  1.27  1.78  0.33  -0.06   0.19        S-CVZ  2021-03-19T00:08:00.000     0.1333   0          Shen      5.0
 974884   90.0 -66.6  00:10    i     90.0  1.27  1.72  0.31  -0.01   0.21        S-CVZ  2021-03-19T00:10:00.000     0.1667   0          Shen      5.0
 974885   90.0 -66.6  00:12    r     70.0  1.27  1.76  0.50   0.11   0.18        S-CVZ  2021-03-19T00:12:00.000     0.2000   0          Shen      5.0
 974886   90.0 -66.6  00:14    r     70.0  1.27  1.66  0.48   0.11   0.20        S-CVZ  2021-03-19T00:14:00.000     0.2333   0          Shen      5.0
 974887   90.0 -66.6  00:16    g     80.0  1.27  1.69  0.60   0.17   0.20        S-CVZ  2021-03-19T00:16:00.000     0.2667   0          Shen      5.0
 974888   90.0 -66.6  00:17    g     80.0  1.28  2.00  0.59   0.17   0.14        S-CVZ  2021-03-19T00:17:00.000     0.2833   0          Shen      5.0
 974889  149.2   1.8  00:22    g     10.0  1.50  1.84  0.80   0.21   0.14     COSMOS-2  2021-03-19T00:22:00.000     0.3667   0           DDF      6.0
 974890  149.2   1.8  00:23    g     60.0  1.49  1.95  0.83   0.22   0.12     COSMOS-2  2021-03-19T00:23:00.000     0.3833   0           DDF      6.0
 974891  149.2   1.8  00:25    r     86.0  1.48  1.50  0.81   0.13   0.18     COSMOS-2  2021-03-19T00:25:00.000     0.4167   0           DDF      6.0
 974892  149.2   1.8  00:27    i    130.0  1.47  2.19  0.42   0.02   0.11     COSMOS-2  2021-03-19T00:27:00.000     0.4500   0           DDF      6.0
 974893  150.8   1.8  00:30    g     60.0  1.49  2.21  0.82   0.24   0.09     COSMOS-3  2021-03-19T00:30:00.000     0.5000   0           DDF      6.0
 974894  150.8   1.8  00:31    r     86.0  1.48  1.66  0.79   0.10   0.15     COSMOS-3  2021-03-19T00:31:00.000     0.5167   0           DDF      6.0
 974895  150.8   1.8  00:33    i    130.0  1.48  1.65  0.43  -0.06   0.20     COSMOS-3  2021-03-19T00:33:00.000     0.5500   0           DDF      6.0
 974896  150.0   3.1  00:36    g     60.0  1.47  1.76  0.81   0.18   0.15     COSMOS-1  2021-03-19T00:36:00.000     0.6000   0           DDF      6.0
 974897  150.0   3.1  00:37    r     86.0  1.47  1.60  0.78   0.11   0.17     COSMOS-1  2021-03-19T00:37:00.000     0.6167   0           DDF      6.0
 974898  150.0   3.1  00:39    i    130.0  1.46  1.42  0.39   0.00   0.28     COSMOS-1  2021-03-19T00:39:00.000     0.6500   0           DDF      6.0
 974899  149.2   1.8  00:42    g     60.0  1.41  1.64  0.77   0.19   0.18     COSMOS-2  2021-03-19T00:42:00.000     0.7000   0           DDF      6.0
 974900  149.2   1.8  00:43    r     86.0  1.40  1.43  0.72   0.12   0.22     COSMOS-2  2021-03-19T00:43:00.000     0.7167   0           DDF      6.0
 974901  149.2   1.8  00:45    i    130.0  1.39  1.46  0.31   0.01   0.29     COSMOS-2  2021-03-19T00:45:00.000     0.7500   0           DDF      6.0
 974902  150.8   1.8  00:48    g     60.0  1.41  1.59  0.76   0.15   0.19     COSMOS-3  2021-03-19T00:48:00.000     0.8000   0           DDF      6.0
 974903  150.8   1.8  00:49    r     86.0  1.40  1.48  0.71   0.04   0.21     COSMOS-3  2021-03-19T00:49:00.000     0.8167   0           DDF      6.0
 974904  150.8   1.8  00:51    i    130.0  1.40  1.46  0.27  -0.02   0.30     COSMOS-3  2021-03-19T00:51:00.000     0.8500   0           DDF      6.0
 974905  158.1 -35.7  00:56    u     10.0  1.18  1.65 -3.25  -0.15   7.87   LTT3864 S4  2021-03-19T00:56:00.000     0.9333   0    STANDARDS1      7.0
 974906  158.1 -35.7  00:56    g      2.0  1.18  1.36  0.39   0.15   0.37   LTT3864 S4  2021-03-19T00:56:00.000     0.9333   0    STANDARDS1      7.0
 974907  158.1 -35.7  00:57    r      1.0  1.18  1.60  0.44   0.11   0.23   LTT3864 S4  2021-03-19T00:57:00.000     0.9500   0    STANDARDS1      7.0
 974908  158.1 -35.7  00:57    i      1.0  1.18  1.20  0.15  -0.15   0.49   LTT3864 S4  2021-03-19T00:57:00.000     0.9500   0    STANDARDS1      7.0
