  expid     ra   dec     ut  fil  time  secz   psf   sky  cloud  teff          Object                   utdate ut_decimal  twi       program  blockID
 975615  101.3 -30.6  23:36    r     5  1.00  1.51  4.12  -0.04  0.01        pointing  2021-03-21T23:36:00.000    -0.4000    3    TECHSETUP1        1
 975616  101.3 -30.6  23:38    r    30  1.00  1.22  3.69   0.06  0.02        pointing  2021-03-21T23:38:00.000    -0.3667    3    TECHSETUP1        1
 975617   50.0   0.0  23:44    z    15  2.00  1.60  2.57   0.38  0.02  SDSSJ0320-0000  2021-03-21T23:44:00.000    -0.2667    3    STANDARDS1        2
 975618   50.0   0.0  23:45    i    15  2.01  1.58  3.73   0.42  0.01  SDSSJ0320-0000  2021-03-21T23:45:00.000    -0.2500    2    STANDARDS1        3
 975619   50.0   0.0  23:46    r    15  2.01  1.68  3.99   0.09  0.01  SDSSJ0320-0000  2021-03-21T23:46:00.000    -0.2333    2    STANDARDS1        3
 975620   50.0   0.0  23:46    g    15  2.02  2.01  4.05   0.23  0.01  SDSSJ0320-0000  2021-03-21T23:46:00.000    -0.2333    2    STANDARDS1        3
 975621   97.5 -58.8  23:50    z    15  1.15  1.23  0.70  -0.04  0.26          MaxVis  2021-03-21T23:50:00.000    -0.1667    2    TECHSETUP2        4
 975622   97.5 -58.8  23:50    i    15  1.15  1.17  1.24  -0.21  0.19          MaxVis  2021-03-21T23:50:00.000    -0.1667    2    TECHSETUP2        4
 975623   97.5 -58.8  23:51    r    15  1.15  1.23  1.63   0.06  0.13          MaxVis  2021-03-21T23:51:00.000    -0.1500    2    TECHSETUP2        4
 975624   97.5 -58.8  23:52    g    15  1.15  1.23  2.09   0.11  0.09          MaxVis  2021-03-21T23:52:00.000    -0.1333    2    TECHSETUP2        4
 975625   88.0 -50.8  23:53    g    25  1.10  1.17  1.96   0.10  0.12      2021clw_P1  2021-03-21T23:53:00.000    -0.1167    2        DEBASS        5
 975626   88.0 -50.8  23:54    r    25  1.10  1.03  1.36   0.03  0.24      2021clw_P1  2021-03-21T23:54:00.000    -0.1000    2        DEBASS        5
 975627   88.0 -50.8  23:55    i    25  1.11  1.05  0.84  -0.07  0.34      2021clw_P1  2021-03-21T23:55:00.000    -0.0833    2        DEBASS        5
 975628   52.6 -28.1  23:57    i    90  1.49  1.36  1.35  -0.10  0.13           SN-C3  2021-03-21T23:57:00.000    -0.0500    2          Shen        6
 975629   52.6 -28.1  23:59    i    90  1.50  1.43  1.20  -0.09  0.13           SN-C3  2021-03-21T23:59:00.000    -0.0167    1          Shen        7
 975630   52.6 -28.1  00:01    r    70  1.51  1.42  1.52   0.10  0.11           SN-C3  2021-03-22T00:01:00.000     0.0167    1          Shen        7
 975631   52.6 -28.1  00:03    r    70  1.52  1.31  1.47   0.09  0.13           SN-C3  2021-03-22T00:03:00.000     0.0500    1          Shen        7
 975632   52.6 -28.1  00:04    g    80  1.53  1.37  1.91   0.14  0.09           SN-C3  2021-03-22T00:04:00.000     0.0667    1          Shen        7
 975633   52.6 -28.1  00:06    g    80  1.55  1.35  1.89   0.15  0.09           SN-C3  2021-03-22T00:06:00.000     0.1000    1          Shen        7
