  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff            Object                   utdate ut_decimal  twi       program  blockID
 976434  101.3 -30.6  23:34   r     5  1.00  1.02  4.11   0.09  0.02          pointing  2021-03-23T23:34:00.000    -0.4333    2    TECHSETUP1        1
 976435  101.3 -30.6  23:36   r    30  1.00  0.90  3.65   0.08  0.04          pointing  2021-03-23T23:36:00.000    -0.4000    2    TECHSETUP1        1
 976436   97.5 -58.8  23:38   z    15  1.14  0.99  1.56  -0.02  0.18            MaxVis  2021-03-23T23:38:00.000    -0.3667    2    TECHSETUP1        1
 976437   97.5 -58.8  23:39   i    15  1.14  0.92  2.65  -0.22  0.08            MaxVis  2021-03-23T23:39:00.000    -0.3500    2    TECHSETUP1        1
 976438   97.5 -58.8  23:40   r    15  1.14  0.92  3.07   0.08  0.06            MaxVis  2021-03-23T23:40:00.000    -0.3333    2    TECHSETUP1        1
 976439   97.5 -58.8  23:40   g    15  1.14  1.11  3.53   0.12  0.03            MaxVis  2021-03-23T23:40:00.000    -0.3333    2    TECHSETUP1        1
 976440   90.0 -66.6  23:41   i    90  1.26  0.88  2.25  -0.09  0.13             S-CVZ  2021-03-23T23:41:00.000    -0.3167    2          Shen        2
 976441   90.0 -66.6  23:43   i    90  1.26  0.88  1.92  -0.10  0.18             S-CVZ  2021-03-23T23:43:00.000    -0.2833    1          Shen        3
 976442   90.0 -66.6  23:45   r    70  1.27  0.90  2.20   0.09  0.14             S-CVZ  2021-03-23T23:45:00.000    -0.2500    1          Shen        3
 976443   90.0 -66.6  23:47   r    70  1.27  0.89  2.00   0.10  0.18             S-CVZ  2021-03-23T23:47:00.000    -0.2167    1          Shen        3
 976444   90.0 -66.6  23:49   g    80  1.27  1.01  2.57   0.11  0.09             S-CVZ  2021-03-23T23:49:00.000    -0.1833    1          Shen        3
 976445   90.0 -66.6  23:51   g    80  1.27  0.91  2.43   0.12  0.13             S-CVZ  2021-03-23T23:51:00.000    -0.1500    1          Shen        3
 976446   88.0 -50.8  23:53   g    20  1.11  1.01  2.22   0.11  0.12        2021clw_P1  2021-03-23T23:53:00.000    -0.1167    0        DEBASS        4
 976447   88.0 -50.8  23:54   r    20  1.11  0.92  1.43   0.04  0.28        2021clw_P1  2021-03-23T23:54:00.000    -0.1000    0        DEBASS        4
 976448   88.0 -50.8  23:55   i    20  1.11  0.87  0.82  -0.06  0.50        2021clw_P1  2021-03-23T23:55:00.000    -0.0833    0        DEBASS        4
 976449   88.0 -50.8  23:55   z    25  1.11  0.80  0.52   0.06  0.73        2021clw_P1  2021-03-23T23:55:00.000    -0.0833    0        DEBASS        4
 976450  149.2   1.8  23:59   g    10  1.52  1.15  2.94   0.16  0.05          COSMOS-2  2021-03-23T23:59:00.000    -0.0167    0           DDF        5
 976451  149.2   1.8  00:00   g    60  1.51  0.95  2.92   0.16  0.07          COSMOS-2  2021-03-24T00:00:00.000     0.0000    0           DDF        5
 976452  149.2   1.8  00:02   r    86  1.50  0.88  2.08   0.08  0.17          COSMOS-2  2021-03-24T00:02:00.000     0.0333    0           DDF        5
 976453  149.2   1.8  00:04   i   130  1.49  0.84  1.21   0.15  0.38          COSMOS-2  2021-03-24T00:04:00.000     0.0667    0           DDF        5
 976454  150.8   1.8  00:06   g    60  1.51  0.97  2.88   0.11  0.07          COSMOS-3  2021-03-24T00:06:00.000     0.1000    0           DDF        5
 976455  150.8   1.8  00:08   r    86  1.50  1.05  2.05   0.03  0.12          COSMOS-3  2021-03-24T00:08:00.000     0.1333    0           DDF        5
 976456  150.8   1.8  00:10   i   130  1.49  1.18  1.18  -0.03  0.20          COSMOS-3  2021-03-24T00:10:00.000     0.1667    0           DDF        5
 976457  150.0   3.1  00:12   g    60  1.49  1.08  2.91   0.14  0.06          COSMOS-1  2021-03-24T00:12:00.000     0.2000    0           DDF        5
 976458  150.0   3.1  00:14   r    86  1.48  1.03  2.09   0.06  0.12          COSMOS-1  2021-03-24T00:14:00.000     0.2333    0           DDF        5
 976459  150.0   3.1  00:16   i   130  1.47  0.98  1.22   0.05  0.27          COSMOS-1  2021-03-24T00:16:00.000     0.2667    0           DDF        5
 976460  149.2   1.8  00:19   g    60  1.42  0.91  2.86   0.14  0.09          COSMOS-2  2021-03-24T00:19:00.000     0.3167    0           DDF        5
 976461  149.2   1.8  00:20   r    86  1.42  0.84  2.04   0.14  0.19          COSMOS-2  2021-03-24T00:20:00.000     0.3333    0           DDF        5
 976462  149.2   1.8  00:22   i   130  1.41  0.95  1.16   0.11  0.31          COSMOS-2  2021-03-24T00:22:00.000     0.3667    0           DDF        5
 976463  150.8   1.8  00:25   g    60  1.42  1.16  2.85   0.13  0.05          COSMOS-3  2021-03-24T00:25:00.000     0.4167    0           DDF        5
 976464  150.8   1.8  00:26   r    86  1.42  0.95  2.03   0.04  0.15          COSMOS-3  2021-03-24T00:26:00.000     0.4333    0           DDF        5
 976465  150.8   1.8  00:28   i   130  1.41  0.88  1.15   0.09  0.36          COSMOS-3  2021-03-24T00:28:00.000     0.4667    0           DDF        5
 976466  129.5  -1.3  00:32   g    50  1.16  0.90  3.12   0.05  0.07           415.A.b  2021-03-24T00:32:00.000     0.5333    0           YSE        6
 976467  129.5  -1.3  00:33   r    50  1.16  0.81  2.60   0.03  0.12           415.A.b  2021-03-24T00:33:00.000     0.5500    0           YSE        6
 976468  129.5  -1.3  00:34   i    15  1.16  0.75  2.07  -0.23  0.21        2021ddh_P2  2021-03-24T00:34:00.000     0.5667    0        DEBASS        7
 976469  129.5  -1.3  00:35   z    15  1.16  0.73  1.41  -0.01  0.39        2021ddh_P2  2021-03-24T00:35:00.000     0.5833    0        DEBASS        7
 976470  133.7  -0.5  00:36   g    50  1.18  0.88  3.07   0.08  0.08           415.B.a  2021-03-24T00:36:00.000     0.6000    0           YSE        8
 976471  133.7  -0.5  00:37   r    50  1.18  0.84  2.55   0.04  0.12           415.B.a  2021-03-24T00:37:00.000     0.6167    0           YSE        8
 976472  133.7   0.3  00:38   i    15  1.19  0.83  2.05  -0.13  0.18        2021dov_P2  2021-03-24T00:38:00.000     0.6333    0        DEBASS        9
 976473  133.7   0.3  00:39   z    15  1.19  0.79  1.40   0.05  0.33        2021dov_P2  2021-03-24T00:39:00.000     0.6500    0        DEBASS        9
 976474  123.1 -12.0  00:40   g    50  1.05  0.98  2.90   0.07  0.07           415.A.a  2021-03-24T00:40:00.000     0.6667    0           YSE       10
 976475  123.1 -12.0  00:42   r    50  1.05  0.89  2.51   0.05  0.11           415.A.a  2021-03-24T00:42:00.000     0.7000    0           YSE       10
 976476  123.1 -12.0  00:43   i    15  1.05  0.73  2.40  -0.31  0.17        2021cyn_P2  2021-03-24T00:43:00.000     0.7167    0        DEBASS       11
 976477  123.1 -12.0  00:44   z    15  1.05  0.69  1.73  -0.05  0.32        2021cyn_P2  2021-03-24T00:44:00.000     0.7333    0        DEBASS       11
 976478  129.1 -11.8  00:45   g    15  1.06  0.87  2.88   0.08  0.09        2021grd_P2  2021-03-24T00:45:00.000     0.7500    0        DEBASS       11
 976479  129.1 -11.8  00:45   r    15  1.06  0.87  2.42   0.10  0.12        2021grd_P2  2021-03-24T00:45:00.000     0.7500    0        DEBASS       11
 976480  129.1 -11.8  00:46   i    15  1.06  0.79  2.21  -0.30  0.17        2021grd_P2  2021-03-24T00:46:00.000     0.7667    0        DEBASS       11
 976481  129.1 -11.8  00:47   z    15  1.06  0.80  1.55  -0.06  0.28        2021grd_P2  2021-03-24T00:47:00.000     0.7833    0        DEBASS       11
 976482  158.0 -60.7  00:49   r   100  1.27   NaN   NaN    NaN   NaN            ec0814  2021-03-24T00:49:00.000     0.8167    0        EtaCar       12
 976483  161.3 -61.7  00:52   r   100  1.30   NaN   NaN    NaN   NaN            ec0914  2021-03-24T00:52:00.000     0.8667    0        EtaCar       12
 976484  161.3 -59.7  00:54   r   100  1.28  0.89  2.08  -6.38  0.16            ec0915  2021-03-24T00:54:00.000     0.9000    0        EtaCar       12
 976485  161.3 -57.7  00:56   r   100  1.26   NaN   NaN    NaN   NaN            ec0916  2021-03-24T00:56:00.000     0.9333    0        EtaCar       12
 976486  158.2 -58.7  00:58   r   100  1.24  0.88  1.49   0.63  0.13            ec0815  2021-03-24T00:58:00.000     0.9667    0        EtaCar       12
 976487  164.5 -60.7  01:00   r   100  1.30   NaN   NaN    NaN   NaN            ec1014  2021-03-24T01:00:00.000     1.0000    0        EtaCar       12
 976488  164.3 -58.7  01:02   r   100  1.28  0.93  1.46   0.86  0.08            ec1015  2021-03-24T01:02:00.000     1.0333    0        EtaCar       12
 976489  158.0 -60.7  01:05   i   100  1.25   NaN   NaN    NaN   NaN            ec0814  2021-03-24T01:05:00.000     1.0833    0        EtaCar       12
 976490  161.3 -61.7  01:07   i   100  1.28   NaN   NaN    NaN   NaN            ec0914  2021-03-24T01:07:00.000     1.1167    0        EtaCar       12
 976491  161.3 -59.7  01:09   i   100  1.25  0.97  0.92   0.55  0.19            ec0915  2021-03-24T01:09:00.000     1.1500    0        EtaCar       12
 976492  161.3 -57.7  01:11   i   100  1.23   NaN   NaN    NaN   NaN            ec0916  2021-03-24T01:11:00.000     1.1833    0        EtaCar       12
 976493  158.2 -58.7  01:13   i   100  1.22  0.93  0.70   0.49  0.29            ec0815  2021-03-24T01:13:00.000     1.2167    0        EtaCar       12
 976494  164.5 -60.7  01:16   i   100  1.27   NaN   NaN    NaN   NaN            ec1014  2021-03-24T01:16:00.000     1.2667    0        EtaCar       12
 976495  164.3 -58.7  01:18   i   100  1.25  0.84  0.70   0.34  0.47            ec1015  2021-03-24T01:18:00.000     1.3000    0        EtaCar       12
 976496  150.0   3.1  01:22   g    10  1.26  0.93  2.77   0.11  0.09          COSMOS-1  2021-03-24T01:22:00.000     1.3667    0           DDF       13
 976497  150.0   3.1  01:24   g    60  1.26  0.86  2.78   0.10  0.10          COSMOS-1  2021-03-24T01:24:00.000     1.4000    0           DDF       13
 976498  150.0   3.1  01:25   r    86  1.26  0.83  1.92   0.07  0.22          COSMOS-1  2021-03-24T01:25:00.000     1.4167    0           DDF       13
 976499  150.0   3.1  01:27   i   130  1.25  0.81  1.03   0.12  0.48          COSMOS-1  2021-03-24T01:27:00.000     1.4500    0           DDF       13
 976500  149.2   1.8  01:30   g    60  1.22  0.92  2.73   0.13  0.09          COSMOS-2  2021-03-24T01:30:00.000     1.5000    0           DDF       13
 976501  149.2   1.8  01:31   r    86  1.22  0.95  1.88   0.11  0.17          COSMOS-2  2021-03-24T01:31:00.000     1.5167    0           DDF       13
 976502  149.2   1.8  01:33   i   130  1.22  0.89  0.99   0.16  0.41          COSMOS-2  2021-03-24T01:33:00.000     1.5500    0           DDF       13
 976503  150.8   1.8  01:36   g    60  1.22  1.02  2.72   0.10  0.08          COSMOS-3  2021-03-24T01:36:00.000     1.6000    0           DDF       13
 976504  150.8   1.8  01:37   r    86  1.22  0.92  1.84   0.03  0.19          COSMOS-3  2021-03-24T01:37:00.000     1.6167    0           DDF       13
 976505  150.8   1.8  01:39   i   130  1.22  0.93  0.95   0.10  0.39          COSMOS-3  2021-03-24T01:39:00.000     1.6500    0           DDF       13
 976506  150.0   3.1  01:42   g    60  1.23  1.23  2.74   0.13  0.05          COSMOS-1  2021-03-24T01:42:00.000     1.7000    0           DDF       13
 976507  150.0   3.1  01:43   r    86  1.23  1.04  1.88   0.05  0.14          COSMOS-1  2021-03-24T01:43:00.000     1.7167    0           DDF       13
 976508  150.0   3.1  01:45   i   130  1.23  0.98  0.99   0.07  0.34          COSMOS-1  2021-03-24T01:45:00.000     1.7500    0           DDF       13
 976509  149.2   1.8  01:48   g    60  1.20  1.06  2.71   0.12  0.07          COSMOS-2  2021-03-24T01:48:00.000     1.8000    0           DDF       13
 976510  149.2   1.8  01:49   r    86  1.20  1.01  1.84   0.01  0.16          COSMOS-2  2021-03-24T01:49:00.000     1.8167    0           DDF       13
 976511  149.2   1.8  01:51   i   130  1.20  0.87  0.93   0.16  0.45          COSMOS-2  2021-03-24T01:51:00.000     1.8500    0           DDF       13
 976512  149.5   0.8  01:54   g    15  1.18  1.03  2.69   0.07  0.08        2021ghc_P1  2021-03-24T01:54:00.000     1.9000    0        DEBASS       14
 976513  149.5   0.8  01:55   r    15  1.18  0.89  1.81   0.05  0.21        2021ghc_P1  2021-03-24T01:55:00.000     1.9167    0        DEBASS       14
 976514  149.5   0.8  01:56   i    15  1.18  0.83  0.90   0.07  0.51        2021ghc_P1  2021-03-24T01:56:00.000     1.9333    0        DEBASS       14
 976515  149.5   0.8  01:56   z    15  1.18  0.77  0.42   0.13  0.87        2021ghc_P1  2021-03-24T01:56:00.000     1.9333    0        DEBASS       14
 976516  144.2 -18.9  01:58   g    15  1.02  0.95  2.31   0.07  0.13        2021fuf_P1  2021-03-24T01:58:00.000     1.9667    0        DEBASS       14
 976517  144.2 -18.9  01:58   r    15  1.02  0.85  1.41   0.04  0.33        2021fuf_P1  2021-03-24T01:58:00.000     1.9667    0        DEBASS       14
 976518  144.2 -18.9  01:59   i    15  1.02  0.81  0.62  -0.15  0.70        2021fuf_P1  2021-03-24T01:59:00.000     1.9833    0        DEBASS       14
 976519  144.2 -18.9  02:00   z    15  1.02  0.85  0.23   0.01  0.85        2021fuf_P1  2021-03-24T02:00:00.000     2.0000    0        DEBASS       14
 976520  154.5 -23.8  02:02   g    15  1.03  1.00  2.20   0.04  0.13        2021fna_P1  2021-03-24T02:02:00.000     2.0333    0        DEBASS       14
