               ID       Field_RA     Field_Dec        Cand_RA       Cand_Dec        SNID     CandCCD     Priority 
          415.A.a     123.118545     -12.01966     123.454596     -12.115986     2021cyn          36            2    
          415.A.b     129.507492     -1.339554     129.871321      -1.408103     2021ddh          36            1    
          415.B.a     133.714302     -0.538301     134.077946      -0.442142     2021dov          29            1    
          418.F.a     162.238815      0.364871     162.600631       0.926922     2021dev          11            1    
          523.D.a     173.243143     13.486186     172.910267      14.076265     2021dha           9            1    
          575.B.a      178.48851     24.629617     178.648724      25.383441     2021ckc           6            2    
          474.E.a     185.871629      3.175669      186.38132       3.437056     2021dgu          23            2    
          577.B.a      194.03777      21.38709     194.198754      21.647986     2021dhg          22            2    
          577.A.a     196.187961     29.276518     196.348945      29.509636     2021dch          22            1    
          674.E.a      210.89111     27.887453     211.052733      27.626144     2021dep          42            2    
          428.B.a     223.440154      3.770551     223.279096       3.537253     2021dlb          41            2    
          632.C.a     241.864306     25.745045     242.025929      25.483736     2021dcu          42            1    
  423.E.a.2021fxy     198.620080    -19.444260     198.256583     -19.512544     2021fxy          34            2
          583.F.a     245.381540     20.496170     245.541762      21.222213     2021gez           6            1
          423.C.a     195.952016    -2.8616255     195.966087     -3.4517444     2021gyh          53            1
