  expid     ra   dec     ut  fil        time  secz   psf   sky  cloud  teff        Object                   utdate ut_decimal twi     program  blockID
 980233  112.0 -29.2  23:23    r    5.000000  1.00  1.80  3.27   0.27  0.01      pointing  2021-04-02T23:23:00.000    -0.6167   2  TECHSETUP1      1.0
 980234  112.0 -29.2  23:25    r   30.000000  1.00  2.00  2.87   0.36  0.01      pointing  2021-04-02T23:25:00.000    -0.5833   2  TECHSETUP1      1.0
 980235   52.6 -28.1  23:29    i   90.000000  1.62   NaN   NaN    NaN   NaN         SN-C3  2021-04-02T23:29:00.000    -0.5167   2        Shen      2.0
 980236   52.6 -28.1  23:31    i   90.000000  1.63  2.20  3.15   0.80  0.00         SN-C3  2021-04-02T23:31:00.000    -0.4833   1        Shen      3.0
 980237   52.6 -28.1  23:33    r   70.000000  1.65  1.70  2.93   0.87  0.01         SN-C3  2021-04-02T23:33:00.000    -0.4500   1        Shen      3.0
 980238   52.6 -28.1  23:34    r   70.000000  1.66  1.97  2.64   1.16  0.00         SN-C3  2021-04-02T23:34:00.000    -0.4333   1        Shen      3.0
 980239   52.6 -28.1  23:36    g   80.000000  1.67  2.01  2.62   1.27  0.00         SN-C3  2021-04-02T23:36:00.000    -0.4000   1        Shen      3.0
 980240   52.6 -28.1  23:38    g   80.000000  1.69  2.10  2.27   1.47  0.00         SN-C3  2021-04-02T23:38:00.000    -0.3667   1        Shen      3.0
 980241   53.1 -27.8  23:40    z   10.000000  1.69  1.49  0.84   1.62  0.01    C26202/HST  2021-04-02T23:40:00.000    -0.3333   0  STANDARDS1      4.0
 980242   53.1 -27.8  23:40    i   10.000000  1.70  1.76  1.33   1.60  0.01    C26202/HST  2021-04-02T23:40:00.000    -0.3333   0  STANDARDS1      4.0
 980243   53.1 -27.8  23:41    g   10.000000  1.70  1.84  1.87   1.50  0.00    C26202/HST  2021-04-02T23:41:00.000    -0.3167   0  STANDARDS1      4.0
 980244   53.1 -27.8  23:42    r   10.000000  1.71  1.78  1.64   1.69  0.00    C26202/HST  2021-04-02T23:42:00.000    -0.3000   0  STANDARDS1      4.0
 980245   55.2 -18.8  23:43    r   15.000000  1.79  1.95  1.67   1.96  0.00    2021hcz_P1  2021-04-02T23:43:00.000    -0.2833   0      DEBASS      5.0
 980246   55.2 -18.8  23:43    g   15.000000  1.79  0.61  1.65   2.03  0.02    2021hcz_P1  2021-04-02T23:43:00.000    -0.2833   0      DEBASS      5.0
 980247   55.2 -18.8  23:44    i   15.000000  1.80  1.68  1.02   2.18  0.00    2021hcz_P1  2021-04-02T23:44:00.000    -0.2667   0      DEBASS      5.0
 980248   55.2 -18.8  23:45    z   15.000000  1.81  1.66  0.64   2.57  0.00    2021hcz_P1  2021-04-02T23:45:00.000    -0.2500   0      DEBASS      5.0
 980249   90.0 -66.6  23:47    i   90.000000  1.30  1.42  0.48   1.43  0.03         S-CVZ  2021-04-02T23:47:00.000    -0.2167   0        Shen      6.0
 980250   90.0 -66.6  23:49    i   90.000000  1.31  1.44  0.45   1.63  0.02         S-CVZ  2021-04-02T23:49:00.000    -0.1833   0        Shen      6.0
 980251   90.0 -66.6  23:51    r   70.000000  1.31  1.61  0.72   1.96  0.01         S-CVZ  2021-04-02T23:51:00.000    -0.1500   0        Shen      6.0
 980252   90.0 -66.6  23:53    r   70.000000  1.31  1.46  0.71   2.05  0.01         S-CVZ  2021-04-02T23:53:00.000    -0.1167   0        Shen      6.0
 980253   90.0 -66.6  23:55    g   80.000000  1.31  1.56  0.58   2.35  0.00         S-CVZ  2021-04-02T23:55:00.000    -0.0833   0        Shen      6.0
 980254   90.0 -66.6  23:56    g   80.000000  1.32  1.66  0.61   3.02  0.00         S-CVZ  2021-04-02T23:56:00.000    -0.0667   0        Shen      6.0
 980255   88.0 -50.8  23:59    r   25.000000  1.18  1.23  0.77   2.64  0.00    2021clw_P1  2021-04-02T23:59:00.000    -0.0167   0      DEBASS      7.0
 980256   88.0 -50.8  00:00    i   25.000000  1.18  1.25  0.32   1.92  0.02    2021clw_P1  2021-04-03T00:00:00.000     0.0000   0      DEBASS      7.0
 980257   91.5 -45.6  00:01    g   15.000000  1.13  1.50  0.59   2.30  0.01    2021gmk_P2  2021-04-03T00:01:00.000     0.0167   0      DEBASS      7.0
 980258   91.5 -45.6  00:02    r   15.000000  1.13  1.34  0.66   1.79  0.01    2021gmk_P2  2021-04-03T00:02:00.000     0.0333   0      DEBASS      7.0
 980259   91.5 -45.6  00:02    i   15.000000  1.13  1.39  0.28   1.79  0.02    2021gmk_P2  2021-04-03T00:02:00.000     0.0333   0      DEBASS      7.0
 980260   91.5 -45.6  00:03    z   15.000000  1.13  1.22  0.25   1.62  0.03    2021gmk_P2  2021-04-03T00:03:00.000     0.0500   0      DEBASS      7.0
 980261   88.5 -32.4  00:04    r   15.000000  1.14  1.36  0.67   1.40  0.03    2021hon_P2  2021-04-03T00:04:00.000     0.0667   0      DEBASS      7.0
 980262   88.5 -32.4  00:05    i   15.000000  1.14  1.29  0.28   1.15  0.07    2021hon_P2  2021-04-03T00:05:00.000     0.0833   0      DEBASS      7.0
 980263  106.4 -23.9  00:06    r   15.000000  1.04  1.28  0.90   2.20  0.01    2021hef_P1  2021-04-03T00:06:00.000     0.1000   0      DEBASS      7.0
 980264  106.4 -23.9  00:07    i   15.000000  1.04  1.21  0.37   1.73  0.02    2021hef_P1  2021-04-03T00:07:00.000     0.1167   0      DEBASS      7.0
 980265  129.5  -1.3  00:09    r   25.000000  1.15  1.29  1.03   3.17  0.00    2021ddh_P1  2021-04-03T00:09:00.000     0.1500   0      DEBASS      7.0
 980266  129.5  -1.3  00:10    i   50.000000  1.15  1.23  0.37   1.68  0.02       415.A.b  2021-04-03T00:10:00.000     0.1667   0         YSE      8.0
 980267  129.5  -1.3  00:11    z   50.000000  1.15  1.10  0.19   0.81  0.17       415.A.b  2021-04-03T00:11:00.000     0.1833   0         YSE      8.0
 980268  133.8  16.7  00:13    r   15.000000  1.48  1.26  0.80   0.53  0.14    2021hjb_P2  2021-04-03T00:13:00.000     0.2167   0      DEBASS      9.0
 980269  133.8  16.7  00:14    i   15.000000  1.48  1.24  0.40   0.67  0.15    2021hjb_P2  2021-04-03T00:14:00.000     0.2333   0      DEBASS      9.0
 980270  133.7  -0.5  00:15    i   50.000000  1.16  1.20  0.25   0.49  0.26       415.B.a  2021-04-03T00:15:00.000     0.2500   0         YSE     10.0
 980271  133.7  -0.5  00:17    z   50.000000  1.16  1.13  0.20   0.55  0.26       415.B.a  2021-04-03T00:17:00.000     0.2833   0         YSE     10.0
 980272  133.7   0.3  00:18    r   25.000000  1.17  1.34  0.46   0.41  0.22    2021dov_P1  2021-04-03T00:18:00.000     0.3000   0      DEBASS     11.0
 980273  149.5   0.8  00:20    g   15.000000  1.28  1.37  0.31   0.50  0.23    2021ghc_P1  2021-04-03T00:20:00.000     0.3333   0      DEBASS     11.0
 980274  149.5   0.8  00:20    r   15.000000  1.27  1.27  0.51   0.47  0.21    2021ghc_P1  2021-04-03T00:20:00.000     0.3333   0      DEBASS     11.0
 980275  149.5   0.8  00:21    i   15.000000  1.27  1.29  0.32   0.82  0.12    2021ghc_P1  2021-04-03T00:21:00.000     0.3500   0      DEBASS     11.0
 980276  149.5   0.8  00:22    z   15.000000  1.27  1.14  0.25   0.67  0.19    2021ghc_P1  2021-04-03T00:22:00.000     0.3667   0      DEBASS     11.0
 980277  123.1 -12.0  00:24    i   50.000000  1.05  1.05  0.13   0.17  0.65       415.A.a  2021-04-03T00:24:00.000     0.4000   0         YSE     12.0
 980278  123.1 -12.0  00:25    z   50.000000  1.05  1.06  0.11   0.25  0.56       415.A.a  2021-04-03T00:25:00.000     0.4167   0         YSE     12.0
 980279  129.1 -11.8  00:26    g   15.000000  1.05  1.22  0.20   0.40  0.38    2021grd_P3  2021-04-03T00:26:00.000     0.4333   0      DEBASS     13.0
 980280  129.1 -11.8  00:27    r   15.000000  1.05  1.11  0.29   0.43  0.36    2021grd_P3  2021-04-03T00:27:00.000     0.4500   0      DEBASS     13.0
 980281  129.1 -11.8  00:28    i   15.000000  1.05  1.04  0.07   0.08  0.70    2021grd_P3  2021-04-03T00:28:00.000     0.4667   0      DEBASS     13.0
 980282  129.1 -11.8  00:29    z   15.000000  1.05  1.06  0.10   0.25  0.56    2021grd_P3  2021-04-03T00:29:00.000     0.4833   0      DEBASS     13.0
