  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff             Object                   utdate ut_decimal  twi       program  blockID
 983685  116.0 -29.0  23:11   r     5  1.00  1.33  4.15   0.00  0.01           pointing  2021-04-11T23:11:00.000    -0.8167    2    TECHSETUP1        1
 983686  116.0 -29.0  23:13   r    30  1.00  1.05  3.69   0.06  0.03           pointing  2021-04-11T23:13:00.000    -0.7833    2    TECHSETUP1        1
 983687   53.1 -27.8  23:18   z    10  1.83  1.34  2.58   0.19  0.04         C26202/HST  2021-04-11T23:18:00.000    -0.7000    2    STANDARDS1        2
 983688   53.1 -27.8  23:19   i    10  1.83   NaN   NaN    NaN   NaN         C26202/HST  2021-04-11T23:19:00.000    -0.6833    2    STANDARDS1        2
 983689   53.1 -27.8  23:20   r    10  1.84  1.39  4.00   0.11  0.01         C26202/HST  2021-04-11T23:20:00.000    -0.6667    1    STANDARDS1        3
 983690   53.1 -27.8  23:20   g    10  1.84  1.60  4.02   0.24  0.01         C26202/HST  2021-04-11T23:20:00.000    -0.6667    1    STANDARDS1        3
 983691   90.0 -66.6  23:22   i    90  1.32  1.13  1.69  -0.10  0.13              S-CVZ  2021-04-11T23:22:00.000    -0.6333    1          Shen        4
 983692   90.0 -66.6  23:24   i    90  1.32  1.10  1.34  -0.07  0.19              S-CVZ  2021-04-11T23:24:00.000    -0.6000    1          Shen        4
 983693   90.0 -66.6  23:26   r    70  1.32  1.15  1.39   0.10  0.18              S-CVZ  2021-04-11T23:26:00.000    -0.5667    1          Shen        4
 983694   90.0 -66.6  23:28   r    70  1.32  1.17  1.14   0.10  0.22              S-CVZ  2021-04-11T23:28:00.000    -0.5333    1          Shen        4
 983695   90.0 -66.6  23:30   g    80  1.33  1.31  1.23   0.15  0.18              S-CVZ  2021-04-11T23:30:00.000    -0.5000    0          Shen        5
 983696   90.0 -66.6  23:32   g    80  1.33  1.41  0.98   0.16  0.20              S-CVZ  2021-04-11T23:32:00.000    -0.4667    0          Shen        5
 983697  119.1 -67.8  23:34   g    15  1.26  1.30  0.62   0.16  0.33         2021hfq_P1  2021-04-11T23:34:00.000    -0.4333    0        DEBASS        6
 983698  119.1 -67.8  23:35   r    15  1.26  1.15  0.41   0.11  0.45         2021hfq_P1  2021-04-11T23:35:00.000    -0.4167    0        DEBASS        6
 983699  119.1 -67.8  23:36   i    15  1.26  1.12  0.24  -0.14  0.52         2021hfq_P1  2021-04-11T23:36:00.000    -0.4000    0        DEBASS        6
 983700  119.1 -67.8  23:37   z    15  1.26  1.04  0.22   0.01  0.57         2021hfq_P1  2021-04-11T23:37:00.000    -0.3833    0        DEBASS        6
 983701   91.5 -45.6  23:38   g    15  1.15  1.28  0.31   0.14  0.45         2021gmk_P1  2021-04-11T23:38:00.000    -0.3667    0        DEBASS        6
 983702   91.5 -45.6  23:39   r    15  1.15  1.07  0.20   0.09  0.64         2021gmk_P1  2021-04-11T23:39:00.000    -0.3500    0        DEBASS        6
 983703   91.5 -45.6  23:40   i    15  1.15  1.01  0.09  -0.06  0.73         2021gmk_P1  2021-04-11T23:40:00.000    -0.3333    0        DEBASS        6
 983704  200.6 -41.0  23:45   g    15  2.00  1.70  0.41   0.23  0.22         2021hvo_P1  2021-04-11T23:45:00.000    -0.2500    0        DEBASS        6
 983705  200.6 -41.0  23:45   r    15  2.00  1.36  0.42   0.12  0.32         2021hvo_P1  2021-04-11T23:45:00.000    -0.2500    0        DEBASS        6
