  expid     ra   dec     ut  fil          time  secz   psf   sky  cloud  teff      Object                   utdate ut_decimal twi     program  blockID
      0    NaN   NaN    NaN  NaN   5233.788316   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-20T23:19:46.212    -0.6705   0  DOWNTIME01      1.0
 987273  150.7 -30.6  00:47    r      5.000000  1.00  2.37  1.11   0.13  0.06    pointing  2021-04-21T00:47:00.000     0.7833   0  TECHSETUP1      2.0
 987274   83.0 -21.9  00:52    z      2.000000  2.06  2.37  0.89   0.47  0.04  2021jad_P1  2021-04-21T00:52:00.000     0.8667   0      DEBASS      3.0
 987275   83.0 -21.9  00:53    i      2.000000  2.07  2.35  1.12   0.05  0.05  2021jad_P1  2021-04-21T00:53:00.000     0.8833   0      DEBASS      3.0
 987276   83.0 -21.9  00:53    r      2.000000  2.07  2.83  1.72   0.22  0.02  2021jad_P1  2021-04-21T00:53:00.000     0.8833   0      DEBASS      3.0
 987277   83.0 -21.9  00:53    g      2.000000  2.08  3.21  2.33   0.30  0.01  2021jad_P1  2021-04-21T00:53:00.000     0.8833   0      DEBASS      3.0
 987278  134.8  10.2  00:56    g     15.000000  1.38  2.54  3.29   0.24  0.01  2021jys_P1  2021-04-21T00:56:00.000     0.9333   0      DEBASS      3.0
 987279  134.8  10.2  00:57    r     15.000000  1.38  2.18  2.92   0.19  0.01  2021jys_P1  2021-04-21T00:57:00.000     0.9500   0      DEBASS      3.0
 987280  134.8  10.2  00:57    i     15.000000  1.38  2.06  2.31   0.33  0.02  2021jys_P1  2021-04-21T00:57:00.000     0.9500   0      DEBASS      3.0
 987281  151.8  15.4  00:59    g     15.000000  1.42  2.44  2.98   0.26  0.01  2021jtk_P1  2021-04-21T00:59:00.000     0.9833   0      DEBASS      3.0
 987282  151.8  15.4  00:59    r     15.000000  1.42  2.10  2.58   0.20  0.02  2021jtk_P1  2021-04-21T00:59:00.000     0.9833   0      DEBASS      3.0
 987283  150.0   3.1  01:01    g     10.000000  1.20  2.44  2.64   0.26  0.01    COSMOS-1  2021-04-21T01:01:00.000     1.0167   0         DDF      4.0
 987284  150.0   3.1  01:01    g     60.000000  1.20  2.97  2.62   0.27  0.01    COSMOS-1  2021-04-21T01:01:00.000     1.0167   0         DDF      4.0
 987285  150.0   3.1  01:03    r     86.000000  1.20  2.80  2.12   0.21  0.02    COSMOS-1  2021-04-21T01:03:00.000     1.0500   0         DDF      4.0
 987286  150.0   3.1  01:05    i    130.000000  1.20  2.29  1.40   0.28  0.04    COSMOS-1  2021-04-21T01:05:00.000     1.0833   0         DDF      4.0
 987287  158.0 -60.7  01:10    i    100.000000  1.16  2.14  0.70  -0.05  0.09      ec0814  2021-04-21T01:10:00.000     1.1667   0      EtaCar      5.0
 987288  158.0 -60.7  01:12    z    100.000000  1.16   NaN   NaN    NaN   NaN      ec0814  2021-04-21T01:12:00.000     1.2000   0      EtaCar      5.0
 987289  161.3 -61.7  01:14    i    100.000000  1.18   NaN   NaN    NaN   NaN      ec0914  2021-04-21T01:14:00.000     1.2333   0      EtaCar      5.0
 987290  150.0   3.1  01:19    g     10.000000  1.21  2.45  2.78   0.23  0.01    COSMOS-1  2021-04-21T01:19:00.000     1.3167   0         DDF      6.0
 987291  150.0   3.1  01:20    g     60.000000  1.21  2.46  2.78   0.24  0.01    COSMOS-1  2021-04-21T01:20:00.000     1.3333   0         DDF      6.0
 987292  150.0   3.1  01:21    r     86.000000  1.21  2.30  2.36   0.20  0.02    COSMOS-1  2021-04-21T01:21:00.000     1.3500   0         DDF      6.0
 987293  150.0   3.1  01:23    i    130.000000  1.21  1.96  1.79   0.18  0.04    COSMOS-1  2021-04-21T01:23:00.000     1.3833   0         DDF      6.0
 987294  149.2   1.8  01:26    g     60.000000  1.20  2.08  2.79   0.31  0.01    COSMOS-2  2021-04-21T01:26:00.000     1.4333   0         DDF      6.0
 987295  149.2   1.8  01:27    r     86.000000  1.20  1.99  2.36   0.26  0.02    COSMOS-2  2021-04-21T01:27:00.000     1.4500   0         DDF      6.0
 987296  150.8   1.8  01:29    g     60.000000  1.19  2.31  2.70   0.24  0.01    COSMOS-3  2021-04-21T01:29:00.000     1.4833   0         DDF      6.0
      0    NaN   NaN    NaN  NaN  12677.400000   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T01:30:28.000     1.5078   0  DOWNTIME02      7.0
      0    NaN   NaN    NaN  NaN   8100.000000   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T05:01:45.400     5.0293   0  DOWNTIME03      8.0
      0    NaN   NaN    NaN  NaN   6635.880000   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T07:16:45.400     7.2793   0  DOWNTIME04      9.0
      0    NaN   NaN    NaN  NaN   1656.000000   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T09:07:21.280     9.1226   0  DOWNTIME05     10.0
      0    NaN   NaN    NaN  NaN    692.640000   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T09:34:57.280     9.5826   0  DOWNTIME06     11.0
      0    NaN   NaN    NaN  NaN   1083.584920   NaN   NaN   NaN    NaN   NaN    DOWNTIME  2021-04-21T09:46:29.920     9.7750   0  DOWNTIME07     12.0
