#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
989582 126.7 -29.2 22:56  r    5 1.00  1.12  4.33 -0.49  0.01 pointing
989583 126.7 -29.2 22:58  r   30 1.00  1.11  3.97 -0.49  0.02 pointing
989584  53.1 -27.8 23:03  u   30 2.43                         C26202/HST
989585  53.1 -27.8 23:04  g   10 2.45  1.41  5.31  0.33  0.00 C26202/HST
989586  53.1 -27.8 23:05  r   10 2.46                         C26202/HST
989587  53.1 -27.8 23:05  i   10 2.47  1.16  4.20 -0.12  0.01 C26202/HST
989588  53.1 -27.8 23:06  z   10 2.48  1.10  2.82  0.23  0.04 C26202/HST
989589  53.1 -27.8 23:06  Y   20 2.50  1.21  1.93  0.30  0.07 C26202/HST
989590  83.0 -21.9 23:08  Y    5 1.39  1.11  1.21  0.08  0.20 2021jad_P1
989591  83.0 -21.9 23:09  z    2 1.39  1.04  1.79  0.04  0.13 2021jad_P1
989592  83.0 -21.9 23:09  z    2 1.39  1.19  1.74  0.05  0.11 2021jad_P1
989593  83.0 -21.9 23:10  i    2 1.39  1.61  2.68 -0.02  0.03 2021jad_P1
989594  83.0 -21.9 23:10  i    2 1.39  1.15  2.62 -0.20  0.05 2021jad_P1
989595  83.0 -21.9 23:11  r    2 1.40  1.29  3.15  0.13  0.03 2021jad_P1
989596  83.0 -21.9 23:11  r    2 1.40  1.12  3.11  0.14  0.04 2021jad_P1
989597  83.0 -21.9 23:12  g    2 1.40  1.33  3.99  0.20  0.01 2021jad_P1
989598  83.0 -21.9 23:12  g    2 1.40  1.21  3.98  0.20  0.02 2021jad_P1
989599  83.0 -21.9 23:13  u   50 1.41  1.44  0.50 -0.29  0.33 2021jad_P1
989600  90.0 -66.6 23:16  i   90 1.40  1.28  1.71 -0.09  0.10 S-CVZ
989601  90.0 -66.6 23:18  i   90 1.41  1.20  1.66 -0.11  0.12 S-CVZ
989602  90.0 -66.6 23:20  r   70 1.41  1.18  2.60  0.07  0.06 S-CVZ
989603  90.0 -66.6 23:22  r   70 1.42  1.21  2.60  0.08  0.05 S-CVZ
989604  90.0 -66.6 23:23  g   80 1.42  1.27  3.71  1.95  0.00 S-CVZ
#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
989606  90.0 -66.6 23:30  g   80 1.00                         S-CVZ
989607  90.0 -66.6 23:33  i   90 1.44  1.24  1.60 -0.12  0.12 S-CVZ
989608  90.0 -66.6 23:35  g   80 1.45  1.35  3.77  0.14  0.02 S-CVZ
989609  90.0 -66.6 23:37  g   80 1.45  1.25  3.79  0.15  0.02 S-CVZ
989610 119.1 -67.8 23:40  g   15 1.30  1.13  3.70  0.15  0.03 2021hfq_P1
989611 119.1 -67.8 23:41  r   15 1.30  1.01  2.56  0.08  0.08 2021hfq_P1
989612 119.1 -67.8 23:42  i   15 1.30  1.07  1.51 -0.18  0.18 2021hfq_P1
989613 119.1 -67.8 23:42  z   15 1.30  1.01  0.97 -0.01  0.30 2021hfq_P1
989614 139.6 -30.9 23:45  g   15 1.00  1.35  3.53  0.04  0.02 2021ill_P1
989615 139.6 -30.9 23:45  r   15 1.00  0.97  2.41  0.02  0.10 2021ill_P1
989616 139.6 -30.9 23:46  i   15 1.00  0.90  1.34 -0.21  0.29 2021ill_P1
989617 154.4 -23.8 23:49  g   15 1.03  1.10  3.76  0.05  0.03 2021fna_P1
989618 154.4 -23.8 23:49  r   15 1.03  1.02  2.70  0.07  0.07 2021fna_P1
989619 154.4 -23.8 23:50  i   15 1.03  0.95  1.74 -0.16  0.18 2021fna_P1
989620 141.4 -25.3 23:52  g   25 1.00  1.19  3.56  0.05  0.03 2021hjc_P1
989621 141.4 -25.3 23:53  r   25 1.00  1.00  2.45  0.03  0.09 2021hjc_P1
989622 141.4 -25.3 23:54  i   25 1.00  1.07  1.41 -0.22  0.19 2021hjc_P1
989623 142.0  -7.0 23:55  g   15 1.09  1.27  3.66  0.06  0.02 2021iov_P1
989624 142.0  -7.0 23:56  r   15 1.09  1.11  2.53  0.07  0.07 2021iov_P1
989625 142.0  -7.0 23:57  i   15 1.09  1.08  1.48 -0.12  0.18 2021iov_P1
989626 134.8  10.2 23:58  g   15 1.33  1.31  3.81  0.13  0.02 2021jys_P1
989627 134.8  10.2 23:59  r   15 1.33  1.15  2.66  0.06  0.06 2021jys_P1
989628 134.8  10.2 23:59  i   15 1.33  1.11  1.57 -0.11  0.15 2021jys_P1
989629 149.2   1.8 00:01  g   10 1.18  1.22  3.83  0.13  0.02 COSMOS-2
#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
989630 149.2   1.8 00:02  g   60 1.18  1.27  3.84  0.11  0.02 COSMOS-2
989631 149.2   1.8 00:03  r   86 1.18  2.05  2.69  0.01  0.02 COSMOS-2
989632 149.2   1.8 00:05  i  130 1.18  1.16  1.60 -0.04  0.14 COSMOS-2
989633 150.8   1.8 00:08  g   60 1.18  1.32  3.87  0.07  0.02 COSMOS-3
989634 150.8   1.8 00:09  r   86 1.18  1.14  2.72  0.00  0.06 COSMOS-3
989635 150.8   1.8 00:11  i  130 1.18  1.08  1.59 -0.04  0.16 COSMOS-3
989636 150.0   3.1 00:14  g   60 1.20  1.25  3.88  0.09  0.02 COSMOS-1
989637 150.0   3.1 00:15  r   86 1.19  1.19  2.72  0.02  0.05 COSMOS-1
989638 150.0   3.1 00:17  i  130 1.19  1.18  1.58 -0.09  0.14 COSMOS-1
989639 149.2   1.8 00:20  g   60 1.18  1.45  3.87  0.11  0.01 COSMOS-2
989640 149.2   1.8 00:21  r   86 1.18  1.22  2.70  0.01  0.05 COSMOS-2
989641 149.2   1.8 00:23  i  130 1.18  1.14  1.55 -0.01  0.15 COSMOS-2
989642 150.8   1.8 00:26  g   60 1.18  1.12  3.90  0.06  0.02 COSMOS-3
989643 150.8   1.8 00:27  r   86 1.18  1.12  2.72 -0.01  0.06 COSMOS-3
989644 150.8   1.8 00:29  i  130 1.18  1.15  1.56 -0.07  0.15 COSMOS-3
989645 129.1 -11.8 00:33  g   15 1.14  1.39  3.70  0.10  0.02 2021grd_P1
989646 129.1 -11.8 00:33  r   15 1.14  1.19  2.50  0.11  0.06 2021grd_P1
989647 129.1 -11.8 00:34  i   15 1.14  1.24  1.38 -0.30  0.15 2021grd_P1
989648 129.1 -11.8 00:35  z   15 1.14  1.17  0.80 -0.10  0.27 2021grd_P1
989649 133.8  16.7 00:37  g   25 1.57  1.39  4.05  0.17  0.01 2021hjb_P1
989650 133.8  16.7 00:38  r   25 1.57  1.39  2.84  0.13  0.03 2021hjb_P1
989651 133.8  16.7 00:39  i   25 1.57  1.30  1.63 -0.15  0.11 2021hjb_P1
989652 135.6   7.8 00:40  g   15 1.34  1.36  3.92  0.14  0.01 2021ibo_P1
989653 135.6   7.8 00:41  r   15 1.34  1.44  2.72  0.07  0.03 2021ibo_P1
#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
989654 135.6   7.8 00:41  i   15 1.34  1.17  1.53 -0.07  0.14 2021ibo_P1
989655 135.6   7.8 00:42  z   15 1.35  1.08  0.86  0.04  0.29 2021ibo_P1
989656 149.5   0.8 00:43  g   15 1.17  1.43  3.91  0.09  0.01 2021ghc_P1
989657 149.5   0.8 00:44  r   15 1.17  1.13  2.73  0.05  0.06 2021ghc_P1
989658 149.5   0.8 00:45  i   15 1.17  1.06  1.56  0.04  0.17 2021ghc_P1
989659 155.0  -4.3 00:46  g   15 1.11  1.24  3.94  0.10  0.02 2021jze_P1
989660 155.0  -4.3 00:46  r   15 1.11  1.21  2.77  0.06  0.05 2021jze_P1
989661 155.0  -4.3 00:47  i   15 1.11  1.22  1.60 -0.06  0.12 2021jze_P1
989662 155.0  -4.3 00:48  z   15 1.11  1.23  0.87  0.06  0.22 2021jze_P1
989663 161.6 -29.0 00:50  g   15 1.00  1.33  4.05  0.09  0.01 2021gwn_P1
989664 161.6 -29.0 00:50  r   15 1.00  1.17  3.27  0.04  0.03 2021gwn_P1
989665 161.6 -29.0 00:51  i   15 1.00  1.16  3.49 -0.19  0.02 2021gwn_P1
989666 161.6 -29.0 00:52  z   15 1.00  1.23  2.73  0.10  0.04 2021gwn_P1
989667 163.6  -9.5 00:54  g   15 1.07  1.43  4.05  0.08  0.01 2021jap_P1
989668 163.6  -9.5 00:54  r   15 1.07  1.41  2.89  0.08  0.03 2021jap_P1
989669 163.6  -9.5 00:55  i   15 1.07  1.22  1.73 -0.14  0.11 2021jap_P1
989670 163.6  -9.5 00:56  z   15 1.07  1.15  0.97  0.02  0.23 2021jap_P1
989671 175.0  -7.0 00:57  g   15 1.13  1.50  4.28  0.12  0.01 2021ipf_P1
989672 175.0  -7.0 00:58  r   15 1.13  1.43  3.15  0.09  0.02 2021ipf_P1
989673 175.0  -7.0 00:58  i   15 1.13  1.24  1.93 -0.01  0.09 2021ipf_P1
989674 178.7  -7.3 00:59  g   15 1.15  1.41  4.35  0.12  0.01 2021hup_P2
989675 178.7  -7.3 01:00  r   15 1.15  1.48  3.25  0.07  0.02 2021hup_P2
989676 178.7  -7.3 01:00  i   15 1.14  1.19  2.02  0.01  0.09 2021hup_P2
989677 150.0   3.1 01:02  g   10 1.21  1.47  3.98  0.11  0.01 COSMOS-1
#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
989678 150.0   3.1 01:03  g   60 1.21  1.34  3.99  0.10  0.01 COSMOS-1
989679 150.0   3.1 01:04  r   86 1.21  1.18  2.80  0.03  0.05 COSMOS-1
989680 150.0   3.1 01:06  i  130 1.22  1.16  1.61 -0.02  0.14 COSMOS-1
989681 149.2   1.8 01:09  g   60 1.20  1.19  3.98  0.12  0.02 COSMOS-2
989682 149.2   1.8 01:10  r   86 1.21  1.00  2.79  0.09  0.07 COSMOS-2
989683 149.2   1.8 01:12  i  130 1.21  1.24  1.62 -0.02  0.12 COSMOS-2
989684 150.8   1.8 01:15  g   60 1.20  1.34  4.01  0.09  0.01 COSMOS-3
