         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2174 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.0671 0.1275 0.0000 0.0000 0.0000
 DESI                      3.0611 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2090 0.0000 0.0000 0.0000 0.0000
 YSE                       3.6357 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5431 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0667 0.0453 0.0000 0.0000
 STANDARDS2                0.0917 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     10.8250 0.1942 0.0947 0.0000 0.0000
 total time avail. (hr)   11.2075 0.3174 0.3190    nan    nan
