 expid    ra   dec    ut fil  time  secz  psf   sky  cloud  teff            Object                  utdate ut_decimal  twi    program  blockID
996117 137.5 -30.4 22:45   r     5  1.00 1.45  3.85   0.03  0.01          pointing 2021-05-11T22:45:00.000    -1.2500    2 TECHSETUP1        1
996118 137.5 -30.4 22:47   r    30  1.00 1.48  3.43   0.03  0.02          pointing 2021-05-11T22:47:00.000    -1.2167    2 TECHSETUP1        1
996119 162.0   0.0 22:51   z    15  1.23 1.30  1.32   0.18  0.13    SDSSJ1048-0000 2021-05-11T22:51:00.000    -1.1500    2 STANDARDS1        2
996120 162.0   0.0 22:52   i    15  1.23 1.52  2.17   0.21  0.05    SDSSJ1048-0000 2021-05-11T22:52:00.000    -1.1333    2 STANDARDS1        2
996121 162.0   0.0 22:53   r    15  1.23 1.65  2.49   0.09  0.03    SDSSJ1048-0000 2021-05-11T22:53:00.000    -1.1167    2 STANDARDS1        2
996122 162.0   0.0 22:53   g    15  1.23 1.75  3.00   0.14  0.02    SDSSJ1048-0000 2021-05-11T22:53:00.000    -1.1167    2 STANDARDS1        2
996123 162.0   0.0 22:54   u    30  1.23 1.94 -0.65  -0.15  0.52    SDSSJ1048-0000 2021-05-11T22:54:00.000    -1.1000    1 STANDARDS1        3
996124  83.0 -21.9 22:58   Y     5  1.72 1.66  1.13   0.27  0.08        2021jad_P1 2021-05-11T22:58:00.000    -1.0333    1     DEBASS        4
996125  83.0 -21.9 22:59   z     5  1.72 1.71  1.59   0.20  0.06        2021jad_P1 2021-05-11T22:59:00.000    -1.0167    1     DEBASS        4
996126  83.0 -21.9 22:59   z     5  1.72 1.57  1.55   0.18  0.07        2021jad_P1 2021-05-11T22:59:00.000    -1.0167    1     DEBASS        4
996127  83.0 -21.9 23:00   i     5  1.73 1.63  2.30  -0.03  0.04        2021jad_P1 2021-05-11T23:00:00.000    -1.0000    1     DEBASS        4
996128  83.0 -21.9 23:00   i     5  1.73 1.63  2.21  -0.05  0.04        2021jad_P1 2021-05-11T23:00:00.000    -1.0000    1     DEBASS        4
996129  83.0 -21.9 23:01   r     5  1.74 1.68  2.32   0.18  0.04        2021jad_P1 2021-05-11T23:01:00.000    -0.9833    1     DEBASS        4
996130  83.0 -21.9 23:02   r     5  1.74 1.71  2.23   0.19  0.04        2021jad_P1 2021-05-11T23:02:00.000    -0.9667    1     DEBASS        4
996131  83.0 -21.9 23:02   g     5  1.75 2.06  2.43   0.25  0.02        2021jad_P1 2021-05-11T23:02:00.000    -0.9667    1     DEBASS        4
996132  83.0 -21.9 23:03   g     5  1.75 2.12  2.33   0.26  0.02        2021jad_P1 2021-05-11T23:03:00.000    -0.9500    1     DEBASS        4
996133  83.0 -21.9 23:03   u    50  1.76 2.18 -1.42  -0.11  0.84        2021jad_P1 2021-05-11T23:03:00.000    -0.9500    1     DEBASS        4
996134 138.1 -27.4 23:07   i    15  1.01 1.30  0.54  -0.17  0.29        2021knh_P1 2021-05-11T23:07:00.000    -0.8833    0     DEBASS        5
996135 138.1 -27.4 23:07   r    15  1.01 1.39  0.58   0.08  0.27        2021knh_P1 2021-05-11T23:07:00.000    -0.8833    0     DEBASS        5
996136 138.1 -27.4 23:08   g    15  1.01 1.42  0.50   0.13  0.31        2021knh_P1 2021-05-11T23:08:00.000    -0.8667    0     DEBASS        5
996137  90.0 -66.6 23:11   i    90  1.54 1.59  0.80  -0.05  0.15             S-CVZ 2021-05-11T23:11:00.000    -0.8167    0       Shen        6
996138  90.0 -66.6 23:13   i    90  1.54 1.44  0.78  -0.03  0.19             S-CVZ 2021-05-11T23:13:00.000    -0.7833    0       Shen        6
996139  90.0 -66.6 23:14   r    70  1.55 1.49  0.58   0.17  0.23             S-CVZ 2021-05-11T23:14:00.000    -0.7667    0       Shen        6
996140  90.0 -66.6 23:16   r    70  1.55 1.62  0.55   0.14  0.20             S-CVZ 2021-05-11T23:16:00.000    -0.7333    0       Shen        6
996141  90.0 -66.6 23:18   g    80  1.56 1.82  0.11   0.20  0.27             S-CVZ 2021-05-11T23:18:00.000    -0.7000    0       Shen        6
