  expid     ra   dec     ut  fil   time  secz   psf   sky  cloud  teff             Object                   utdate ut_decimal twi     program  blockID
 998501  141.7 -28.8  22:42    r    5.0  1.00  1.14  3.63  -0.05  0.02           pointing  2021-05-17T22:42:00.000    -1.3000   2  TECHSETUP1      1.0
 998502  141.7 -28.8  22:44    r   30.0  1.00  0.86  3.23   0.02  0.06           pointing  2021-05-17T22:44:00.000    -1.2667   2  TECHSETUP1      1.0
 998503  162.0   0.0  22:46    Y   20.0  1.20  0.80  1.11   0.06  0.41     SDSSJ1048-0000  2021-05-17T22:46:00.000    -1.2333   2  STANDARDS1      2.0
 998504  162.0   0.0  22:47    z   15.0  1.20  0.84  1.52   0.10  0.27     SDSSJ1048-0000  2021-05-17T22:47:00.000    -1.2167   2  STANDARDS1      2.0
 998505  162.0   0.0  22:47    i   15.0  1.20  0.82  2.27  -0.02  0.15     SDSSJ1048-0000  2021-05-17T22:47:00.000    -1.2167   2  STANDARDS1      2.0
 998506  162.0   0.0  22:48    r   15.0  1.20  0.83  2.50   0.01  0.13     SDSSJ1048-0000  2021-05-17T22:48:00.000    -1.2000   2  STANDARDS1      2.0
 998507  162.0   0.0  22:49    g   15.0  1.20  0.95  3.09   0.08  0.06     SDSSJ1048-0000  2021-05-17T22:49:00.000    -1.1833   2  STANDARDS1      2.0
 998508  162.0   0.0  22:50    u   30.0  1.19   NaN   NaN    NaN   NaN     SDSSJ1048-0000  2021-05-17T22:50:00.000    -1.1667   2  STANDARDS1      2.0
 998509   83.0 -21.9  22:54    Y    5.0  1.91  1.06  1.39   0.07  0.18         2021jad_P1  2021-05-17T22:54:00.000    -1.1000   1      DEBASS      3.0
 998510   83.0 -21.9  22:54    z    5.0  1.91  1.04  1.71   0.05  0.15         2021jad_P1  2021-05-17T22:54:00.000    -1.1000   1      DEBASS      3.0
 998511   83.0 -21.9  22:55    z    5.0  1.92  0.95  1.60   0.03  0.19         2021jad_P1  2021-05-17T22:55:00.000    -1.0833   1      DEBASS      3.0
 998512   83.0 -21.9  22:55    i    5.0  1.92  1.00  2.31  -0.19  0.10         2021jad_P1  2021-05-17T22:55:00.000    -1.0833   1      DEBASS      3.0
 998514   83.0 -21.9  22:56    r    5.0  1.94  1.15  2.28   0.15  0.08         2021jad_P1  2021-05-17T22:56:00.000    -1.0667   1      DEBASS      3.0
 998513   83.0 -21.9  22:56    i    5.0  1.93  1.02  2.15  -0.18  0.11         2021jad_P1  2021-05-17T22:56:00.000    -1.0667   1      DEBASS      3.0
 998515   83.0 -21.9  22:57    r    5.0  1.94  1.15  2.21   0.14  0.09         2021jad_P1  2021-05-17T22:57:00.000    -1.0500   1      DEBASS      3.0
 998516   83.0 -21.9  22:57    g    5.0  1.95  1.22  2.80   0.26  0.04         2021jad_P1  2021-05-17T22:57:00.000    -1.0500   1      DEBASS      3.0
 998517   83.0 -21.9  22:58    g    5.0  1.96  1.17  2.73   0.29  0.05         2021jad_P1  2021-05-17T22:58:00.000    -1.0333   1      DEBASS      3.0
 998518   83.0 -21.9  22:59    u   50.0  1.96  1.19 -0.84   0.03  1.64         2021jad_P1  2021-05-17T22:59:00.000    -1.0167   1      DEBASS      3.0
 998519  139.6 -30.9  23:02    i   15.0  1.01  0.90  0.55  -0.23  0.60         2021ill_P1  2021-05-17T23:02:00.000    -0.9667   0      DEBASS      4.0
 998520  139.6 -30.9  23:03    r   15.0  1.01  0.84  0.71   0.00  0.65         2021ill_P1  2021-05-17T23:03:00.000    -0.9500   0      DEBASS      4.0
 998521  139.6 -30.9  23:03    g   15.0  1.01  0.93  1.12   0.07  0.41         2021ill_P1  2021-05-17T23:03:00.000    -0.9500   0      DEBASS      4.0
 998522  138.1 -27.4  23:04    z   15.0  1.02  0.89  0.42  -0.01  0.65         2021knh_P1  2021-05-17T23:04:00.000    -0.9333   0      DEBASS      4.0
 998523  138.1 -27.4  23:05    i   15.0  1.02  1.03  0.49  -0.20  0.49         2021knh_P1  2021-05-17T23:05:00.000    -0.9167   0      DEBASS      4.0
 998524  138.1 -27.4  23:06    r   15.0  1.02  0.93  0.73   0.06  0.52         2021knh_P1  2021-05-17T23:06:00.000    -0.9000   0      DEBASS      4.0
 998525  138.1 -27.4  23:06    g   15.0  1.02  0.90  1.19   0.18  0.41         2021knh_P1  2021-05-17T23:06:00.000    -0.9000   0      DEBASS      4.0
 998526   90.0 -66.6  23:09    i   90.0  1.61  1.24  0.94   0.03  0.22              S-CVZ  2021-05-17T23:09:00.000    -0.8500   0        Shen      5.0
 998527   90.0 -66.6  23:11    i   90.0  1.61  1.12  0.85  -0.05  0.30              S-CVZ  2021-05-17T23:11:00.000    -0.8167   0        Shen      5.0
 998528   90.0 -66.6  23:13    r   70.0  1.62  1.13  0.77   0.13  0.34              S-CVZ  2021-05-17T23:13:00.000    -0.7833   0        Shen      5.0
 998529   90.0 -66.6  23:15    r   70.0  1.63  1.19  0.72   0.13  0.32              S-CVZ  2021-05-17T23:15:00.000    -0.7500   0        Shen      5.0
 998530   90.0 -66.6  23:16    g   80.0  1.63  1.35  0.97   0.17  0.22              S-CVZ  2021-05-17T23:16:00.000    -0.7333   0        Shen      5.0
 998531   90.0 -66.6  23:18    g   80.0  1.64  1.27  1.00   0.21  0.24              S-CVZ  2021-05-17T23:18:00.000    -0.7000   0        Shen      5.0
 998532  125.2 -12.6  23:22    g   50.0  1.19  1.09  1.32   0.13  0.25      415.A.2021koj  2021-05-17T23:22:00.000    -0.6333   0         YSE      6.0
 998533  125.2 -12.6  23:23    r   50.0  1.19  0.94  1.10   0.23  0.34      415.A.2021koj  2021-05-17T23:23:00.000    -0.6167   0         YSE      6.0
 998534  140.7   4.5  23:25    z   15.0  1.26  0.94  0.78   0.08  0.42         2021law_P1  2021-05-17T23:25:00.000    -0.5833   0      DEBASS      7.0
 998535  140.7   4.5  23:26    i   15.0  1.26  0.86  1.03   0.02  0.42         2021law_P1  2021-05-17T23:26:00.000    -0.5667   0      DEBASS      7.0
 998536  143.8 -16.8  23:28    i   15.0  1.05  0.90  0.86  -0.14  0.45         2021lnf_P1  2021-05-17T23:28:00.000    -0.5333   0      DEBASS      7.0
 998537  143.8 -16.8  23:28    r   15.0  1.05  0.86  1.03   0.18  0.46         2021lnf_P1  2021-05-17T23:28:00.000    -0.5333   0      DEBASS      7.0
 998538  143.8 -16.8  23:29    g   15.0  1.05  0.86  1.12   0.10  0.47         2021lnf_P1  2021-05-17T23:29:00.000    -0.5167   0      DEBASS      7.0
 998539  143.8 -16.8  23:30    g   50.0  1.05  0.86  1.15   0.11  0.46      365.A.2021lnf  2021-05-17T23:30:00.000    -0.5000   0         YSE      8.0
 998540  143.8 -16.8  23:31    r   50.0  1.05  0.85  0.79   0.01  0.59      365.A.2021lnf  2021-05-17T23:31:00.000    -0.4833   0         YSE      8.0
 998541  129.0   3.0  23:33    r   60.0  1.37  1.21  1.59   0.08  0.14             eFEDS1  2021-05-17T23:33:00.000    -0.4500   0       eFEDS      9.0
 998542  129.0   1.0  23:35    r   60.0  1.34  1.08  1.29   0.12  0.23             eFEDS9  2021-05-17T23:35:00.000    -0.4167   0       eFEDS      9.0
 998543  130.0  -1.0  23:36    r   60.0  1.30  1.05  1.64   0.22  0.17            eFEDS17  2021-05-17T23:36:00.000    -0.4000   0       eFEDS      9.0
 998544  131.0   3.0  23:38    r   60.0  1.36  1.07  2.39   0.43  0.06             eFEDS2  2021-05-17T23:38:00.000    -0.3667   0       eFEDS      9.0
 998545  131.0   1.0  23:39    r   60.0  1.33  1.19  1.80   0.27  0.10            eFEDS10  2021-05-17T23:39:00.000    -0.3500   0       eFEDS      9.0
