   expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff            Object                   utdate ut_decimal  twi     program  blockID
 1000394  146.3 -30.2  22:39   r     5  1.00  1.07  3.74   0.08  0.02          pointing  2021-05-23T22:39:00.000    -1.3500    2  TECHSETUP1        1
 1000395  146.3 -30.2  22:41   r    30  1.00  0.99  3.35   0.06  0.04          pointing  2021-05-23T22:41:00.000    -1.3167    2  TECHSETUP1        1
 1000396  146.3 -30.2  22:43   z    15  1.00  0.86  1.56   0.03  0.24    SDSSJ1048-0000  2021-05-23T22:43:00.000    -1.2833    2  STANDARDS1        2
 1000397  146.3 -30.2  22:44   i    15  1.00  1.01  2.38  -0.20  0.09    SDSSJ1048-0000  2021-05-23T22:44:00.000    -1.2667    2  STANDARDS1        2
 1000398  146.3 -30.2  22:50   r    15  1.01  1.02  2.33   0.05  0.10    SDSSJ1048-0000  2021-05-23T22:50:00.000    -1.1667    1  STANDARDS1        3
 1000399  146.3 -30.2  22:50   g    15  1.01  1.11  3.24   0.12  0.04    SDSSJ1048-0000  2021-05-23T22:50:00.000    -1.1667    1  STANDARDS1        3
 1000400  146.3 -30.2  22:51   u    30  1.01  1.17 -0.11  -0.25  0.87    SDSSJ1048-0000  2021-05-23T22:51:00.000    -1.1500    1  STANDARDS1        3
 1000401   83.0 -21.9  22:55   Y     5  2.25  1.12  1.46   0.07  0.15        2021jad_P1  2021-05-23T22:55:00.000    -1.0833    1      DEBASS        4
 1000402   83.0 -21.9  22:55   z     5  2.25  1.10  1.80   0.04  0.12        2021jad_P1  2021-05-23T22:55:00.000    -1.0833    1      DEBASS        4
 1000403   83.0 -21.9  22:56   z     5  2.26  1.10  1.79   0.07  0.12        2021jad_P1  2021-05-23T22:56:00.000    -1.0667    1      DEBASS        4
 1000404   83.0 -21.9  22:56   i     5  2.27  1.15  2.39  -0.17  0.07        2021jad_P1  2021-05-23T22:56:00.000    -1.0667    1      DEBASS        4
 1000405   83.0 -21.9  22:57   i     5  2.28  1.16  2.33  -0.16  0.07        2021jad_P1  2021-05-23T22:57:00.000    -1.0500    1      DEBASS        4
 1000406   83.0 -21.9  22:57   r     5  2.29  1.24  2.95   0.21  0.04        2021jad_P1  2021-05-23T22:57:00.000    -1.0500    1      DEBASS        4
 1000407   83.0 -21.9  22:58   r     5  2.30  1.17  2.92   0.20  0.04        2021jad_P1  2021-05-23T22:58:00.000    -1.0333    1      DEBASS        4
 1000408   83.0 -21.9  22:58   g     5  2.31  1.39  3.83   0.33  0.01        2021jad_P1  2021-05-23T22:58:00.000    -1.0333    1      DEBASS        4
 1000409   83.0 -21.9  22:59   g     5  2.32  1.43  3.81   0.34  0.01        2021jad_P1  2021-05-23T22:59:00.000    -1.0167    0      DEBASS        5
 1000410   83.0 -21.9  23:00   u    50  2.33  1.31  0.40   0.08  0.43        2021jad_P1  2021-05-23T23:00:00.000    -1.0000    0      DEBASS        5
 1000411  138.1 -27.4  23:03   i    15  1.04  0.94  1.15  -0.18  0.32        2021knh_P1  2021-05-23T23:03:00.000    -0.9500    0      DEBASS        5
 1000412  138.1 -27.4  23:04   r    15  1.04  0.89  1.85   0.08  0.20        2021knh_P1  2021-05-23T23:04:00.000    -0.9333    0      DEBASS        5
 1000413  138.1 -27.4  23:04   g    15  1.04  1.03  2.84   0.12  0.07        2021knh_P1  2021-05-23T23:04:00.000    -0.9333    0      DEBASS        5
 1000414   90.0 -66.6  23:07   i    90  1.69  0.97  1.53  -0.04  0.21             S-CVZ  2021-05-23T23:07:00.000    -0.8833    0        Shen        6
 1000415   90.0 -66.6  23:09   i    90  1.69  0.87  1.52  -0.04  0.26             S-CVZ  2021-05-23T23:09:00.000    -0.8500    0        Shen        6
 1000416   90.0 -66.6  23:11   r    70  1.70  1.00  2.17   0.16  0.12             S-CVZ  2021-05-23T23:11:00.000    -0.8167    0        Shen        6
 1000417   90.0 -66.6  23:13   r    70  1.71  1.04  2.17   0.13  0.11             S-CVZ  2021-05-23T23:13:00.000    -0.7833    0        Shen        6
 1000418   90.0 -66.6  23:14   g    80  1.72  1.13  3.18   0.22  0.04             S-CVZ  2021-05-23T23:14:00.000    -0.7667    0        Shen        6
 1000419   90.0 -66.6  23:16   g    80  1.72  1.14  3.18   0.21  0.04             S-CVZ  2021-05-23T23:16:00.000    -0.7333    0        Shen        6
 1000420  125.9  14.1  23:21   z    15  1.77  0.91  1.27  -0.02  0.28        2021kly_P1  2021-05-23T23:21:00.000    -0.6500    0      DEBASS        7
 1000421  125.9  14.1  23:22   i    15  1.77  0.86  1.54  -0.08  0.27        2021kly_P1  2021-05-23T23:22:00.000    -0.6333    0      DEBASS        7
 1000422  125.9  14.1  23:22   r    15  1.77  0.90  2.33   0.16  0.13        2021kly_P1  2021-05-23T23:22:00.000    -0.6333    0      DEBASS        7
 1000423  125.9  14.1  23:23   g    15  1.78  1.10  3.31   0.23  0.04        2021kly_P1  2021-05-23T23:23:00.000    -0.6167    0      DEBASS        7
 1000424  134.8  10.2  23:26   z    15  1.50  0.86  1.07   0.08  0.38        2021jys_P1  2021-05-23T23:26:00.000    -0.5667    0      DEBASS        7
 1000425  134.8  10.2  23:27   i    15  1.50  0.81  1.37   0.02  0.35        2021jys_P1  2021-05-23T23:27:00.000    -0.5500    0      DEBASS        7
 1000426  134.8  10.2  23:27   r    15  1.50  0.89  2.18   0.13  0.15        2021jys_P1  2021-05-23T23:27:00.000    -0.5500    0      DEBASS        7
 1000427  134.8  10.2  23:28   g    15  1.50  1.04  3.20   0.20  0.05        2021jys_P1  2021-05-23T23:28:00.000    -0.5333    0      DEBASS        7
 1000428  140.7   4.5  23:29   i    15  1.32  0.82  1.31   0.06  0.36        2021law_P1  2021-05-23T23:29:00.000    -0.5167    0      DEBASS        7
 1000429  140.7   4.5  23:30   r    15  1.32  0.94  2.10   0.16  0.14        2021law_P1  2021-05-23T23:30:00.000    -0.5000    0      DEBASS        7
 1000430  140.7   4.5  23:31   g    15  1.32  1.00  3.12   0.18  0.06        2021law_P1  2021-05-23T23:31:00.000    -0.4833    0      DEBASS        7
 1000431  129.0   3.0  23:32   r    60  1.46  1.00  2.11   0.14  0.13            eFEDS1  2021-05-23T23:32:00.000    -0.4667    0       eFEDS        8
 1000432  129.0   1.0  23:33   r    60  1.43  0.98  2.08   0.15  0.13            eFEDS9  2021-05-23T23:33:00.000    -0.4500    0       eFEDS        8
 1000433  130.0  -1.0  23:35   r    60  1.38  0.99  2.05   0.15  0.14           eFEDS17  2021-05-23T23:35:00.000    -0.4167    0       eFEDS        8
 1000434  131.0   3.0  23:36   r    60  1.44  0.95  2.11   0.10  0.14            eFEDS2  2021-05-23T23:36:00.000    -0.4000    0       eFEDS        8
 1000435  131.0   1.0  23:38   r    60  1.41  1.00  2.08   0.12  0.13           eFEDS10  2021-05-23T23:38:00.000    -0.3667    0       eFEDS        8
 1000436  132.0  -1.0  23:39   r    60  1.37  0.92  2.05   0.17  0.16           eFEDS21  2021-05-23T23:39:00.000    -0.3500    0       eFEDS        8
 1000437  133.0   3.0  23:41   r    60  1.43  0.90  2.11   0.12  0.16            eFEDS3  2021-05-23T23:41:00.000    -0.3167    0       eFEDS        8
 1000438  133.0   1.0  23:42   r    60  1.40  0.95  2.08   0.13  0.14           eFEDS11  2021-05-23T23:42:00.000    -0.3000    0       eFEDS        8
 1000439  134.0  -1.0  23:44   r    60  1.36  0.94  2.05   0.16  0.15           eFEDS18  2021-05-23T23:44:00.000    -0.2667    0       eFEDS        8
 1000440  135.0   1.0  23:45   r    60  1.38  0.91  2.09   0.12  0.15           eFEDS12  2021-05-23T23:45:00.000    -0.2500    0       eFEDS        8
 1000441  135.0   3.0  23:47   r    60  1.42  0.94  2.12   0.08  0.14            eFEDS4  2021-05-23T23:47:00.000    -0.2167    0       eFEDS        8
 1000442  136.0  -1.0  23:48   r    60  1.34  0.92  2.06   0.10  0.16           eFEDS22  2021-05-23T23:48:00.000    -0.2000    0       eFEDS        8
 1000443  137.0   3.0  23:50   r    60  1.40  0.92  2.11   0.10  0.15            eFEDS5  2021-05-23T23:50:00.000    -0.1667    0       eFEDS        8
 1000444  137.0   1.0  23:51   r    60  1.37  0.97  2.20   0.15  0.12           eFEDS13  2021-05-23T23:51:00.000    -0.1500    0       eFEDS        8
 1000445  138.0  -1.0  23:53   r    60  1.33  0.88  2.10   0.13  0.16           eFEDS19  2021-05-23T23:53:00.000    -0.1167    0       eFEDS        8
 1000446  139.0   1.0  23:54   r    60  1.35  0.89  2.08   0.09  0.16           eFEDS14  2021-05-23T23:54:00.000    -0.1000    0       eFEDS        8
