#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
1189352 230.8   8.6 23:26  r    5 1.01                         pointing
1189353 230.8   8.6 23:29  r   30 1.01                         pointing
1189357 230.8   8.6 23:43  r    5 1.02                         
1189358 112.0 -29.2 23:46  r   30 1.00  1.22  1.77  0.15  0.12 
1189359 112.0 -29.2 23:49  r    5 1.00  1.29  1.64  0.16  0.12 
1189360  79.2   6.4 23:53  z   15 1.57  1.43  1.09 -0.04  0.14 2023cvn_P1
1189361  79.2   6.4 23:54  i   15 1.57  1.42  1.55 -0.22  0.10 2023cvn_P1
1189362  79.2   6.4 23:55  r   15 1.57  1.36  2.07  0.12  0.07 2023cvn_P1
1189363  79.2   6.4 23:55  g   15 1.58  1.65  2.57  0.18  0.03 2023cvn_P1
1189364  58.6 -25.8 23:57  r   50 1.58  1.05  1.75  0.02  0.16 253.A.a
1189365  58.6 -22.7 23:59  r   50 1.63  1.09  1.76  0.13  0.15 253.B.a
1189366  66.9 -25.8 00:00  r   50 1.40  1.07  1.56  0.11  0.18 253.C.a
1189367  53.1 -27.8 00:02  r   50 1.78  1.21  1.73  0.14  0.12 253.D.a
1189368  63.6 -24.3 00:04  r   50 1.51  1.12  1.60  0.08  0.16 253.E.a
1189369  66.9 -21.9 00:05  r   50 1.46  1.09  1.57  0.11  0.17 253.F.a
1189370  58.6 -25.8 00:07  i   50 1.65  1.23  1.08  0.04  0.20 253.A.a
1189371  58.6 -22.7 00:09  i   50 1.71  1.18  1.10  0.00  0.21 253.B.a
1189372  66.9 -25.8 00:10  i   50 1.45  1.23  0.93  0.05  0.23 253.C.a
1189373  53.1 -27.8 00:12  i   50 1.88  1.18  1.11  0.14  0.21 253.D.a
1189374  63.6 -24.3 00:14  i   50 1.57  1.07  1.00  0.11  0.28 253.E.a
1189375  66.9 -21.9 00:15  i   50 1.52  1.05  0.97  0.10  0.30 253.F.a
1189376  82.9  -8.7 00:17  z   15 1.34  1.35  0.76 -0.05  0.21 2023dof_P1
1189377  82.9  -8.7 00:18  i   15 1.34  1.39  0.98 -0.15  0.17 2023dof_P1
1189378  82.9  -8.7 00:19  r   15 1.35  1.11  1.66  0.10  0.15 2023dof_P1
1189379  82.9  -8.7 00:19  g   15 1.35  1.63  2.27  0.22  0.04 2023dof_P1
1189380  85.7 -24.3 00:21  r   50 1.19  1.11  1.37  0.15  0.20 257.A.a
1189381  81.9 -24.2 00:22  r   50 1.24  1.03  1.40  0.13  0.23 257.B.a
1189382  91.6 -25.8 00:24  r   50 1.13  1.08  1.33  0.17  0.22 257.C.a
1189383  90.6 -22.7 00:25  r   50 1.16  0.99  1.38  0.17  0.25 257.D.a
1189384  95.0 -25.8 00:26  r   50 1.11  1.07  1.33  0.16  0.22 257.E.a
1189385  94.0 -21.7 00:28  r   50 1.14  1.18  1.40  0.19  0.17 257.F.a
1189386  85.7 -24.3 00:30  i   50 1.22  0.98  0.78 -0.17  0.41 257.A.a
1189387  81.9 -24.2 00:31  i   50 1.28  1.24  0.82 -0.14  0.25 257.B.a
1189388  91.6 -25.8 00:33  i   50 1.16  1.22  0.75 -0.13  0.27 257.C.a
1189389  90.6 -22.7 00:34  i   50 1.18  1.02  0.77 -0.24  0.38 257.D.a
1189390  95.0 -25.8 00:36  i   50 1.13  1.14  0.73 -0.24  0.32 257.E.a
1189391  94.0 -21.7 00:37  i   50 1.16  1.08  0.77 -0.22  0.34 257.F.a
1189392  65.6 -39.4 00:39  z   15 1.56  1.15  0.76  0.12  0.28 2023ctf_P1
1189393  65.6 -39.4 00:40  i   15 1.57  1.27  0.88  0.06  0.22 2023ctf_P1
1189394  65.6 -39.4 00:41  r   15 1.57  1.44  1.46  0.18  0.11 2023ctf_P1
1189395  65.6 -39.4 00:42  g   15 1.58  1.55  2.08  0.25  0.05 2023ctf_P1
1189396  87.7 -34.5 00:43  z   15 1.21  1.04  0.58  0.05  0.41 2023cul_P1
1189397  87.7 -34.5 00:44  i   15 1.21  1.12  0.72 -0.07  0.33 2023cul_P1
1189398  87.7 -34.5 00:45  r   15 1.21  1.41  1.31  0.15  0.13 2023cul_P1
1189399  87.7 -34.5 00:45  g   15 1.21  1.29  1.93  0.18  0.10 2023cul_P1
1189400  90.0 -66.6 00:47  g   80 1.37  1.35  1.92  0.20  0.09 S-CVZ
1189401  90.0 -66.6 00:49  g   80 1.38  1.43  1.92  0.21  0.08 S-CVZ
1189402  90.0 -66.6 00:51  r   70 1.38  1.09  1.27  0.13  0.23 S-CVZ
1189403  90.0 -66.6 00:53  r   70 1.38  1.17  1.28  0.12  0.20 S-CVZ
1189404  90.0 -66.6 00:54  i   90 1.39  1.16  0.72 -0.05  0.31 S-CVZ
1189405  90.0 -66.6 00:56  i   90 1.39  1.13  0.72 -0.06  0.33 S-CVZ
1189406 103.3 -51.1 00:59  g   15 1.15  1.36  1.79  0.15  0.10 2023cum_P1
1189407 103.3 -51.1 01:00  r   15 1.15  1.18  1.19  0.07  0.21 2023cum_P1
1189408 103.3 -51.1 01:01  i   15 1.16  1.68  0.60 -0.27  0.17 2023cum_P1
1189409 116.3 -26.2 01:02  g   96 1.04  1.02  2.01  0.38  0.11 DECaPS-West
1189410 116.3 -26.2 01:04  r   50 1.04  0.95  1.37 -0.35  0.28 DECaPS-West
1189411 116.3 -26.2 01:06  i   30 1.04  0.93  0.70 -0.18  0.49 DECaPS-West
1189412 116.3 -26.2 01:07  z   30 1.04                         DECaPS-West
1189413 116.3 -26.2 01:08  g   96 1.04  1.26  2.02  0.40  0.07 DECaPS-West
1189414 116.3 -26.2 01:10  r   50 1.04  1.06  1.37 -0.34  0.22 DECaPS-West
1189415 116.3 -26.2 01:11  i   30 1.04  1.16  0.71 -0.16  0.31 DECaPS-West
1189416 116.3 -26.2 01:12  z   30 1.05  0.96  0.52 -0.04  0.51 DECaPS-West
1189417 116.3 -26.2 01:13  g   96 1.05                         DECaPS-West
1189418 116.3 -26.2 01:16  r   50 1.05  1.04  1.38 -0.33  0.23 DECaPS-West
1189419 116.3 -26.2 01:17  i   30 1.05  1.12  0.72 -0.16  0.33 DECaPS-West
1189420 116.3 -26.2 01:18  z   30 1.05  1.11  0.54 -0.05  0.37 DECaPS-West
1189421 116.3 -26.2 01:19  g   96 1.05  1.31  2.03  0.40  0.06 DECaPS-West
1189422 116.3 -26.2 01:21  r   50 1.06                         DECaPS-West
1189423 116.3 -26.2 01:22  i   30 1.06  1.09  0.75 -0.18  0.34 DECaPS-West
1189424 116.3 -26.2 01:23  z   30 1.06  1.10  0.56 -0.04  0.37 DECaPS-West
1189425 116.3 -26.2 01:24  g   96 1.06  1.30  2.04  0.39  0.06 DECaPS-West
1189426 116.3 -26.2 01:26  r   50 1.06  1.06  1.40 -0.32  0.21 DECaPS-West
1189427 116.3 -26.2 01:28  i   30 1.07                         DECaPS-West
1189428 116.3 -26.2 01:29  z   30 1.07  0.94  0.58 -0.03  0.50 DECaPS-West
1189429 116.3 -26.2 01:30  g   96 1.07  1.20  2.04  0.39  0.07 DECaPS-West
1189430 116.3 -26.2 01:32  r   50 1.07  1.15  1.41 -0.31  0.18 DECaPS-West
1189431 116.3 -26.2 01:33  i   30 1.07  1.17  0.76 -0.17  0.29 DECaPS-West
1189432 116.3 -26.2 01:34  z   30 1.08                         DECaPS-West
1189433 173.4  24.4 01:37  g   15 2.15  2.16  2.76  0.25  0.02 2023cqz_P1
1189434 173.4  24.4 01:38  r   15 2.15  1.73  2.10  0.19  0.04 2023cqz_P1
1189435 173.4  24.4 01:39  i   15 2.14  1.48  1.41  0.15  0.10 2023cqz_P1
1189436 190.0  14.6 01:40  g   15 2.28  1.91  2.62  0.30  0.02 2023dtz_P1
1189437 190.0  14.6 01:41  r   15 2.28  1.55  1.94  0.12  0.06 2023dtz_P1
1189438 190.0  14.6 01:42  i   15 2.27  1.35  1.29 -0.09  0.14 2023dtz_P1
1189439 150.0   3.1 01:44  g   60 1.20  1.43  2.42  0.15  0.05 COSMOS-1
1189440 150.0   3.1 01:45  r   86 1.20  1.27  1.81  0.07  0.10 COSMOS-1
1189441 150.0   3.1 01:47  i  130 1.20  1.27  1.08 -0.03  0.19 COSMOS-1
1189442 149.2   1.8 01:50  g   60 1.18  1.39  2.39  0.17  0.06 COSMOS-2
1189443 149.2   1.8 01:51  r   86 1.18  1.26  1.79  0.13  0.11 COSMOS-2
1189444 149.2   1.8 01:53  i  130 1.18  1.13  1.07  0.07  0.24 COSMOS-2
1189445 150.8   1.8 01:56  g   60 1.18  1.45  2.38  0.16  0.05 COSMOS-3
1189446 150.8   1.8 01:58  r   86 1.18  1.18  1.76  0.07  0.12 COSMOS-3
1189447 150.8   1.8 01:59  i  130 1.18  1.20  1.04 -0.02  0.22 COSMOS-3
1189448 150.0   3.1 02:02  g   60 1.19  1.38  2.41  0.16  0.06 COSMOS-1
1189449 150.0   3.1 02:04  r   86 1.19  1.35  1.81  0.08  0.09 COSMOS-1
1189450 150.0   3.1 02:06  i  130 1.19  1.21  1.07 -0.04  0.21 COSMOS-1
1189451 149.2   1.8 02:08  g   60 1.18  1.48  2.51  0.21  0.04 COSMOS-2
1189452 149.2   1.8 02:10  r   86 1.18  1.48  1.97  0.16  0.07 COSMOS-2
1189453 149.2   1.8 02:12  i  130 1.18  1.26  1.20 -0.05  0.17 COSMOS-2
1189454 150.8   1.8 02:14  g   60 1.18  1.48  2.37  0.18  0.05 COSMOS-3
1189455 150.8   1.8 02:16  r   86 1.18  1.35  1.77  0.10  0.09 COSMOS-3
1189456 150.8   1.8 02:18  i  130 1.18  1.25  1.05 -0.02  0.20 COSMOS-3
1189457 150.0   3.1 02:21  g   60 1.19  1.53  2.56  0.18  0.04 COSMOS-1
1189458 150.0   3.1 02:22  r   86 1.20  1.21  2.05  0.08  0.09 COSMOS-1
1189459 150.0   3.1 02:24  i  130 1.20  1.21  1.29 -0.03  0.17 COSMOS-1
1189460 149.2   1.8 02:27  g   60 1.18  1.69  2.47  0.21  0.03 COSMOS-2
1189461 149.2   1.8 02:28  r   86 1.18  1.51  1.92  0.15  0.07 COSMOS-2
1189462 149.2   1.8 02:30  i  130 1.18  1.32  1.14 -0.04  0.16 COSMOS-2
