 expid    ra   dec    ut fil  time  secz  psf  sky  cloud  teff       Object                  utdate ut_decimal  twi    program  blockID
979099 106.5 -30.7 23:25   r     5  1.00 1.27 4.15   0.07  0.01     pointing 2021-03-30T23:25:00.000    -0.5833    2 TECHSETUP1        1
979100 106.5 -30.7 23:26   r    30  1.00 1.12 3.75   0.10  0.02     pointing 2021-03-30T23:26:00.000    -0.5667    2 TECHSETUP1        1
979101  55.2 -18.8 23:31   g    10  1.58 1.63 4.50   0.21  0.01   2021hcz_P1 2021-03-30T23:31:00.000    -0.4833    2     DEBASS        2
979102  55.2 -18.8 23:31   r    10  1.59 1.51 4.20   0.13  0.01   2021hcz_P1 2021-03-30T23:31:00.000    -0.4833    2     DEBASS        2
979103  55.2 -18.8 23:32   i    10  1.59 1.35 3.78   0.37  0.01   2021hcz_P1 2021-03-30T23:32:00.000    -0.4667    2     DEBASS        2
979104  55.2 -18.8 23:33   z    10  1.60 1.33 2.37   0.26  0.04   2021hcz_P1 2021-03-30T23:33:00.000    -0.4500    2     DEBASS        2
979105  53.1 -27.8 23:34   z    10  1.56 1.27 2.13   0.16  0.07   C26202/HST 2021-03-30T23:34:00.000    -0.4333    1 STANDARDS1        3
979106  53.1 -27.8 23:34   i    10  1.56 1.46 3.24   0.15  0.02   C26202/HST 2021-03-30T23:34:00.000    -0.4333    1 STANDARDS1        3
979107  53.1 -27.8 23:35   r    10  1.57 1.40 3.38   0.13  0.02   C26202/HST 2021-03-30T23:35:00.000    -0.4167    1 STANDARDS1        3
979108  53.1 -27.8 23:36   g    10  1.57 1.58 3.48   0.23  0.02   C26202/HST 2021-03-30T23:36:00.000    -0.4000    1 STANDARDS1        3
979109  90.0 -66.6 23:38   i    90  1.28 1.16 1.41  -0.08  0.16        S-CVZ 2021-03-30T23:38:00.000    -0.3667    1       Shen        4
979110  90.0 -66.6 23:40   i    90  1.28 1.15 1.13  -0.06  0.22        S-CVZ 2021-03-30T23:40:00.000    -0.3333    1       Shen        4
979111  90.0 -66.6 23:42   r    70  1.29 1.27 1.20   0.11  0.18        S-CVZ 2021-03-30T23:42:00.000    -0.3000    1       Shen        4
