  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff             Object                   utdate ut_decimal  twi     program  blockID
 984796  116.0 -29.0  23:09   r     5  1.00  1.13  3.69   0.07  0.02           pointing  2021-04-14T23:09:00.000    -0.8500    2  TECHSETUP1        1
 984797  116.0 -29.0  23:10   r    30  1.00   NaN   NaN    NaN   NaN           pointing  2021-04-14T23:10:00.000    -0.8333    2  TECHSETUP1        1
 984798   53.1 -27.8  23:14   u    30  1.91   NaN   NaN    NaN   NaN         C26202/HST  2021-04-14T23:14:00.000    -0.7667    2  STANDARDS1        2
 984799   53.1 -27.8  23:15   g    10  1.91  1.24  4.45   0.25  0.01         C26202/HST  2021-04-14T23:15:00.000    -0.7500    2  STANDARDS1        2
 984800   53.1 -27.8  23:16   r    10  1.92  1.08  3.88   0.15  0.02         C26202/HST  2021-04-14T23:16:00.000    -0.7333    2  STANDARDS1        2
 984801   53.1 -27.8  23:16   i    10  1.93  1.11  3.34  -0.11  0.03         C26202/HST  2021-04-14T23:16:00.000    -0.7333    2  STANDARDS1        2
 984802   53.1 -27.8  23:17   z    10  1.93  0.94  2.06   0.13  0.13         C26202/HST  2021-04-14T23:17:00.000    -0.7167    1  STANDARDS1        3
 984803   53.1 -27.8  23:18   Y    20  1.94  0.89  1.27   0.14  0.29         C26202/HST  2021-04-14T23:18:00.000    -0.7000    1  STANDARDS1        3
 984804   83.0 -21.9  23:20   Y    10  1.24  0.86  0.69   0.10  0.53         2021jad_P1  2021-04-14T23:20:00.000    -0.6667    1      DEBASS        4
 984805   83.0 -21.9  23:20   z     2  1.24  0.80  1.15   0.08  0.41         2021jad_P1  2021-04-14T23:20:00.000    -0.6667    1      DEBASS        4
 984806   83.0 -21.9  23:21   z     5  1.24  0.83  1.11   0.09  0.40         2021jad_P1  2021-04-14T23:21:00.000    -0.6500    1      DEBASS        4
 984807   83.0 -21.9  23:21   i     2  1.24  0.85  1.78  -0.12  0.22         2021jad_P1  2021-04-14T23:21:00.000    -0.6500    1      DEBASS        4
 984808   83.0 -21.9  23:22   i     5  1.24  0.83  1.70  -0.12  0.25         2021jad_P1  2021-04-14T23:22:00.000    -0.6333    1      DEBASS        4
 984809   83.0 -21.9  23:22   r     2  1.25  0.84  1.76   0.17  0.25         2021jad_P1  2021-04-14T23:22:00.000    -0.6333    1      DEBASS        4
 984810   83.0 -21.9  23:23   r     5  1.25  0.97  1.71   0.16  0.19         2021jad_P1  2021-04-14T23:23:00.000    -0.6167    1      DEBASS        4
 984811   83.0 -21.9  23:23   g     2  1.25  1.04  2.06   0.20  0.14         2021jad_P1  2021-04-14T23:23:00.000    -0.6167    1      DEBASS        4
 984812   83.0 -21.9  23:24   g     5  1.25  1.09  1.96   0.18  0.14         2021jad_P1  2021-04-14T23:24:00.000    -0.6000    1      DEBASS        4
 984813   83.0 -21.9  23:25   g    10  1.25  1.07  1.86   0.18  0.15         2021jad_P1  2021-04-14T23:25:00.000    -0.5833    1      DEBASS        4
 984814   83.0 -21.9  23:25   u    30  1.25  1.07 -1.66  -0.20  4.33         2021jad_P1  2021-04-14T23:25:00.000    -0.5833    1      DEBASS        4
 984815   91.5 -45.6  23:27   g    15  1.15  1.25  1.14   0.14  0.22         2021gmk_P1  2021-04-14T23:27:00.000    -0.5500    0      DEBASS        5
 984816   91.5 -45.6  23:28   r    15  1.15  1.00  0.87   0.09  0.39         2021gmk_P1  2021-04-14T23:28:00.000    -0.5333    0      DEBASS        5
 984817   91.5 -45.6  23:28   i    15  1.15  0.91  0.73  -0.07  0.50         2021gmk_P1  2021-04-14T23:28:00.000    -0.5333    0      DEBASS        5
 984818   91.5 -45.6  23:29   z    15  1.15  0.93  0.63   0.08  0.49         2021gmk_P1  2021-04-14T23:29:00.000    -0.5167    0      DEBASS        5
 984819   90.0 -66.6  23:31   i    90  1.35  0.96  0.72  -0.07  0.45              S-CVZ  2021-04-14T23:31:00.000    -0.4833    0        Shen        6
 984820   90.0 -66.6  23:33   i    90  1.35  0.90  0.69  -0.04  0.53              S-CVZ  2021-04-14T23:33:00.000    -0.4500    0        Shen        6
 984821   90.0 -66.6  23:35   r    70  1.35  0.98  0.63   0.13  0.51              S-CVZ  2021-04-14T23:35:00.000    -0.4167    0        Shen        6
 984822   90.0 -66.6  23:37   r    70  1.36  0.92  0.61   0.14  0.59              S-CVZ  2021-04-14T23:37:00.000    -0.3833    0        Shen        6
 984823   90.0 -66.6  23:38   g    80  1.36  1.06  0.27   0.16  0.68              S-CVZ  2021-04-14T23:38:00.000    -0.3667    0        Shen        6
 984824   90.0 -66.6  23:40   g    80  1.36  1.15  0.22   0.17  0.61              S-CVZ  2021-04-14T23:40:00.000    -0.3333    0        Shen        6
 984825  119.1 -67.8  23:43   g    15  1.27  1.02  0.14   0.17  0.83         2021hfq_P1  2021-04-14T23:43:00.000    -0.2833    0      DEBASS        7
 984826  119.1 -67.8  23:44   r    15  1.27  0.96  0.51   0.11  0.59         2021hfq_P1  2021-04-14T23:44:00.000    -0.2667    0      DEBASS        7
 984827  119.1 -67.8  23:44   i    15  1.27  0.90  0.58  -0.13  0.59         2021hfq_P1  2021-04-14T23:44:00.000    -0.2667    0      DEBASS        7
 984828  119.1 -67.8  23:45   z    15  1.27  0.83  0.69   0.04  0.58         2021hfq_P1  2021-04-14T23:45:00.000    -0.2500    0      DEBASS        7
