  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff          Object                   utdate ut_decimal  twi     program  blockID
 986004  119.4 -30.3  23:05   r     5  1.00  1.05  4.05   0.03  0.02        pointing  2021-04-17T23:05:00.000    -0.9167    2  TECHSETUP1        1
 986005  119.4 -30.3  23:07   r    30  1.00  1.29  3.63   0.08  0.02        pointing  2021-04-17T23:07:00.000    -0.8833    2  TECHSETUP1        1
 986006   53.1 -27.8  23:10   z    10  2.00  1.19  3.00   0.23  0.03      C26202/HST  2021-04-17T23:10:00.000    -0.8333    2  STANDARDS1        2
 986007   53.1 -27.8  23:11   i    10  2.00   NaN   NaN    NaN   NaN      C26202/HST  2021-04-17T23:11:00.000    -0.8167    2  STANDARDS1        2
 986008   53.1 -27.8  23:12   r    10  2.01  1.31  4.44   0.13  0.01      C26202/HST  2021-04-17T23:12:00.000    -0.8000    2  STANDARDS1        2
 986009   53.1 -27.8  23:12   g    10  2.02  1.49  4.53   0.26  0.01      C26202/HST  2021-04-17T23:12:00.000    -0.8000    2  STANDARDS1        2
 986010   83.0 -21.9  23:15   Y     5  1.26  0.95  0.98   0.08  0.33      2021jad_P1  2021-04-17T23:15:00.000    -0.7500    1      DEBASS        3
 986011   83.0 -21.9  23:15   Y     5  1.26  1.29  0.93   0.08  0.19      2021jad_P1  2021-04-17T23:15:00.000    -0.7500    1      DEBASS        3
 986012   83.0 -21.9  23:16   z     2  1.26  1.01  1.57   0.03  0.18      2021jad_P1  2021-04-17T23:16:00.000    -0.7333    1      DEBASS        3
 986013   83.0 -21.9  23:16   z     2  1.26  1.09  1.50   0.02  0.16      2021jad_P1  2021-04-17T23:16:00.000    -0.7333    1      DEBASS        3
 986014   83.0 -21.9  23:17   i     2  1.27  1.11  2.40  -0.19  0.07      2021jad_P1  2021-04-17T23:17:00.000    -0.7167    1      DEBASS        3
 986015   83.0 -21.9  23:17   i     2  1.27  1.12  2.31  -0.20  0.08      2021jad_P1  2021-04-17T23:17:00.000    -0.7167    1      DEBASS        3
 986016   83.0 -21.9  23:18   r     2  1.27  1.36  2.32   0.14  0.06      2021jad_P1  2021-04-17T23:18:00.000    -0.7000    1      DEBASS        3
 986017   83.0 -21.9  23:18   r     2  1.27  1.05  2.24   0.14  0.10      2021jad_P1  2021-04-17T23:18:00.000    -0.7000    1      DEBASS        3
 986018   83.0 -21.9  23:19   g     2  1.27  1.06  2.55   0.19  0.08      2021jad_P1  2021-04-17T23:19:00.000    -0.6833    1      DEBASS        3
 986019   83.0 -21.9  23:19   g     2  1.28  1.27  2.45   0.19  0.06      2021jad_P1  2021-04-17T23:19:00.000    -0.6833    1      DEBASS        3
 986020   83.0 -21.9  23:20   u    50  1.28  1.46 -1.14  -0.24  1.44      2021jad_P1  2021-04-17T23:20:00.000    -0.6667    1      DEBASS        3
 986021   83.0 -21.9  23:21   u    50  1.28  1.21 -1.34  -0.21  2.52      2021jad_P1  2021-04-17T23:21:00.000    -0.6500    1      DEBASS        3
 986022   91.5 -45.6  23:23   g    15  1.17  1.04  1.51   0.11  0.23      2021gmk_P1  2021-04-17T23:23:00.000    -0.6167    0      DEBASS        4
 986023   91.5 -45.6  23:24   r    15  1.17  0.87  1.10   0.07  0.42      2021gmk_P1  2021-04-17T23:24:00.000    -0.6000    0      DEBASS        4
 986024   91.5 -45.6  23:25   i    15  1.17  0.78  0.77  -0.07  0.66      2021gmk_P1  2021-04-17T23:25:00.000    -0.5833    0      DEBASS        4
