  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff             Object                   utdate ut_decimal  twi       program  blockID
 989582  126.7 -29.2  22:56   r     5  1.00  1.12  4.33  -0.49  0.01           pointing  2021-04-26T22:56:00.000    -1.0667    2    TECHSETUP1        1
 989583  126.7 -29.2  22:58   r    30  1.00  1.11  3.97  -0.49  0.02           pointing  2021-04-26T22:58:00.000    -1.0333    2    TECHSETUP1        1
 989584   53.1 -27.8  23:03   u    30  2.43   NaN   NaN    NaN   NaN         C26202/HST  2021-04-26T23:03:00.000    -0.9500    2    STANDARDS1        2
 989585   53.1 -27.8  23:04   g    10  2.45  1.41  5.31   0.33  0.00         C26202/HST  2021-04-26T23:04:00.000    -0.9333    2    STANDARDS1        2
 989586   53.1 -27.8  23:05   r    10  2.46   NaN   NaN    NaN   NaN         C26202/HST  2021-04-26T23:05:00.000    -0.9167    1    STANDARDS1        3
 989587   53.1 -27.8  23:05   i    10  2.47  1.16  4.20  -0.12  0.01         C26202/HST  2021-04-26T23:05:00.000    -0.9167    1    STANDARDS1        3
 989588   53.1 -27.8  23:06   z    10  2.48  1.10  2.82   0.23  0.04         C26202/HST  2021-04-26T23:06:00.000    -0.9000    1    STANDARDS1        3
 989589   53.1 -27.8  23:06   Y    20  2.50  1.21  1.93   0.30  0.07         C26202/HST  2021-04-26T23:06:00.000    -0.9000    1    STANDARDS1        3
 989590   83.0 -21.9  23:08   Y     5  1.39  1.11  1.21   0.08  0.20         2021jad_P1  2021-04-26T23:08:00.000    -0.8667    1        DEBASS        4
 989591   83.0 -21.9  23:09   z     2  1.39  1.04  1.79   0.04  0.13         2021jad_P1  2021-04-26T23:09:00.000    -0.8500    1        DEBASS        4
 989592   83.0 -21.9  23:09   z     2  1.39  1.19  1.74   0.05  0.11         2021jad_P1  2021-04-26T23:09:00.000    -0.8500    1        DEBASS        4
 989593   83.0 -21.9  23:10   i     2  1.39  1.61  2.68  -0.02  0.03         2021jad_P1  2021-04-26T23:10:00.000    -0.8333    1        DEBASS        4
 989594   83.0 -21.9  23:10   i     2  1.39  1.15  2.62  -0.20  0.05         2021jad_P1  2021-04-26T23:10:00.000    -0.8333    1        DEBASS        4
 989595   83.0 -21.9  23:11   r     2  1.40  1.29  3.15   0.13  0.03         2021jad_P1  2021-04-26T23:11:00.000    -0.8167    1        DEBASS        4
 989596   83.0 -21.9  23:11   r     2  1.40  1.12  3.11   0.14  0.04         2021jad_P1  2021-04-26T23:11:00.000    -0.8167    1        DEBASS        4
 989597   83.0 -21.9  23:12   g     2  1.40  1.33  3.99   0.20  0.01         2021jad_P1  2021-04-26T23:12:00.000    -0.8000    1        DEBASS        4
 989598   83.0 -21.9  23:12   g     2  1.40  1.21  3.98   0.20  0.02         2021jad_P1  2021-04-26T23:12:00.000    -0.8000    1        DEBASS        4
 989599   83.0 -21.9  23:13   u    50  1.41  1.44  0.50  -0.29  0.33         2021jad_P1  2021-04-26T23:13:00.000    -0.7833    1        DEBASS        4
 989600   90.0 -66.6  23:16   i    90  1.40  1.28  1.71  -0.09  0.10              S-CVZ  2021-04-26T23:16:00.000    -0.7333    0          Shen        5
 989601   90.0 -66.6  23:18   i    90  1.41  1.20  1.66  -0.11  0.12              S-CVZ  2021-04-26T23:18:00.000    -0.7000    0          Shen        5
 989602   90.0 -66.6  23:20   r    70  1.41  1.18  2.60   0.07  0.06              S-CVZ  2021-04-26T23:20:00.000    -0.6667    0          Shen        5
 989603   90.0 -66.6  23:22   r    70  1.42  1.21  2.60   0.08  0.05              S-CVZ  2021-04-26T23:22:00.000    -0.6333    0          Shen        5
 989604   90.0 -66.6  23:23   g    80  1.42  1.27  3.71   1.95  0.00              S-CVZ  2021-04-26T23:23:00.000    -0.6167    0          Shen        5
 989606   90.0 -66.6  23:30   g    80  1.00   NaN   NaN    NaN   NaN              S-CVZ  2021-04-26T23:30:00.000    -0.5000    0          Shen        5
 989607   90.0 -66.6  23:33   i    90  1.44  1.24  1.60  -0.12  0.12              S-CVZ  2021-04-26T23:33:00.000    -0.4500    0          Shen        5
 989608   90.0 -66.6  23:35   g    80  1.45  1.35  3.77   0.14  0.02              S-CVZ  2021-04-26T23:35:00.000    -0.4167    0          Shen        5
 989609   90.0 -66.6  23:37   g    80  1.45  1.25  3.79   0.15  0.02              S-CVZ  2021-04-26T23:37:00.000    -0.3833    0          Shen        5
 989610  119.1 -67.8  23:40   g    15  1.30  1.13  3.70   0.15  0.03         2021hfq_P1  2021-04-26T23:40:00.000    -0.3333    0        DEBASS        6
 989611  119.1 -67.8  23:41   r    15  1.30  1.01  2.56   0.08  0.08         2021hfq_P1  2021-04-26T23:41:00.000    -0.3167    0        DEBASS        6
 989612  119.1 -67.8  23:42   i    15  1.30  1.07  1.51  -0.18  0.18         2021hfq_P1  2021-04-26T23:42:00.000    -0.3000    0        DEBASS        6
 989613  119.1 -67.8  23:42   z    15  1.30  1.01  0.97  -0.01  0.30         2021hfq_P1  2021-04-26T23:42:00.000    -0.3000    0        DEBASS        6
 989614  139.6 -30.9  23:45   g    15  1.00  1.35  3.53   0.04  0.02         2021ill_P1  2021-04-26T23:45:00.000    -0.2500    0        DEBASS        6
 989615  139.6 -30.9  23:45   r    15  1.00  0.97  2.41   0.02  0.10         2021ill_P1  2021-04-26T23:45:00.000    -0.2500    0        DEBASS        6
 989616  139.6 -30.9  23:46   i    15  1.00  0.90  1.34  -0.21  0.29         2021ill_P1  2021-04-26T23:46:00.000    -0.2333    0        DEBASS        6
 989617  154.4 -23.8  23:49   g    15  1.03  1.10  3.76   0.05  0.03         2021fna_P1  2021-04-26T23:49:00.000    -0.1833    0        DEBASS        6
 989618  154.4 -23.8  23:49   r    15  1.03  1.02  2.70   0.07  0.07         2021fna_P1  2021-04-26T23:49:00.000    -0.1833    0        DEBASS        6
 989619  154.4 -23.8  23:50   i    15  1.03  0.95  1.74  -0.16  0.18         2021fna_P1  2021-04-26T23:50:00.000    -0.1667    0        DEBASS        6
 989620  141.4 -25.3  23:52   g    25  1.00  1.19  3.56   0.05  0.03         2021hjc_P1  2021-04-26T23:52:00.000    -0.1333    0        DEBASS        6
 989621  141.4 -25.3  23:53   r    25  1.00  1.00  2.45   0.03  0.09         2021hjc_P1  2021-04-26T23:53:00.000    -0.1167    0        DEBASS        6
 989622  141.4 -25.3  23:54   i    25  1.00  1.07  1.41  -0.22  0.19         2021hjc_P1  2021-04-26T23:54:00.000    -0.1000    0        DEBASS        6
 989623  142.0  -7.0  23:55   g    15  1.09  1.27  3.66   0.06  0.02         2021iov_P1  2021-04-26T23:55:00.000    -0.0833    0        DEBASS        6
 989624  142.0  -7.0  23:56   r    15  1.09  1.11  2.53   0.07  0.07         2021iov_P1  2021-04-26T23:56:00.000    -0.0667    0        DEBASS        6
 989625  142.0  -7.0  23:57   i    15  1.09  1.08  1.48  -0.12  0.18         2021iov_P1  2021-04-26T23:57:00.000    -0.0500    0        DEBASS        6
