  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff           Object                   utdate ut_decimal  twi     program  blockID
 992490  126.7 -29.2  22:52   r     5  1.00  1.18  4.01  -0.39  0.02         pointing  2021-05-02T22:52:00.000    -1.1333    2  TECHSETUP1        1
 992491  126.7 -29.2  22:54   r    30  1.01  1.09  3.52  -0.41  0.03         pointing  2021-05-02T22:54:00.000    -1.1000    2  TECHSETUP1        1
 992492   83.0 -21.9  22:57   Y     5  1.45  1.13  2.08   0.27  0.07       2021jad_P1  2021-05-02T22:57:00.000    -1.0500    2      DEBASS        2
 992493   83.0 -21.9  22:57   Y     5  1.45  0.98  1.96   0.11  0.13       2021jad_P1  2021-05-02T22:57:00.000    -1.0500    2      DEBASS        2
 992494   83.0 -21.9  22:58   Y     5  1.46  1.22  1.91   0.27  0.07       2021jad_P1  2021-05-02T22:58:00.000    -1.0333    2      DEBASS        2
 992495   83.0 -21.9  22:58   z     2  1.46  1.06  2.69   0.14  0.06       2021jad_P1  2021-05-02T22:58:00.000    -1.0333    2      DEBASS        2
 992496   83.0 -21.9  22:59   z     2  1.46  1.19  2.63   0.26  0.04       2021jad_P1  2021-05-02T22:59:00.000    -1.0167    2      DEBASS        2
 992497   83.0 -21.9  22:59   i     2  1.46  1.08  3.48  -0.14  0.03       2021jad_P1  2021-05-02T22:59:00.000    -1.0167    2      DEBASS        2
 992498   83.0 -21.9  23:00   i     2  1.47  1.00  3.40  -0.13  0.04       2021jad_P1  2021-05-02T23:00:00.000    -1.0000    2      DEBASS        2
 992499   83.0 -21.9  23:00   r     2  1.47  1.00  3.27   0.22  0.04       2021jad_P1  2021-05-02T23:00:00.000    -1.0000    2      DEBASS        2
 992500   83.0 -21.9  23:01   r     2  1.47  1.03  3.27   0.26  0.04       2021jad_P1  2021-05-02T23:01:00.000    -0.9833    1      DEBASS        3
 992501   83.0 -21.9  23:01   g     2  1.48  1.18  3.33   0.29  0.03       2021jad_P1  2021-05-02T23:01:00.000    -0.9833    1      DEBASS        3
 992502   83.0 -21.9  23:02   g     2  1.48  1.17  3.28   0.33  0.03       2021jad_P1  2021-05-02T23:02:00.000    -0.9667    1      DEBASS        3
 992503   83.0 -21.9  23:02   u    50  1.48  1.28 -0.42  -0.05  0.97       2021jad_P1  2021-05-02T23:02:00.000    -0.9667    1      DEBASS        3
 992504   90.0 -66.6  23:06   i    90  1.43  1.27  1.31  -0.04  0.15            S-CVZ  2021-05-02T23:06:00.000    -0.9000    1        Shen        4
 992505   90.0 -66.6  23:08   i    90  1.44  1.39  1.11   0.00  0.15            S-CVZ  2021-05-02T23:08:00.000    -0.8667    1        Shen        4
 992506   90.0 -66.6  23:10   r    70  1.44  1.37  1.12   0.18  0.17            S-CVZ  2021-05-02T23:10:00.000    -0.8333    0        Shen        5
 992507   90.0 -66.6  23:11   r    70  1.45  1.31  1.04   0.22  0.19            S-CVZ  2021-05-02T23:11:00.000    -0.8167    0        Shen        5
 992508   90.0 -66.6  23:13   g    80  1.45  1.39  0.94   0.38  0.15            S-CVZ  2021-05-02T23:13:00.000    -0.7833    0        Shen        5
 992509   90.0 -66.6  23:15   g    80  1.45  1.39  0.70   0.25  0.24            S-CVZ  2021-05-02T23:15:00.000    -0.7500    0        Shen        5
 992510  119.1 -67.8  23:18   g    15  1.30  1.24  0.50   0.33  0.32       2021hfq_P3  2021-05-02T23:18:00.000    -0.7000    0      DEBASS        6
 992511  119.1 -67.8  23:18   r    15  1.30  1.24  0.69   0.19  0.30       2021hfq_P3  2021-05-02T23:18:00.000    -0.7000    0      DEBASS        6
 992512  119.1 -67.8  23:19   i    15  1.30  1.10  0.54  -0.07  0.41       2021hfq_P3  2021-05-02T23:19:00.000    -0.6833    0      DEBASS        6
 992513  119.1 -67.8  23:20   z    15  1.30  1.05  0.60   0.18  0.40       2021hfq_P3  2021-05-02T23:20:00.000    -0.6667    0      DEBASS        6
 992514  125.2 -12.6  23:23   g    15  1.08  1.41  0.36   0.12  0.36       2021koj_P2  2021-05-02T23:23:00.000    -0.6167    0      DEBASS        6
 992515  125.2 -12.6  23:23   i    50  1.08  1.12  0.49  -0.23  0.41    415.A.2021koj  2021-05-02T23:23:00.000    -0.6167    0         YSE        7
 992516  125.2 -12.6  23:25   r    50  1.09  1.08  0.71   0.13  0.39    415.A.2021koj  2021-05-02T23:25:00.000    -0.5833    0         YSE        7
 992517  134.8  10.2  23:28   g    15  1.32  1.32  0.54   0.22  0.33       2021jys_P1  2021-05-02T23:28:00.000    -0.5333    0      DEBASS        8
 992518  134.8  10.2  23:28   r    15  1.32  1.18  0.96   0.16  0.26       2021jys_P1  2021-05-02T23:28:00.000    -0.5333    0      DEBASS        8
 992519  134.8  10.2  23:29   i    15  1.32  1.09  0.66   0.00  0.37       2021jys_P1  2021-05-02T23:29:00.000    -0.5167    0      DEBASS        8
 992520  134.8  10.2  23:30   z    15  1.32  1.08  0.68   0.07  0.35       2021jys_P1  2021-05-02T23:30:00.000    -0.5000    0      DEBASS        8
 992521  133.8  16.7  23:31   g    15  1.48  1.43  0.62   0.22  0.26       2021hjb_P1  2021-05-02T23:31:00.000    -0.4833    0      DEBASS        8
 992522  133.8  16.7  23:31   r    30  1.48  1.29  1.06   0.15  0.20       2021hjb_P1  2021-05-02T23:31:00.000    -0.4833    0      DEBASS        8
 992523  133.8  16.7  23:32   i    20  1.48  1.27  0.74  -0.04  0.25       2021hjb_P1  2021-05-02T23:32:00.000    -0.4667    0      DEBASS        8
 992524  133.8  16.7  23:33   z    20  1.48  1.21  0.76   0.04  0.26       2021hjb_P1  2021-05-02T23:33:00.000    -0.4500    0      DEBASS        8
 992525  149.2   1.8  23:35   g    10  1.18  1.42  0.31   0.18  0.37         COSMOS-2  2021-05-02T23:35:00.000    -0.4167    0         DDF        9
 992526  149.2   1.8  23:35   g    60  1.18  1.33  0.31   0.16  0.42         COSMOS-2  2021-05-02T23:35:00.000    -0.4167    0         DDF        9
 992527  149.2   1.8  23:37   r    86  1.18  1.20  0.71   0.09  0.32         COSMOS-2  2021-05-02T23:37:00.000    -0.3833    0         DDF        9
 992528  149.2   1.8  23:39   i   130  1.18  1.33  0.52   0.07  0.28         COSMOS-2  2021-05-02T23:39:00.000    -0.3500    0         DDF        9
 992529  150.8   1.8  23:42   g    60  1.18  1.51  0.33   0.18  0.32         COSMOS-3  2021-05-02T23:42:00.000    -0.3000    0         DDF        9
 992530  150.8   1.8  23:43   r    86  1.18  1.26  0.72   0.12  0.28         COSMOS-3  2021-05-02T23:43:00.000    -0.2833    0         DDF        9
 992531  150.8   1.8  23:45   i   130  1.18  1.44  0.51   0.06  0.24         COSMOS-3  2021-05-02T23:45:00.000    -0.2500    0         DDF        9
 992532  150.0   3.1  23:48   g    60  1.20  1.48  0.34   0.23  0.31         COSMOS-1  2021-05-02T23:48:00.000    -0.2000    0         DDF        9
 992533  150.0   3.1  23:49   r    86  1.20  1.58  0.71   0.18  0.18         COSMOS-1  2021-05-02T23:49:00.000    -0.1833    0         DDF        9
 992534  150.0   3.1  23:51   i   130  1.19  1.22  0.50   0.11  0.34         COSMOS-1  2021-05-02T23:51:00.000    -0.1500    0         DDF        9
 992535  149.2   1.8  23:54   g    60  1.18  1.16  0.31   0.22  0.53         COSMOS-2  2021-05-02T23:54:00.000    -0.1000    0         DDF        9
 992536  149.2   1.8  23:55   r    86  1.18  1.17  0.68   0.16  0.34         COSMOS-2  2021-05-02T23:55:00.000    -0.0833    0         DDF        9
 992537  149.2   1.8  23:57   i   130  1.18  1.12  0.48   0.15  0.42         COSMOS-2  2021-05-02T23:57:00.000    -0.0500    0         DDF        9
 992538  150.8   1.8  00:00   g    60  1.18  1.41  0.33   0.19  0.37         COSMOS-3  2021-05-03T00:00:00.000     0.0000    0         DDF        9
 992539  150.8   1.8  00:01   r    86  1.18  1.28  0.66   0.14  0.29         COSMOS-3  2021-05-03T00:01:00.000     0.0167    0         DDF        9
 992540  150.8   1.8  00:03   i   130  1.18  1.21  0.46   0.04  0.36         COSMOS-3  2021-05-03T00:03:00.000     0.0500    0         DDF        9
 992541  158.0 -60.7  00:08   r   100  1.16   NaN   NaN    NaN   NaN           ec0814  2021-05-03T00:08:00.000     0.1333    0      EtaCar       10
 992542  161.3 -61.7  00:11   r   100  1.18   NaN   NaN    NaN   NaN           ec0914  2021-05-03T00:11:00.000     0.1833    0      EtaCar       10
 992543  161.3 -59.7  00:13   r   100  1.16  1.28  1.74  -5.94  0.11           ec0915  2021-05-03T00:13:00.000     0.2167    0      EtaCar       10
 992544  161.3 -57.7  00:15   r   100  1.13   NaN   NaN    NaN   NaN           ec0916  2021-05-03T00:15:00.000     0.2500    0      EtaCar       10
 992545  158.2 -58.7  00:17   r   100  1.14  1.25  0.89   0.87  0.07           ec0815  2021-05-03T00:17:00.000     0.2833    0      EtaCar       10
 992546  164.5 -60.7  00:19   r   100  1.17   NaN   NaN    NaN   NaN           ec1014  2021-05-03T00:19:00.000     0.3167    0      EtaCar       10
 992547  164.3 -58.7  00:21   r   100  1.15  1.30  0.78   1.02  0.06           ec1015  2021-05-03T00:21:00.000     0.3500    0      EtaCar       10
 992548  150.0   3.1  00:26   g    10  1.20  1.15  0.31   0.17  0.56         COSMOS-1  2021-05-03T00:26:00.000     0.4333    0         DDF       11
 992549  150.0   3.1  00:27   g    60  1.20  1.28  0.33   0.16  0.44         COSMOS-1  2021-05-03T00:27:00.000     0.4500    0         DDF       11
 992550  150.0   3.1  00:28   r    86  1.20  1.14  0.58   0.10  0.40         COSMOS-1  2021-05-03T00:28:00.000     0.4667    0         DDF       11
 992551  150.0   3.1  00:30   i   130  1.20  1.18  0.37   0.06  0.41         COSMOS-1  2021-05-03T00:30:00.000     0.5000    0         DDF       11
 992552  149.2   1.8  00:33   g    60  1.19  1.44  0.31   0.20  0.36         COSMOS-2  2021-05-03T00:33:00.000     0.5500    0         DDF       11
 992553  149.2   1.8  00:34   r    86  1.19  1.28  0.52   0.13  0.33         COSMOS-2  2021-05-03T00:34:00.000     0.5667    0         DDF       11
 992554  149.2   1.8  00:36   i   130  1.19  1.37  0.33   0.05  0.32         COSMOS-2  2021-05-03T00:36:00.000     0.6000    0         DDF       11
 992555  150.8   1.8  00:39   g    60  1.19  1.64  0.30   0.13  0.28         COSMOS-3  2021-05-03T00:39:00.000     0.6500    0         DDF       11
 992556  150.8   1.8  00:40   r    86  1.19  1.41  0.50   0.08  0.28         COSMOS-3  2021-05-03T00:40:00.000     0.6667    0         DDF       11
 992557  150.8   1.8  00:42   i   130  1.19  1.26  0.31   0.07  0.38         COSMOS-3  2021-05-03T00:42:00.000     0.7000    0         DDF       11
 992558  150.0   3.1  00:45   g    60  1.22  1.49  0.33   0.20  0.33         COSMOS-1  2021-05-03T00:45:00.000     0.7500    0         DDF       11
 992559  150.0   3.1  00:46   r    86  1.22  1.43  0.52   0.17  0.27         COSMOS-1  2021-05-03T00:46:00.000     0.7667    0         DDF       11
 992560  150.0   3.1  00:48   i   130  1.22  1.47  0.28   0.10  0.29         COSMOS-1  2021-05-03T00:48:00.000     0.8000    0         DDF       11
 992561  149.2   1.8  00:51   g    60  1.21  1.57  0.34   0.27  0.26         COSMOS-2  2021-05-03T00:51:00.000     0.8500    0         DDF       11
 992562  149.2   1.8  00:52   r    86  1.21  1.40  0.52   0.23  0.26         COSMOS-2  2021-05-03T00:52:00.000     0.8667    0         DDF       11
 992563  149.2   1.8  00:54   i   130  1.22  1.31  0.26   0.13  0.37         COSMOS-2  2021-05-03T00:54:00.000     0.9000    0         DDF       11
 992564  189.7   1.9  00:59   i    50  1.30  1.27  0.35   0.11  0.36          474.A.a  2021-05-03T00:59:00.000     0.9833    0         YSE       12
 992565  189.7   1.9  01:00   r    50  1.30   NaN   NaN    NaN   NaN          474.A.a  2021-05-03T01:00:00.000     1.0000    0         YSE       12
 992566  185.8   5.3  01:01   i    50  1.31  1.30  0.35   0.14  0.35        474.B_1.a  2021-05-03T01:01:00.000     1.0167    0         YSE       12
 992567  185.8   5.3  01:03   r    50  1.31  1.37  0.57   0.22  0.27        474.B_1.a  2021-05-03T01:03:00.000     1.0500    0         YSE       12
 992568  193.8   3.0  01:05   i    50  1.35  1.24  0.41   0.26  0.32          474.C.a  2021-05-03T01:05:00.000     1.0833    0         YSE       12
 992569  193.8   3.0  01:06   r    50  1.35  1.41  0.60   0.23  0.24          474.C.a  2021-05-03T01:06:00.000     1.1000    0         YSE       12
 992570  193.8   6.1  01:07   i    50  1.40  1.33  0.35   0.10  0.33          474.D.a  2021-05-03T01:07:00.000     1.1167    0         YSE       12
