  expid     ra   dec     ut  fil    time  secz   psf   sky  cloud   teff          Object                   utdate ut_decimal twi     program  blockID
 995012  134.8 -28.8  22:49    r     5.0  1.00  1.09  3.70   0.03   0.02        pointing  2021-05-08T22:49:00.000    -1.1833   2  TECHSETUP1      1.0
 995023  141.7 -28.8  23:05    r     5.0  1.00  1.00  0.92   0.05   0.38        pointing  2021-05-08T23:05:00.000    -0.9167   1  TECHSETUP1      2.0
      0    NaN   NaN    NaN  NaN   252.0   NaN   NaN   NaN    NaN    NaN        DOWNTIME  2021-05-08T23:05:33.000    -0.9075   0  DOWNTIME01      3.0
      0    NaN   NaN    NaN  NaN   975.0   NaN   NaN   NaN    NaN    NaN        DOWNTIME  2021-05-08T23:09:45.000    -0.8375   0  DOWNTIME02      4.0
 995025  162.0   0.0  23:26    u    30.0  1.19  1.36 -3.25  -0.14  11.59  SDSSJ1048-0000  2021-05-08T23:26:00.000    -0.5667   0  STANDARDS1      5.0
 995026  162.0   0.0  23:27    g    15.0  1.19  1.53  0.26   0.04   0.33  SDSSJ1048-0000  2021-05-08T23:27:00.000    -0.5500   0  STANDARDS1      5.0
 995027  162.0   0.0  23:27    r    15.0  1.19  1.43  0.53  -0.03   0.26  SDSSJ1048-0000  2021-05-08T23:27:00.000    -0.5500   0  STANDARDS1      5.0
 995028  162.0   0.0  23:28    i    15.0  1.19  1.37  0.37   0.03   0.31  SDSSJ1048-0000  2021-05-08T23:28:00.000    -0.5333   0  STANDARDS1      5.0
 995029  162.0   0.0  23:29    z    15.0  1.19  1.36  0.42   0.02   0.28  SDSSJ1048-0000  2021-05-08T23:29:00.000    -0.5167   0  STANDARDS1      5.0
 995030   83.0 -21.9  23:33    z     2.0  1.95  1.24  0.85  -0.04   0.23      2021jad_P1  2021-05-08T23:33:00.000    -0.4500   0      DEBASS      6.0
 995031   83.0 -21.9  23:33    i     2.0  1.95  1.43  0.80  -0.18   0.19      2021jad_P1  2021-05-08T23:33:00.000    -0.4500   0      DEBASS      6.0
 995032   83.0 -21.9  23:34    r     2.0  1.96  1.17  0.88   0.15   0.28      2021jad_P1  2021-05-08T23:34:00.000    -0.4333   0      DEBASS      6.0
 995033   83.0 -21.9  23:34    g     2.0  1.97  1.33  0.39   0.25   0.35      2021jad_P1  2021-05-08T23:34:00.000    -0.4333   0      DEBASS      6.0
 995034   83.0 -21.9  23:35    u    50.0  1.97  1.39 -3.05   0.00   9.23      2021jad_P1  2021-05-08T23:35:00.000    -0.4167   0      DEBASS      6.0
 995035  138.1 -27.4  23:38    i    15.0  1.02  1.16  0.25  -0.21   0.48      2021knh_P1  2021-05-08T23:38:00.000    -0.3667   0      DEBASS      6.0
 995036  138.1 -27.4  23:39    r    15.0  1.02  1.21  0.41   0.04   0.41      2021knh_P1  2021-05-08T23:39:00.000    -0.3500   0      DEBASS      6.0
 995037  138.1 -27.4  23:39    g    15.0  1.02  1.26  0.08   0.07   0.58      2021knh_P1  2021-05-08T23:39:00.000    -0.3500   0      DEBASS      6.0
 995038  141.4 -25.3  23:40    i    15.0  1.01  1.27  0.26  -0.18   0.40      2021hjc_P1  2021-05-08T23:40:00.000    -0.3333   0      DEBASS      6.0
 995039  141.4 -25.3  23:41    r    15.0  1.02  1.07  0.35   0.04   0.55      2021hjc_P1  2021-05-08T23:41:00.000    -0.3167   0      DEBASS      6.0
 995040  141.4 -25.3  23:42    g    15.0  1.02  1.33  0.02   0.06   0.55      2021hjc_P1  2021-05-08T23:42:00.000    -0.3000   0      DEBASS      6.0
 995041  139.6 -30.9  23:43    i    15.0  1.02  1.23  0.20  -0.19   0.45      2021ill_P1  2021-05-08T23:43:00.000    -0.2833   0      DEBASS      6.0
 995042  139.6 -30.9  23:44    r    15.0  1.02  1.23  0.33   0.01   0.43      2021ill_P1  2021-05-08T23:44:00.000    -0.2667   0      DEBASS      6.0
 995043  139.6 -30.9  23:44    g    15.0  1.02  1.47  0.02   0.10   0.45      2021ill_P1  2021-05-08T23:44:00.000    -0.2667   0      DEBASS      6.0
 995044   90.0 -66.6  23:47    i    90.0  1.62  1.58  0.62  -0.07   0.18           S-CVZ  2021-05-08T23:47:00.000    -0.2167   0        Shen      7.0
 995045   90.0 -66.6  23:49    i    90.0  1.62  1.99  0.61   0.10   0.12           S-CVZ  2021-05-08T23:49:00.000    -0.1833   0        Shen      7.0
