         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       1.9008 0.0000 0.0000 0.0000 0.1578
 DEBASS                    1.1707 0.1192 0.0000 0.0000 0.1578
 DESI                      3.5578 0.0000 0.0000 0.0000 0.1578
 EtaCar                    0.1578 0.0000 0.0000 0.0000 0.1578
 Shen                      0.3751 0.0000 0.0000 0.0000 0.1578
 YSE                       3.4556 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.6925 0.0000 0.0000 0.0000 0.1578
 STANDARDS1                0.0000 0.0000 0.1333 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.3103 0.1192 0.1828 0.0000 0.9467
 total time avail. (hr)   11.3115 0.3198 0.3215    nan    nan
