   expid     ra   dec     ut  fil    time  secz   psf   sky  cloud  teff            Object                   utdate ut_decimal twi     program  blockID
 1002791  157.4 -29.7  22:40    r     5.0  1.00  1.28  3.11   0.10  0.03          pointing  2021-05-29T22:40:00.000    -1.3333   2  TECHSETUP1      1.0
 1002792  157.4 -29.7  22:43    r    30.0  1.00  1.08  2.68   0.13  0.06          pointing  2021-05-29T22:43:00.000    -1.2833   2  TECHSETUP1      1.0
 1002793   90.0 -66.6  22:46    i    90.0  1.70  1.38  2.77   0.47  0.02             S-CVZ  2021-05-29T22:46:00.000    -1.2333   2        Shen      2.0
 1002794   90.0 -66.6  22:48    i    90.0  1.71  1.33  2.23   0.48  0.04             S-CVZ  2021-05-29T22:48:00.000    -1.2000   1        Shen      3.0
 1002795   90.0 -66.6  22:50    r    70.0  1.71  1.31  2.45   1.88  0.00             S-CVZ  2021-05-29T22:50:00.000    -1.1667   1        Shen      3.0
 1002796   90.0 -66.6  22:52    r    70.0  1.72  1.44  2.03   1.66  0.00             S-CVZ  2021-05-29T22:52:00.000    -1.1333   1        Shen      3.0
 1002797   90.0 -66.6  22:53    g    80.0  1.73   NaN   NaN    NaN   NaN             S-CVZ  2021-05-29T22:53:00.000    -1.1167   1        Shen      3.0
 1002798   90.0 -66.6  22:55    g    80.0  1.73  1.54  1.71   0.97  0.02             S-CVZ  2021-05-29T22:55:00.000    -1.0833   1        Shen      3.0
 1002799  138.1 -27.4  22:59    z    15.0  1.07  1.03  0.78  -0.03  0.35        2021knh_P1  2021-05-29T22:59:00.000    -1.0167   0      DEBASS      4.0
 1002800  138.1 -27.4  23:00    i    15.0  1.07  0.93  0.84  -0.21  0.43        2021knh_P1  2021-05-29T23:00:00.000    -1.0000   0      DEBASS      4.0
 1002801  138.1 -27.4  23:00    r    15.0  1.07  0.97  0.71   0.05  0.48        2021knh_P1  2021-05-29T23:00:00.000    -1.0000   0      DEBASS      4.0
 1002802  138.1 -27.4  23:01    g    15.0  1.07  1.01  0.62   0.09  0.54        2021knh_P1  2021-05-29T23:01:00.000    -0.9833   0      DEBASS      4.0
 1002803  143.8 -16.8  23:02    z    15.0  1.07  0.98  0.70  -0.01  0.41        2021lnf_P1  2021-05-29T23:02:00.000    -0.9667   0      DEBASS      4.0
 1002804  143.8 -16.8  23:03    g    15.0  1.07  0.96  0.50   0.08  0.67        2021lnf_P1  2021-05-29T23:03:00.000    -0.9500   0      DEBASS      4.0
 1002805  143.8 -16.8  23:04    r    50.0  1.08  0.97  0.58   0.07  0.55     365.A.2021lnf  2021-05-29T23:04:00.000    -0.9333   0         YSE      5.0
 1002806  143.8 -16.8  23:05    i    50.0  1.08  0.97  0.81   0.39  0.29     365.A.2021lnf  2021-05-29T23:05:00.000    -0.9167   0         YSE      5.0
 1002807  125.9  14.1  23:08    i    15.0  1.84  1.34  1.19   0.03  0.15        2021kly_P1  2021-05-29T23:08:00.000    -0.8667   0      DEBASS      6.0
 1002808  125.9  14.1  23:08    r    15.0  1.84  1.22  1.36   0.21  0.17        2021kly_P1  2021-05-29T23:08:00.000    -0.8667   0      DEBASS      6.0
 1002809  134.8  10.2  23:10    i    15.0  1.53  1.08  1.03   0.02  0.27        2021jys_P1  2021-05-29T23:10:00.000    -0.8333   0      DEBASS      6.0
 1002810  134.8  10.2  23:10    r    15.0  1.53  1.10  1.05   0.14  0.28        2021jys_P1  2021-05-29T23:10:00.000    -0.8333   0      DEBASS      6.0
 1002811  134.8  10.2  23:11    g    15.0  1.53  1.25  0.90   0.22  0.26        2021jys_P1  2021-05-29T23:11:00.000    -0.8167   0      DEBASS      6.0
 1002812  140.7   4.5  23:13    z    15.0  1.34  1.06  0.85   0.26  0.28        2021law_P1  2021-05-29T23:13:00.000    -0.7833   0      DEBASS      6.0
 1002813  140.7   4.5  23:14    i    15.0  1.34  1.04  0.84   0.17  0.35        2021law_P1  2021-05-29T23:14:00.000    -0.7667   0      DEBASS      6.0
 1002814  140.7   4.5  23:15    r    15.0  1.34  1.11  0.82   0.19  0.33        2021law_P1  2021-05-29T23:15:00.000    -0.7500   0      DEBASS      6.0
 1002815  129.0   3.0  23:16    r    60.0  1.50  1.09  0.96   0.28  0.26            eFEDS1  2021-05-29T23:16:00.000    -0.7333   0       eFEDS      7.0
 1002816  129.0   1.0  23:17    r    60.0  1.46  1.14  0.84   0.19  0.31            eFEDS9  2021-05-29T23:17:00.000    -0.7167   0       eFEDS      7.0
 1002817  130.0  -1.0  23:19    r    60.0  1.42  1.08  0.81   0.29  0.30           eFEDS17  2021-05-29T23:19:00.000    -0.6833   0       eFEDS      7.0
 1002818  131.0   3.0  23:20    r    60.0  1.48  1.01  0.97   0.94  0.09            eFEDS2  2021-05-29T23:20:00.000    -0.6667   0       eFEDS      7.0
 1002819  131.0   1.0  23:22    r    60.0  1.45  1.05  1.13   2.74  0.00           eFEDS10  2021-05-29T23:22:00.000    -0.6333   0       eFEDS      7.0
 1002820  132.0  -1.0  23:23    r    60.0  1.40   NaN   NaN    NaN   NaN           eFEDS21  2021-05-29T23:23:00.000    -0.6167   0       eFEDS      7.0
 1002821  133.0   3.0  23:25    r    60.0  1.46  1.23  1.07   0.78  0.07            eFEDS3  2021-05-29T23:25:00.000    -0.5833   0       eFEDS      7.0
 1002822  133.0   1.0  23:26    r    60.0  1.43  1.03  0.78   0.18  0.40           eFEDS11  2021-05-29T23:26:00.000    -0.5667   0       eFEDS      7.0
