2023aaqu_P1 [5 -52]
2023yzw_P1 [20 -1]
2023zzi_P1 [43 16]
2024any_P1 [47 -2]
2023abjs_P1 [55 -34]
2023acgf_P1 [56 -3]
2023aajf_P1 [65 -51]
2024pi_P1 [118 15]
2024apt_P1 [156 -2]
2024aoj_P1 [208 5]
2024jz_P1 [233 -2]

2023zbo_P2 [26 -17]
2024agf_P2 [31 1]
2023yzu_P2 [81 -19]
2023zjm_P2 [80 5]
2024hl_P2 [88 -35]

2023aald_P3 [122 14]
2024ev_P3 [124 21]
2023ytn_P3 [130 -5]
2023zce_P3 [141 -30]
2023aait_P3 [147 -14]
2023zax_P3 [145 7]
2023aaaa_P3 [149 10]
2024ahf_P3 [166 2]
2024gy_P3 [183 12]
2024atk_P3 [200 -15]

EVERYTHING	90.3 minutes
EVERYTHING_P1	36.0 minutes
