         pointing group          ra        dec  skip          SN               filename
         1511.B.a     -   124.36528   10.49278     0           -          1511.B.a.json
    181.A.2021ltk   181   211.94327  -39.62687     0     2021ltk     181.A.2021ltk.json
  2021iuk_2021hiz     -   186.45583     6.9859     0   21iuk_hiz   2021iuk_2021hiz.json
          253.A.a   253    58.59323  -25.78954     0           -           253.A.a.json
          253.B.a   253    58.59504  -22.69093     0           -           253.B.a.json
          253.C.a   253    66.94323  -25.78954     0           -           253.C.a.json
          253.D.a   253    53.08699  -27.78861     0           -           253.D.a.json
          253.E.a   253    63.59414  -24.29022     0           -           253.E.a.json
          253.F.a   253    66.89548  -21.89127     0           -           253.F.a.json
          257.A.a   257    85.66643  -24.29022     0           -           257.A.a.json
          257.B.a   257    81.86648  -24.19027     0           -           257.B.a.json
          257.C.a   257    91.56552  -25.78954     0           -           257.C.a.json
          257.D.a   257    90.56734  -22.69093     0           -           257.D.a.json
          257.E.a   257    94.96552  -25.78954     0           -           257.E.a.json
          257.F.a   257    93.96788  -21.69136     0           -           257.F.a.json
          296.A.a   296    12.36117  -20.09204     0           -           296.A.a.json
          296.C.a   296    17.40442  -18.59267     0           -           296.C.a.json
          296.D.a   296    17.40587  -15.49393     0           -           296.D.a.json
          296.E.a   296    20.64692  -18.59267     0           -           296.E.a.json
          296.F.a   296     22.7489   -14.2944     0           -           296.F.a.json
          353.A.a   353    60.01655  -11.39553     0           -           353.A.a.json
          353.B.a   353    60.01779   -8.29671     0           -           353.B.a.json
          353.C.a   353    63.21121  -11.39521     0           -           353.C.a.json
          353.D.a   353    63.16417   -8.29671     0           -           353.D.a.json
          353.E.a   353     66.3095  -10.89572     0           -           353.E.a.json
          353.F.a   353    67.51074    -7.7969     0           -           353.F.a.json
    365.A.2021lnf   365   143.82241  -16.76384     1     2021lnf     365.A.2021lnf.json
          365.A.a   365  144.747167  -11.400000    0           -           365.A.a.json
          365.B.a   365  144.747167   -8.300000    0           -           365.B.a.json
          365.C.a   365  147.847167  -11.400000    0           -           365.C.a.json
          365.D.a   365  147.847167   -8.300000    0           -           365.D.a.json
          365.E.a   365  150.947167  -11.400000    0           -           365.E.a.json
          365.F.a   365  150.947167   -8.300000    0           -           365.F.a.json
    376.2020esm.a   376   211.31674    -7.3742     1     2020esm     376.2020esm.a.json
    376.A.2020esm   376   211.31674    -7.3742     1     2020esm     376.A.2020esm.json
    376.A.2021pfs   376  210.659776  -6.456865     0     2021pfs     376.A.2021pfs.json
          376.A.a   376   212.57689   -5.12499     1           -         376.A_1.a.json
          376.B.a   376   220.74857    -8.4388     0           -           376.B.a.json
          376.C.a   376   223.89374  -11.53762     0           -           376.C.a.json
          376.D.a   376   223.89499    -8.4388     0           -           376.D.a.json
          376.E.a   376   227.04011  -11.53762     0           -           376.E.a.json
          376.F.a   376   227.04136    -8.4388     0           -           376.F.a.json
          401.A.a   401    35.86754   -4.14825     0           -           401.A.a.json
          401.B.a   401    36.29869   -1.04941     0           -           401.B.a.json
          401.D.a   401    40.20214   -0.74952     1           -           401.D.a.json
   401.D.2021aaqn   401    39.49248   -1.88699     0           -           401.D.a.json
          401.E.a   401    42.07422   -4.14825     0           -           401.E.a.json
          401.F.a   401    35.66058   -7.59698     0           -           401.F.a.json
          403.A.a   403     49.3569   -4.19825     0           -           403.A.a.json
          403.B.a   403    49.35806   -1.09939     0           -           403.B.a.json
          403.C.a   403     52.4569   -4.19825     0           -           403.C.a.json
          403.D.a   403    52.45806   -1.09939     0           -           403.D.a.json
          403.E.a   403    48.56428    2.19932     0           -           403.E.a.json
          403.F.a   403    45.50538   -1.04941     0           -           403.F.a.json
    415.A.2021koj   415   125.20341  -12.59814     1     2021koj     415.A.2021koj.json
          415.A.a   415   123.11854  -12.01966     1           -           415.A.a.json
          415.A.b   415   129.50749   -1.33955     1           -           415.A.b.json
          415.B.a   415    133.7143    -0.5383     1           -           415.B.a.json
          415.A.a   415   134.276160  +0.284820    0           -           415.A.a.json
          415.B.a   415   134.251180  +3.334270    0           -           415.B.a.json
          415.C.a   415   137.344630  +0.247750    0           -           415.C.a.json
          415.D.a   415   137.319770  +3.367900    0           -           415.D.a.json
          415.E.a   415   140.532800  +0.172630    0           -           415.E.a.json
          415.F.a   415   140.521000  +3.359190    0           -           415.F.a.json
          418.A.a   418   154.95787     -4.325     1           -           418.A.a.json
          418.F.a   418   162.23881    0.36487     1           -           418.F.a.json
          418.A.a   418   155.250000  -4.200000    0           -           418.A.a.json
          418.B.a   418   155.250000  -1.100000    0           -           418.B.a.json
          418.C.a   418   158.350000  -4.200000    0           -           418.C.a.json
          418.D.a   418   164.092420  +2.037840    0           -           418.D.a.json
          418.E.a   418   161.460030  -4.200070    0           -           418.E.a.json
          418.F.a   418   162.452270  -1.099960    0           -           418.F.a.json
          423.B.a   423  192.025846  -1.829542     1           -           423.B.a.json
          423.C.a   423  195.429716  -3.849833     1           -           423.C.a.json
    423.E.2021fxy   423   198.62008  -19.44426     1     2021fxy     423.E.2021fxy.json
  423.E.a.2021fxy   423   198.62008  -19.44426     1     2021fxy   423.E.a.2021fxy.json
         423.A.a    423  189.316090   -4.199490    0           -           423.A.a.json
         423.B.a    423  190.700000   -1.100000    0           -           423.B.a.json
         423.C.a    423  193.800000   -4.200000    0           -           423.C.a.json
         423.D.a    423  193.800000   -1.100000    0           -           423.D.a.json
         423.E.a    423  196.910010   -4.200010    0           -           423.E.a.json
         423.F.a    423  196.900000   -1.100000    0           -           423.F.a.json
          428.A.a   428   225.35406   -3.78353     0           -           428.A.a.json
          428.B.a   428   223.44015    3.77055     0           -           428.B.a.json
          428.C.a   428   228.45739   -3.78353     0           -           428.C.a.json
