name,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,order,t_start,t_end,slew_s,secz_i,secz_f
SN-S1,S1S2,AGN,2024A-755342,0,17.9 min,42.0 deg,-0.5 deg,21:33,22:00,21:33,22:18,0,21:33,21:51,0,1.58,1.71
2025afh_P1,2025afh_P1,DEBASS,2020B-0053,0,2.4 min,47.1 deg,-3.8 deg,21:33,22:30,21:33,22:48,1,21:51,21:54,42,1.5,1.52
353.A.a,353,YSE,2024B-763968,0,16.9 min,63.4 deg,-9.7 deg,21:33,23:50,21:33,00:07,2,21:54,22:12,66,1.19,1.24
SN-C3,C3,AGN,2024A-755342,0,4.6 min,52.6 deg,-28.1 deg,21:33,23:42,21:33,00:00,3,22:12,22:18,75,1.25,1.27
ECDFS,ECDFS,EtaCar,2024B-441839,0,4.5 min,53.1 deg,-28.1 deg,21:33,23:44,21:33,00:02,4,22:18,22:23,29,1.27,1.29
253.A.a,253,YSE,2024B-763968,0,18.4 min,61.3 deg,-24.7 deg,21:33,00:12,21:33,00:30,5,22:23,22:42,46,1.19,1.25
EDFS,EDFS,EtaCar,2024B-441839,0,4.5 min,59.1 deg,-48.7 deg,21:33,00:35,21:33,00:58,6,22:42,22:51,261,1.26,1.29
S-CVZ,S-CVZ,AGN,2024A-755342,0,4.6 min,90.0 deg,-66.6 deg,21:33,02:47,21:33,03:03,7,22:51,22:57,81,1.26,1.26
2025afx_P1,2025afx_P1,DEBASS,2020B-0053,0,2.4 min,104.0 deg,-46.3 deg,21:33,03:31,21:33,03:54,8,22:57,23:00,76,1.04,1.04
2025bdl_P1,2025bdl_P1,DEBASS,2020B-0053,0,1.0 min,100.2 deg,-40.0 deg,21:33,03:08,21:33,03:29,9,23:00,23:02,44,1.02,1.02
DESIRT,DESIRT_80_grz,DESIRT,2025A-729671,0,94.8 min,74.4 deg,-20.8 deg,21:33,00:57,21:33,01:14,10,23:02,00:42,273,1.17,1.66
2025kd_P1,2025kd_P2,DEBASS,2020B-0053,0,1.5 min,87.2 deg,-25.3 deg,21:33,01:56,21:33,02:13,11,00:42,00:44,56,1.31,1.32
412.A.a,412,YSE,2024B-763968,0,16.9 min,115.8 deg,-2.7 deg,21:33,03:01,21:33,03:19,12,00:44,01:03,107,1.18,1.22
2025azh_P1,2025azh_P1,DEBASS,2020B-0053,0,1.0 min,116.4 deg,6.4 deg,21:33,02:34,21:33,02:54,13,01:03,01:04,49,1.35,1.35
311.A.a,311,YSE,2024B-763968,0,16.9 min,123.6 deg,-17.0 deg,21:33,04:06,21:33,04:23,14,01:04,01:23,82,1.06,1.08
2025bqz_P1,2025bqz_P1,DEBASS,2020B-0053,0,1.0 min,137.1 deg,-9.5 deg,21:33,04:43,21:33,05:00,15,01:23,01:25,62,1.07,1.08
2025azf_P1,2025azf_P1,DEBASS,2020B-0053,0,2.4 min,136.2 deg,1.0 deg,21:37,04:12,21:33,04:31,16,01:25,01:28,52,1.18,1.18
2025hd_P2,2025hd_P2,DEBASS,2020B-0053,0,2.4 min,136.0 deg,-23.3 deg,21:33,05:07,21:33,05:25,17,01:28,01:32,82,1.02,1.02
2025beu_P1,2025beu_P1,DEBASS,2020B-0053,0,1.0 min,153.7 deg,-14.3 deg,22:08,06:01,21:50,06:18,18,01:32,01:34,70,1.05,1.05
CO1,COSMOS,AGN,2024A-755342,0,14.6 min,150.0 deg,2.2 deg,22:35,05:02,22:16,05:22,19,01:34,01:50,66,1.19,1.19
2025aoz_P1,2025aoz_P1,DEBASS,2020B-0053,0,1.7 min,151.5 deg,7.2 deg,23:00,04:51,22:38,05:11,20,01:50,01:52,40,1.26,1.26
2025acu_P1,2025acu_P1,DEBASS,2020B-0053,0,1.0 min,158.0 deg,1.0 deg,23:04,05:38,22:45,05:57,21,01:52,01:54,48,1.18,1.18
2025awf_P,2025awf_P1,DEBASS,2020B-0053,0,1.0 min,171.3 deg,-32.8 deg,22:45,06:21,22:27,06:21,22,01:54,02:00,288,1.05,1.04
OMLApex_,1_OMLApex.250217_r_10-dithpos,DOSC,2024A-718822,0,29.5 min,166.7 deg,-25.0 deg,22:40,06:21,22:22,06:21,23,02:00,02:33,228,1.03,1.01
OMLApex___,2_OMLApex.250217_i_15-dithpos,DOSC,2024A-718822,0,44.8 min,166.7 deg,-25.0 deg,22:40,06:21,22:22,06:21,24,02:33,03:18,29,1.01,1.01
OMLApex,3_OMLApex.250217_z_14-dithpos,DOSC,2024A-718822,0,42.0 min,166.7 deg,-23.6 deg,22:42,06:21,22:24,06:21,25,03:18,04:01,32,1.01,1.04
OMLApex__,4_OMLApex.250217_g_5-dithpos,DOSC,2024A-718822,0,14.1 min,166.7 deg,-25.0 deg,22:40,06:21,22:22,06:21,26,04:01,04:15,32,1.04,1.05
2024agls,2024agls,YSE,2024B-763968,0,1.7 min,160.4 deg,-0.2 deg,23:09,05:52,22:51,06:10,27,04:15,04:19,85,1.28,1.29
525.A.a,525,YSE,2024B-763968,0,16.9 min,187.0 deg,11.1 deg,01:37,06:21,01:15,06:21,28,04:19,04:37,92,1.33,1.34
2025aov_P1,2025aov_P1,DEBASS,2020B-0053,0,1.0 min,186.4 deg,12.0 deg,01:39,06:21,01:16,06:21,29,04:37,04:39,31,1.36,1.36
2025bcj_P2,2025bcj_P2,DEBASS,2020B-0053,0,1.0 min,194.8 deg,2.0 deg,01:34,06:21,01:15,06:21,30,04:39,04:41,57,1.18,1.18
2025arc_P1,2025arc_P1,DEBASS,2020B-0053,0,1.7 min,203.0 deg,-47.0 deg,00:34,06:21,00:12,06:21,31,04:41,04:48,317,1.05,1.05
2025bbx_P1,2025bbx_P1,DEBASS,2020B-0053,0,1.0 min,222.0 deg,-39.1 deg,01:59,06:21,01:39,06:21,32,04:48,04:50,64,1.09,1.09
2025bco,2025bco,YSE,2024B-763968,0,0.6 min,198.9 deg,-0.4 deg,01:43,06:21,01:25,06:21,33,04:50,04:55,306,1.16,1.15
DESIRT_,DESIRT_G15_z_short,DESIRT,2025A-729671,0,20.2 min,217.7 deg,-0.9 deg,02:57,06:21,02:38,06:21,34,04:55,05:17,70,1.23,1.19
2025bdy_P1,2025bdy_P1,DEBASS,2020B-0053,0,1.0 min,222.9 deg,3.5 deg,03:31,06:21,03:11,06:21,35,05:17,05:18,43,1.29,1.28
2025ayl_P1,2025ayl_P1,DEBASS,2020B-0053,0,1.0 min,205.7 deg,17.1 deg,03:24,06:21,02:58,06:21,36,05:18,05:21,76,1.48,1.48
2025ask_P1,2025ask_P1,DEBASS,2020B-0053,0,1.0 min,213.2 deg,15.8 deg,03:46,06:21,03:21,06:21,37,05:21,05:22,45,1.47,1.46
2025bdc_P1,2025bdc_P1,DEBASS,2020B-0053,0,1.0 min,220.9 deg,12.8 deg,04:01,06:21,03:38,06:21,38,05:22,05:24,46,1.44,1.44
428.A.a,428,YSE,2024B-763968,0,8.4 min,228.1 deg,-1.5 deg,03:36,06:21,03:18,06:21,39,05:24,05:34,64,1.24,1.22
2025aft,2025aft,YSE,2024B-763968,0,3.0 min,251.8 deg,-72.9 deg,03:42,06:21,03:22,06:21,40,05:34,05:43,369,1.51,1.5
DEFSuS_N52,defsus_main,DEFSuS,2025A-697040,0,29.8 min,267.1 deg,-29.2 deg,05:13,06:21,04:55,06:21,41,05:43,06:18,306,1.55,1.36
2025bei_P1,2025bei_P3,DEBASS,2020B-0053,0,2.4 min,175.2 deg,-17.1 deg,23:27,06:21,23:10,06:21,,05:43,05:51,362,1.19,1.21
2025J_P2,2025J_P3,DEBASS,2020B-0053,0,2.4 min,42.1 deg,-21.8 deg,21:33,22:50,21:33,23:07,,,,0 days 00:00:00,,
2025bg_P3,2025bg_P3,DEBASS,2020B-0053,0,2.4 min,157.2 deg,21.7 deg,00:46,03:49,00:12,04:24,,,,0 days 00:00:00,,
2025hg_P3,2025hg_P3,DEBASS,2020B-0053,0,2.4 min,164.3 deg,-2.2 deg,23:20,06:13,23:01,06:21,,05:34,05:39,169,1.51,1.53
2025dd_P3,2025dd_P3,DEBASS,2020B-0053,0,2.4 min,163.7 deg,-2.6 deg,23:16,06:11,22:58,06:21,,05:24,05:29,158,1.46,1.49
2025fi_P3,2025fi_P3,DEBASS,2020B-0053,0,2.4 min,42.1 deg,-14.7 deg,21:33,22:36,21:33,22:53,,05:22,05:32,405,,
2025kk_P2,2025kk_P2,DEBASS,2020B-0053,0,1.0 min,120.0 deg,2.9 deg,21:33,03:01,21:33,03:20,,05:21,05:25,216,,
2025gj_P1,2025gj_P2,DEBASS,2020B-0053,0,1.8 min,146.3 deg,-20.5 deg,21:33,05:43,21:33,06:01,,05:18,05:24,202,1.58,1.62
2025yz_P1,2025yz_P2,DEBASS,2020B-0053,0,2.4 min,154.6 deg,-5.3 deg,22:32,05:43,22:14,06:01,,05:17,05:22,167,1.58,1.62
2025L_P3,2025L_P3,DEBASS,2020B-0053,0,2.4 min,36.8 deg,-22.9 deg,21:33,22:30,21:33,22:48,,04:55,05:04,361,,
2025an_P3,2025an_P3,DEBASS,2020B-0053,0,2.4 min,164.6 deg,12.0 deg,00:13,05:23,23:49,05:45,,04:50,04:58,371,1.6,1.64
2025at_P2,2025at_P3,DEBASS,2020B-0053,0,2.4 min,36.6 deg,-9.0 deg,21:33,22:01,21:33,22:19,,04:48,04:58,478,,
2024agld_P3,2024agld_P3,DEBASS,2020B-0053,0,2.4 min,18.8 deg,-31.7 deg,21:33,21:33,21:33,21:52,,04:39,04:50,554,,
2025jh_P3,2025jh_P3,DEBASS,2020B-0053,0,2.4 min,194.6 deg,-31.8 deg,00:20,06:21,00:01,06:21,,04:37,04:45,304,1.0,1.0
2025aes_P3,2025aes_P3,DEBASS,2020B-0053,0,2.4 min,201.8 deg,-35.2 deg,00:43,06:21,00:24,06:21,,04:19,04:26,323,1.03,1.02
ec0915,etale.z.17min,EtaCar,2024B-441839,0,17.3 min,161.3 deg,-59.7 deg,21:38,06:21,21:33,06:21,,,,0 days 00:00:00,,
