name,order,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,t_start,t_end,slew_s,secz_i,secz_f,coord,early_limit,late_limit,eff_prio,current_time,t_start_hidden,t_end_hidden,cumul_program_time
SN-C3,1,C3,AGN,2024A-755342,0,4.6 min,52.6 deg,-28.1 deg,21:11,22:32,21:11,22:50,21:11,21:16,0,1.29,1.31,"<SkyCoord (ICRS): (ra, dec) in deg
    (52.6, -28.1)>",2025-03-08 00:11:51.236,2025-03-08 01:50:18.708,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:11:51.236,2025-03-08 00:16:27.236,0
2025zi,2,2025zi,YSE,2024B-763968,0,2.0 min,54.7 deg,-26.3 deg,21:11,22:37,21:11,22:54,21:16,21:19,34,1.28,1.3,"<SkyCoord (ICRS): (ra, dec) in deg
    (54.7, -26.3)>",2025-03-08 00:11:51.236,2025-03-08 01:54:50.316,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:16:27.236,2025-03-08 00:19:01.942,0
353.A.a,3,353,YSE,2024B-763968,0,8.1 min,63.4 deg,-9.7 deg,21:11,22:40,21:11,22:57,21:19,21:28,69,1.29,1.33,"<SkyCoord (ICRS): (ra, dec) in deg
    (63.4, -9.7)>",2025-03-08 00:11:51.236,2025-03-08 01:57:06.120,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:19:01.942,2025-03-08 00:28:17.709,0
253.A.a,4,253,YSE,2024B-763968,0,8.8 min,61.3 deg,-24.7 deg,21:11,23:00,21:11,23:18,21:28,21:38,62,1.24,1.28,"<SkyCoord (ICRS): (ra, dec) in deg
    (61.3, -24.7)>",2025-03-08 00:11:51.236,2025-03-08 02:18:36.258,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:28:17.709,2025-03-08 00:38:08.001,0
DESIRT''',5,DESIRT_80_g,DESIRT,2025A-729671,0,26.1 min,74.4 deg,-20.8 deg,21:11,23:46,21:11,00:03,21:38,22:05,56,1.14,1.21,"<SkyCoord (ICRS): (ra, dec) in deg
    (74.4, -20.8)>",2025-03-08 00:11:51.236,2025-03-08 03:03:52.337,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:38:08.001,2025-03-08 01:05:10.914,0
DESIRT''''',6,DESIRT_80_z,DESIRT,2025A-729671,0,38.8 min,74.4 deg,-20.8 deg,21:11,23:46,21:11,00:03,22:05,22:44,29,1.21,1.36,"<SkyCoord (ICRS): (ra, dec) in deg
    (74.4, -20.8)>",2025-03-08 00:11:51.236,2025-03-08 03:03:52.337,9999.0,2025-03-08 09:41:02.872,2025-03-08 01:05:10.914,2025-03-08 01:44:27.914,0
EDFS,7,EDFS,EtaCar,2024B-441839,0,4.5 min,59.1 deg,-48.7 deg,21:11,23:24,21:11,23:46,22:44,22:53,276,1.54,1.59,"<SkyCoord (ICRS): (ra, dec) in deg
    (59.1, -48.7)>",2025-03-08 00:11:51.236,2025-03-08 02:46:53.808,,2025-03-08 09:41:02.872,2025-03-08 01:44:27.914,2025-03-08 01:53:33.947,0
2025brs,8,2025brs,YSE,2024B-763968,0,1.2 min,94.7 deg,-24.5 deg,21:11,01:14,21:11,01:32,22:53,22:59,290,1.11,1.12,"<SkyCoord (ICRS): (ra, dec) in deg
    (94.7, -24.5)>",2025-03-08 00:11:51.236,2025-03-08 04:32:08.692,9999.0,2025-03-08 09:41:02.872,2025-03-08 01:53:33.947,2025-03-08 01:59:36.087,0
2025cxg_P1,9,2025cxg_P1,DEBASS,2020B-0053,0,2.4 min,101.4 deg,14.9 deg,21:11,23:44,21:11,00:09,22:59,23:03,116,1.57,1.59,"<SkyCoord (ICRS): (ra, dec) in deg
    (101.4, 14.9)>",2025-03-08 00:11:51.236,2025-03-08 03:09:31.847,9999.0,2025-03-08 09:41:02.872,2025-03-08 01:59:36.087,2025-03-08 02:03:56.953,0
2025azh_P2,10,2025azh_P2,DEBASS,2020B-0053,1,2.4 min,116.4 deg,6.4 deg,21:11,01:23,21:11,01:43,23:03,23:07,66,1.26,1.27,"<SkyCoord (ICRS): (ra, dec) in deg
    (116.4, 6.4)>",2025-03-08 00:11:51.236,2025-03-08 04:43:27.712,9999.0,2025-03-08 09:41:02.872,2025-03-08 02:03:56.953,2025-03-08 02:07:27.358,0
