program                            json_short     ra    dec jsonID                      UT   CLT priority order sep_deg decflip t_slew[m] t_exp[m] t_tot[m]                                                                                                     json_filename
    twi     SheppardTwilightMar31evening.json  57.97   3.08      1 2025-03-31T23:14:42.438 20:14        0    10    0.00       0      0.00    26.70    26.70      /Users/arest/observing/decat-obsplan-generator/json_files/2025A/twi/250331/SheppardTwilightMar31evening.json
 debass                       2025ezk_P1.json  75.43 -13.49     50 2025-03-31T23:41:24.438 20:41        0    20   23.97       0      0.88     1.50     2.38                     /Users/arest/observing/decat-obsplan-generator/json_files/2025A/debass/250331/2025ezk_P1.json
    agn                               C3.json  52.65 -28.10      6 2025-03-31T23:43:47.174 20:43        0    30   25.74       0      0.94    11.00    11.94                                /Users/arest/observing/decat-obsplan-generator/json_files/2025A/agn/250331/C3.json
    yse                            ECDFS.json  53.12 -28.10     33 2025-03-31T23:55:43.802 20:55        0    40    0.42       0      0.02     5.00     5.02                             /Users/arest/observing/decat-obsplan-generator/json_files/2025A/yse/250331/ECDFS.json
    yse                           2025zi.json  54.73 -26.28     27 2025-04-01T00:00:44.724 21:00        0    50    2.31       0      0.08     2.50     2.58                            /Users/arest/observing/decat-obsplan-generator/json_files/2025A/yse/250331/2025zi.json
    yse                             EDFS.json  59.10 -48.73     34 2025-04-01T00:03:19.800 21:03        0    60   22.70       1      3.83     5.00     8.83                              /Users/arest/observing/decat-obsplan-generator/json_files/2025A/yse/250331/EDFS.json
    agn                            S-CVZ.json  90.00 -66.56      8 2025-04-01T00:12:09.748 21:12        0    70   23.83       0      0.87    11.00    11.87                             /Users/arest/observing/decat-obsplan-generator/json_files/2025A/agn/250331/S-CVZ.json
    eta                    etale.r.17min.json 161.26 -59.68     40 2025-04-01T00:24:02.181 21:24        0    80   31.07       0      1.14    17.33    18.47                     /Users/arest/observing/decat-obsplan-generator/json_files/2025A/eta/250331/etale.r.17min.json
 debass                       2025evw_P1.json  97.20 -28.12     48 2025-04-01T00:42:30.539 21:42        0    90   53.02       1      4.94     3.00     7.94                     /Users/arest/observing/decat-obsplan-generator/json_files/2025A/debass/250331/2025evw_P1.json
    yse                          2025brs.json  94.74 -24.54     25 2025-04-01T00:50:27.186 21:50        0   100    4.20       0      0.15     2.50     2.65                           /Users/arest/observing/decat-obsplan-generator/json_files/2025A/yse/250331/2025brs.json
    yse                              311.json 123.55 -17.04     28 2025-04-01T00:53:06.419 21:53        0   110   27.89       0      1.02    16.00    17.02                               /Users/arest/observing/decat-obsplan-generator/json_files/2025A/yse/250331/311.json
