UT -14 deg twilight: 2025-04-06T23:34:25.625 2025-04-07T09:56:42.638
UT middle of the night: 2025-04-07T04:45:34.132

timezone CLT: America/SantiagoCLT -14 deg twilight: 04/06/2025,   19:34:25 to 05:56:42
timezone ET: America/New_YorkET  -14 deg twilight: 04/06/2025,   19:34:25 to 05:56:42
timezone PT: America/Los_AngelesPT  -14 deg twilight: 04/06/2025,   16:34:25 to 02:56:42
CLT middle of the night: 00:45:34
ET  middle of the night: 00:45:34
PT  middle of the night: 21:45:34



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi         0     10    1.85     SheppardTwilightApr06evening.json  62.37   3.08 2025-04-06T23:07:43.625 19:07 19:07    0.00        0      0.00    26.70    26.70
     28     yse         0     20    1.79                            ECDFS.json  53.12 -28.10 2025-04-06T23:34:25.625 19:34 19:34   32.42        0      1.19     5.00     6.19
     24     yse         0     30    1.79                              353.json  63.37  -9.68 2025-04-06T23:40:36.948 19:40 19:40   20.79        0      0.76     8.00     8.76
     23     yse         0     40    1.68                              253.json  61.28 -24.71 2025-04-06T23:49:22.684 19:49 19:49   15.16        0      0.56     8.00     8.56
     43  debass         0     50    1.48                       2025ezk_P1.json  75.43 -13.46 2025-04-06T23:57:56.031 19:57 19:57   17.44        0      0.64     3.00     3.64
     41  debass         0     60    1.10                       2025evw_P1.json  97.20 -28.14 2025-04-07T00:01:34.401 20:01 20:01   25.01        0      0.92     3.00     3.92
     29     yse         0     70    1.66                             EDFS.json  59.10 -48.73 2025-04-07T00:05:29.427 20:05 20:05   35.68        1      4.31     5.00     9.31
      7     agn         0     80    1.37                            S-CVZ.json  90.00 -66.56 2025-04-07T00:14:47.929 20:14 20:14   23.83        0      0.87    11.00    11.87
     34     eta         0     90    1.23       etale.ec0915.ec0814.i.5min.json 159.65 -60.19 2025-04-07T00:26:40.362 20:26 20:26   30.14        0      1.10     4.33     5.44
     35     eta         0    100    1.22                    etale.z.17min.json 161.26 -59.68 2025-04-07T00:32:06.661 20:32 20:32    0.95        0      0.03    17.33    17.37
     31     yse         1    120    1.05                              311.json 123.55 -17.04 2025-04-07T00:49:28.757 20:49 20:49   50.60        1      4.86     8.00    12.86
      6     agn         0    130    1.20                      COSMOS_moon.json 150.00   2.20 2025-04-07T01:02:20.084 21:02 21:02   32.42        0      1.19    22.00    23.19
     15  desirt         0    140    1.14                     DESIRT_165_i.json 161.88  -5.99 2025-04-07T01:25:31.404 21:25 21:25   14.42        0      0.53    14.67    15.20
     14  desirt         0    150    1.12                     DESIRT_165_g.json 161.88  -5.99 2025-04-07T01:40:43.122 21:40 21:40    0.00        0      0.00    10.67    10.67
      8    dosc         0    160    1.03    1_OMLApex.250406_i_15-dithpos.json 166.68 -24.98 2025-04-07T01:51:23.122 21:51 21:51   19.54        0      0.72    37.50    38.22
      9    dosc         0    170    1.01    2_OMLApex.250406_r_10-dithpos.json 166.68 -24.98 2025-04-07T02:29:36.106 22:29 22:29    0.00        0      0.00    25.00    25.00
     10    dosc         0    180    1.00    3_OMLApex.250406_z_23-dithpos.json 166.68 -24.98 2025-04-07T02:54:36.106 22:54 22:54    0.00        0      0.00    57.50    57.50
