UT -14 deg twilight: 2025-06-02T22:56:01.700 2025-06-03T10:26:56.647
UT middle of the night: 2025-06-03T04:41:29.174

timezone CLT: America/SantiagoCLT -14 deg twilight: 06/02/2025,   18:56:01 to 06:26:56
timezone ET: America/New_YorkET  -14 deg twilight: 06/02/2025,   18:56:01 to 06:26:56
timezone PT: America/Los_AngelesPT  -14 deg twilight: 06/02/2025,   15:56:01 to 03:26:56
CLT middle of the night: 00:41:29
ET  middle of the night: 00:41:29
PT  middle of the night: 21:41:29



#####################
### OBSPLAN:
#####################
 jsonID program priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi        0     10    1.84     55.5     SheppardTwilightJun02evening.json 106.83  -0.08 2025-06-02T22:29:19.700 18:29 18:29    0.00       0      0.00    26.70    26.70
     35     yse        0     20    1.69     47.5                              412.json 115.81  -2.65 2025-06-02T22:56:01.700 18:56 18:56    9.34       0      0.34     8.00     8.34
     33     yse        0     30    1.33     46.1                              311.json 123.55 -17.04 2025-06-02T23:04:22.247 19:04 19:04   16.27       0      0.60     8.00     8.60
     47     eta        0     40    1.17     69.6          etale.ec0814.griz.11min.json 158.03 -60.69 2025-06-02T23:12:58.049 19:12 19:12   50.11       1      4.84    10.33    15.17
     48     eta        0     50    1.16     68.5          etale.ec0915.griz.11min.json 161.26 -59.68 2025-06-02T23:28:08.296 19:28 19:28    1.89       0      0.07    10.33    10.40
     49     eta        0     60    1.16     68.2                    etale.z.17min.json 161.91 -59.48 2025-06-02T23:38:32.464 19:38 19:38    0.38       0      0.01    10.83    10.85
     51  debass        0     70    1.10     53.8                       2025jsh_P1.json 153.26 -44.42 2025-06-02T23:49:23.309 19:49 19:49   15.95       0      0.58     1.50     2.08
     32     yse        0     80    1.08     47.5                          2025ifq.json 154.26 -38.19 2025-06-02T23:51:28.395 19:51 19:51    6.28       0      0.23     2.47     2.70
      6     agn        0     90    1.36     14.0                      COSMOS_moon.json 150.00   2.20 2025-06-02T23:54:10.212 19:54 19:54   40.58       1      4.49    22.00    26.49
      8    dosc        0    100    1.05     33.8     1_OMLApex.250602_r_5-dithpos.json 166.68 -24.98 2025-06-03T00:20:39.480 20:20 20:20   31.63       0      1.16    12.50    13.66
      9    dosc        0    110    1.07     33.7    2_OMLApex.250602_i_10-dithpos.json 166.68 -24.98 2025-06-03T00:34:19.064 20:34 20:34    0.00       0      0.00    25.00    25.00
     10    dosc        0    120    1.11     33.6    3_OMLApex.250602_z_15-dithpos.json 166.68 -24.98 2025-06-03T00:59:19.064 20:59 20:59    0.00       0      0.00    37.50    37.50
     39     yse        0    130    1.41     23.6                              525.json 186.99  11.09 2025-06-03T01:36:49.064 21:36 21:36   41.15       0      1.51    16.00    17.51
     31     yse        0    140    1.82     50.9                          2025gcv.json 213.56  26.53 2025-06-03T01:54:19.592 21:54 21:54   29.40       0      1.08     2.47     3.54
     62  debass        0    150    1.53     59.3                       2025lxv_P1.json 223.76  17.49 2025-06-03T01:57:52.275 21:57 21:57   13.08       0      0.48     2.25     2.73
     52  debass        0    160    1.21     54.6                       2025jus_P1.json 218.22   3.61 2025-06-03T02:00:36.044 22:00 22:00   14.91       0      0.55     2.25     2.80
     65  debass        0    170    1.16     49.3                       2025mbz_P1.json 212.24  -0.13 2025-06-03T02:03:23.840 22:03 22:03    7.05       0      0.26     1.50     1.76
     58  debass        0    180    1.17     38.5                       2025kum_P1.json 201.14  -0.41 2025-06-03T02:05:09.356 22:05 22:05   11.10       0      0.41     1.50     1.91
     14  desirt        0    190    1.12     47.7                     DESIRT_200_g.json 209.93  -3.30 2025-06-03T02:07:03.773 22:07 22:07    9.24       0      0.34    13.33    13.67
     15  desirt        0    200    1.13     47.6                     DESIRT_200_i.json 209.93  -3.30 2025-06-03T02:20:44.110 22:20 22:20    0.00       0      0.00    18.33    18.33
     22  desirt        0    210    1.15     54.5                     DESIRT_G15_g.json 217.71  -0.86 2025-06-03T02:39:04.110 22:39 22:39    8.15       0      0.30    20.00    20.30
     23  desirt        0    220    1.16     54.4                     DESIRT_G15_i.json 217.71  -0.86 2025-06-03T02:59:22.038 22:59 22:59    0.00       0      0.00    27.50    27.50
     34     yse        0    230    1.09     60.3                              376.json 222.21  -9.14 2025-06-03T03:26:52.038 23:26 23:26    9.42       0      0.35    16.00    16.35
     36     yse        0    240    1.15     64.4                              428.json 228.14  -1.49 2025-06-03T03:43:12.763 23:43 23:43    9.66       0      0.35    16.00    16.35
     57  debass        0    250    1.55     71.8                       2025krk_P1.json 237.72  19.76 2025-06-03T03:59:34.011 23:59 23:59   23.23       0      0.85     2.25     3.10
     56  debass        0    260    1.27     71.6                       2025klo_P1.json 236.70   7.56 2025-06-03T04:02:40.122 00:02 00:02   12.23       0      0.45     3.00     3.45
     50  debass        0    270    1.15     68.7                       2025ime_P1.json 232.63  -1.75 2025-06-03T04:06:07.029 00:06 00:06   10.16       0      0.37     1.50     1.87
     64  debass        0    280    1.13     67.3                       2025lyj_P1.json 230.63  -5.32 2025-06-03T04:07:59.379 00:07 00:07    4.09       0      0.15     2.25     2.40
     67  debass        0    290    1.10     65.7                       2025mje_P1.json 227.91 -10.22 2025-06-03T04:10:23.371 00:10 00:10    5.59       0      0.20     2.25     2.45
     63  debass        0    300    1.12     63.2                       2025lyf_P1.json 225.43 -10.07 2025-06-03T04:12:50.668 00:12 00:12    2.45       0      0.09     2.25     2.34
     68  debass        0    310    1.20     53.2                       2025mlb_P1.json 214.51 -11.10 2025-06-03T04:15:11.049 00:15 00:15   10.78       0      0.40     1.50     1.90
     59  debass        0    320    1.18     53.6                       2025kwy_P1.json 211.04 -20.34 2025-06-03T04:17:04.770 00:17 00:17    9.82       0      0.36     1.50     1.86
     11    dosc        0    330    1.13     62.0 4_ShallowApex.250602_g_4-dithpos.json 213.20 -33.90 2025-06-03T04:18:56.380 00:18 00:18   13.69       1      3.50    10.00    13.50
     12    dosc        0    340    1.16     61.9 5_ShallowApex.250602_r_6-dithpos.json 213.20 -33.90 2025-06-03T04:32:26.507 00:32 00:32    0.00       0      0.00    15.00    15.00
     13    dosc        0    350    1.20     61.8 6_ShallowApex.250602_i_8-dithpos.json 213.20 -33.90 2025-06-03T04:47:26.507 00:47 00:47    0.00       0      0.00    20.00    20.00
     41     yse        0    360    1.21     65.2                       GRB250424A.json 217.50 -34.94 2025-06-03T05:07:26.507 01:07 01:07    3.69       0      0.14     8.67     8.80
