 jsonID program  priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                             json_filename
     75     twi         0     10    1.82     27.5     SheppardTwilightJun29evening.json 133.28  -2.08 2025-06-29T22:32:57.154 18:32 18:32    0.00      0.0      0.00    26.70    26.70      /Users/arest/observing/decat_pointings/json_files/2025A/twi/250629/SheppardTwilightJun29evening.json
      3    dosc         0     20    1.09     36.6    1_OMLApex.250629_i_15-dithpos.json 166.68 -24.98 2025-06-29T22:59:39.154 18:59 18:59   39.51      0.0      1.45    37.50    38.95    /Users/arest/observing/decat_pointings/json_files/2025A/dosc/250629/1_OMLApex.250629_i_15-dithpos.json
      4    dosc         0     30    1.17     36.4    2_OMLApex.250629_z_15-dithpos.json 166.68 -24.98 2025-06-29T23:38:36.069 19:38 19:38    0.00      0.0      0.00    37.50    37.50    /Users/arest/observing/decat_pointings/json_files/2025A/dosc/250629/2_OMLApex.250629_z_15-dithpos.json
     77  desirt         0     40    1.09     45.0                          2025kkb.json 198.68 -10.42 2025-06-30T00:16:06.069 20:16 20:16   33.65      0.0      1.23     7.83     9.07                        /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/2025kkb.json
     14  desirt         0     50    1.12     52.8                     DESIRT_200_g.json 209.93  -3.30 2025-06-30T00:25:10.106 20:25 20:25   13.24      0.0      0.49    13.33    13.82                   /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/DESIRT_200_g.json
     15  desirt         0     60    1.13     52.7                     DESIRT_200_r.json 209.93  -3.30 2025-06-30T00:38:59.229 20:38 20:38    0.00      0.0      0.00    16.67    16.67                   /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/DESIRT_200_r.json
     47  debass         0     70    1.17     54.0                       2025mbz_P1.json 212.24  -0.13 2025-06-30T00:55:39.229 20:55 20:55    3.92      0.0      0.14     1.50     1.64                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025mbz_P1.json
     22  desirt         0     80    1.15     59.5                     DESIRT_G15_g.json 217.71  -0.86 2025-06-30T00:57:17.853 20:57 20:57    5.52      0.0      0.20    20.00    20.20                   /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/DESIRT_G15_g.json
     23  desirt         0     90    1.18     55.8                   DESIRT_G15_r_1.json 214.05  -0.79 2025-06-30T01:17:29.999 21:17 21:17    3.66      0.0      0.13    10.00    10.13                 /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/DESIRT_G15_r_1.json
     24  desirt         0    100    1.16     60.1                   DESIRT_G15_r_2.json 218.54  -0.97 2025-06-30T01:27:38.051 21:27 21:27    4.49      0.0      0.16     8.33     8.50                 /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250629/DESIRT_G15_r_2.json
     45  debass         0    110    1.50     62.8                       2025lxv_P1.json 223.74  17.49 2025-06-30T01:36:07.934 21:36 21:36   19.15      0.0      0.70     1.50     2.20                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025lxv_P1.json
     34     yse         0    120    1.08     65.5                              376.json 222.21  -9.14 2025-06-30T01:38:20.064 21:38 21:38   26.67      0.0      0.98    16.00    16.98                               /Users/arest/observing/decat_pointings/json_files/2025A/yse/250629/376.json
     36     yse         0    130    1.15     69.4                              428.json 228.14  -1.49 2025-06-30T01:55:18.741 21:55 21:55    9.66      0.0      0.35    16.00    16.35                               /Users/arest/observing/decat_pointings/json_files/2025A/yse/250629/428.json
     46  debass         0    140    1.12     72.5                       2025lyj_P1.json 230.66  -5.32 2025-06-30T02:11:39.989 22:11 22:11    4.58      0.0      0.17     1.50     1.67                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025lyj_P1.json
      6    dosc         0    150    1.09     67.1 4_ShallowApex.250629_i_7-dithpos.json 213.20 -33.90 2025-06-30T02:13:20.067 22:13 22:13   32.85      1.0      4.20    17.50    21.70 /Users/arest/observing/decat_pointings/json_files/2025A/dosc/250629/4_ShallowApex.250629_i_7-dithpos.json
      7    dosc         0    160    1.13     66.9 5_ShallowApex.250629_z_6-dithpos.json 213.20 -33.90 2025-06-30T02:35:02.348 22:35 22:35    0.00      0.0      0.00    15.00    15.00 /Users/arest/observing/decat_pointings/json_files/2025A/dosc/250629/5_ShallowApex.250629_z_6-dithpos.json
     64  debass         1    170     NaN    155.8                       2025khv_P2.json 347.66 -32.88 2025-06-30T02:50:02.348 22:50 22:50  100.69      0.0      3.69     2.25     5.94                   /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/1/2025khv_P2.json
     56  debass         0    180    1.01     88.0                       2025ngg_P1.json 242.87 -25.73 2025-06-30T02:55:58.856 22:55 22:55   87.56      1.0      6.21     1.50     7.71                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025ngg_P1.json
     62  debass         0    190    1.09     84.1                       2025odr_P1.json 242.17  -9.49 2025-06-30T03:03:41.481 23:03 23:03   16.25      0.0      0.60     2.25     2.85                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025odr_P1.json
     61  debass         0    200    1.73     81.5                       2025ocd_P1.json 244.80  23.73 2025-06-30T03:06:32.230 23:06 23:06   33.32      0.0      1.22     2.25     3.47                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025ocd_P1.json
     49  debass         0    210    1.13     93.1                       2025mvi_P1.json 252.81  -2.11 2025-06-30T03:10:00.529 23:10 23:10   26.99      0.0      0.99     1.50     2.49                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025mvi_P1.json
     40  defsus         0    220    1.01    107.7                       1_defsus_N.json 265.05 -26.70 2025-06-30T03:12:29.904 23:12 23:12   27.25      0.0      1.00    12.00    13.00                     /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250629/1_defsus_N.json
     41  defsus         0    230    1.01    110.5                       1_defsus_S.json 268.32 -30.60 2025-06-30T03:25:29.848 23:25 23:25    4.84      0.0      0.18    21.00    21.18                     /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250629/1_defsus_S.json
     42  defsus         0    240    1.00    107.4                       2_defsus_N.json 265.05 -26.70 2025-06-30T03:46:40.496 23:46 23:46    4.84      0.0      0.18    12.00    12.18                     /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250629/2_defsus_N.json
     43  defsus         0    250    1.00    110.2                       2_defsus_S.json 268.32 -30.60 2025-06-30T03:58:51.144 23:58 23:58    4.84      0.0      0.18    21.00    21.18                     /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250629/2_defsus_S.json
     71   OTHER         0    260    1.00    110.0               D01D02_z4x42_r3x85.json 268.34 -29.41 2025-06-30T04:20:01.792 00:20 00:20    1.19      0.0      0.04    59.50    59.54              /Users/arest/observing/decat_pointings/json_files/2025A/OTHER/250629/D01D02_z4x42_r3x85.json
     72   OTHER         0    270    1.04    109.5             D01D02_z4x42_r3x85_2.json 268.34 -29.41 2025-06-30T05:19:34.414 01:19 01:19    0.00      0.0      0.00    59.50    59.50            /Users/arest/observing/decat_pointings/json_files/2025A/OTHER/250629/D01D02_z4x42_r3x85_2.json
     73   OTHER         0    280    1.15    109.0             D01D02_z4x42_r3x85_3.json 268.34 -29.41 2025-06-30T06:19:04.414 02:19 02:19    0.00      0.0      0.00    59.50    59.50            /Users/arest/observing/decat_pointings/json_files/2025A/OTHER/250629/D01D02_z4x42_r3x85_3.json
     74   OTHER         0    290    1.35    108.5             D01D02_z4x42_r3x85_4.json 268.34 -29.41 2025-06-30T07:18:34.414 03:18 03:18    0.00      0.0      0.00    59.50    59.50            /Users/arest/observing/decat_pointings/json_files/2025A/OTHER/250629/D01D02_z4x42_r3x85_4.json
     51  debass         0    300    1.26    131.2                       2025myo_P1.json 293.13 -18.25 2025-06-30T08:18:04.414 04:18 04:18   25.20      0.0      0.92     1.50     2.42                     /Users/arest/observing/decat_pointings/json_files/2025A/debass/250629/2025myo_P1.json
