UT -14 deg twilight: 2025-07-02T23:00:41.993 2025-07-03T10:34:16.420
UT middle of the night: 2025-07-03T04:47:29.206

timezone CLT: America/SantiagoCLT -14 deg twilight: 07/02/2025,   19:00:41 to 06:34:16
timezone ET: America/New_YorkET  -14 deg twilight: 07/02/2025,   19:00:41 to 06:34:16
timezone PT: America/Los_AngelesPT  -14 deg twilight: 07/02/2025,   16:00:41 to 03:34:16
CLT middle of the night: 00:47:29
ET  middle of the night: 00:47:29
PT  middle of the night: 21:47:29


UT -14 deg twilight: 2025-07-02T23:00:41.993 2025-07-03T10:34:16.420
UT middle of the night: 2025-07-03T04:47:29.206

timezone CLT: America/SantiagoCLT -14 deg twilight: 07/02/2025,   19:00:41 to 06:34:16
timezone ET: America/New_YorkET  -14 deg twilight: 07/02/2025,   19:00:41 to 06:34:16
timezone PT: America/Los_AngelesPT  -14 deg twilight: 07/02/2025,   16:00:41 to 03:34:16
CLT middle of the night: 00:47:29
ET  middle of the night: 00:47:29
PT  middle of the night: 21:47:29



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     55  debass         0     10    1.22     50.2                   2025ngg_P1.json 242.87 -25.73 2025-07-03T04:47:29.206 00:47 00:47    0.00        0      0.00     1.50     1.50
     60  debass         0     20    1.37     48.2                   2025odr_P1.json 242.14  -9.49 2025-07-03T04:48:59.206 00:48 00:48   16.25        0      0.60     2.25     2.85
     47  debass         0     30    1.31     59.4                   2025mvi_P1.json 252.81  -2.14 2025-07-03T04:51:49.958 00:51 00:51   12.91        0      0.47     1.50     1.97
     49  debass         0     40    1.46     76.7                   2025myd_P1.json 267.45  13.94 2025-07-03T04:53:48.359 00:53 00:53   21.66        0      0.79     1.50     2.29
     36  defsus         0     50    1.05     70.0                   1_defsus_N.json 265.05 -26.70 2025-07-03T04:56:06.005 00:56 00:56   40.71        0      1.49    12.00    13.49
     37  defsus         0     60    1.04     72.8                   1_defsus_S.json 268.32 -30.60 2025-07-03T05:09:35.561 01:09 01:09    4.84        0      0.18    21.00    21.18
     38  defsus         0     70    1.10     69.7                   2_defsus_N.json 265.05 -26.70 2025-07-03T05:30:46.209 01:30 01:30    4.84        0      0.18    12.00    12.18
     39  defsus         0     80    1.09     72.5                   2_defsus_S.json 268.32 -30.60 2025-07-03T05:42:56.857 01:42 01:42    4.84        0      0.18    21.00    21.18
     50  debass         0     90    1.03     96.0                   2025myo_P1.json 293.10 -18.27 2025-07-03T06:04:07.505 02:04 02:04   25.62        0      0.94     1.50     2.44
     57  debass         0    100    1.08    114.3                   2025nqm_P1.json 310.20  -8.58 2025-07-03T06:06:33.876 02:06 02:06   19.22        0      0.70     2.25     2.95
     12  desirt         0    110    1.09    120.3               DESIRT_315_g_1.json 316.91  -9.83 2025-07-03T06:09:31.170 02:09 02:09    6.74        0      0.25     6.67     6.91
     15  desirt         0    120    1.09    120.3               DESIRT_315_r_1.json 316.91  -9.83 2025-07-03T06:16:26.004 02:16 02:16    0.00        0      0.00     8.33     8.33
     13  desirt         0    130    1.08    123.8               DESIRT_315_g_2.json 321.43 -12.04 2025-07-03T06:24:46.004 02:24 02:24    4.96        0      0.18     6.67     6.85
     16  desirt         0    140    1.07    123.7               DESIRT_315_r_2.json 321.43 -12.04 2025-07-03T06:31:36.919 02:31 02:31    0.00        0      0.00     8.33     8.33
     14  desirt         0    150    1.05    119.2               DESIRT_315_g_3.json 317.09 -13.53 2025-07-03T06:39:56.919 02:39 02:39    4.49        0      0.16     6.67     6.83
     17  desirt         0    160    1.05    119.1               DESIRT_315_r_3.json 317.09 -13.53 2025-07-03T06:46:46.796 02:46 02:46    0.00        0      0.00     8.33     8.33
     59  debass         0    170    1.09    118.4                   2025nxh_P1.json 314.46  -6.84 2025-07-03T06:55:06.796 02:55 02:55    7.16        0      0.26     2.25     2.51
     54  debass         0    180    1.12    121.1                   2025nff_P1.json 316.43  -3.14 2025-07-03T06:57:37.559 02:57 02:57    4.19        0      0.15     2.25     2.40
     33     yse         0    190    1.34    128.2                          544.json 321.80  11.20 2025-07-03T07:00:01.780 03:00 03:00   15.30        0      0.56    16.00    16.56
     56  debass         0    200    1.15    135.2                   2025nou_P1.json 330.87  -2.23 2025-07-03T07:16:35.440 03:16 03:16   16.18        0      0.59     2.25     2.84
     31     yse         0    210    1.25    138.6                          494.json 332.94   4.77 2025-07-03T07:19:26.032 03:19 03:19    7.30        0      0.27    16.00    16.27
     61  debass         0    220    1.40    155.2                   2025oxz_P1.json 349.59   7.38 2025-07-03T07:35:42.089 03:35 03:35   16.76        0      0.61     2.25     2.86
     51  debass         0    230    1.23    152.5                   2025myp_P1.json 349.28  -2.16 2025-07-03T07:38:33.964 03:38 03:38    9.54        0      0.35     1.50     1.85
     30     yse         0    240    1.12    145.7                          393.json 345.62  -9.85 2025-07-03T07:40:24.957 03:40 03:40    8.50        0      0.31    16.00    16.31
     63  debass         1    250    1.03    128.7                   2025lxp_P2.json 329.26 -15.68 2025-07-03T07:56:43.664 03:56 03:56   16.98        0      0.62     2.25     2.87
     52  debass         0    260    1.03    124.5                   2025mzr_P1.json 325.32 -17.49 2025-07-03T07:59:36.017 03:59 03:59    4.19        0      0.15     1.50     1.65
     58  debass         0    270    1.02    118.2                   2025nwy_P1.json 320.30 -22.37 2025-07-03T08:01:15.234 04:01 04:01    6.79        0      0.25     2.25     2.50
     48  debass         0    280    1.08    102.5                   2025mxf_P1.json 305.85 -32.43 2025-07-03T08:03:45.162 04:03 04:03   16.28        1      3.60     2.25     5.85
      6     agn         0    290    1.17    127.4                         E1E2.json   8.69 -43.50 2025-07-03T08:09:35.972 04:09 04:09   49.56        0      1.82    20.50    22.32
      8  desirt         0    300    1.29    151.0             DESIRT_20-20-1_g.json  20.77 -19.59 2025-07-03T08:31:55.013 04:31 04:31   25.97        1      3.95     6.67    10.62
      9  desirt         0    310    1.25    150.9             DESIRT_20-20-1_r.json  20.77 -19.59 2025-07-03T08:42:32.142 04:42 04:42    0.00        0      0.00     8.33     8.33
     10  desirt         0    320    1.26    147.4             DESIRT_20-20-2_g.json  24.72 -22.23 2025-07-03T08:50:52.142 04:50 04:50    4.54        0      0.17     6.67     6.83
     11  desirt         0    330    1.23    147.4             DESIRT_20-20-2_r.json  24.72 -22.23 2025-07-03T08:57:42.120 04:57 04:57    0.00        0      0.00     8.33     8.33
     53  debass         0    340    1.86    163.4                   2025nac_P1.json   7.97  24.04 2025-07-03T09:06:02.120 05:06 05:06   49.05        0      1.80     1.50     3.30
      7     agn         0    350    1.58    155.3                         X123.json  35.53  -5.31 2025-07-03T09:09:20.021 05:09 05:09   39.79        0      1.46    33.00    34.46
      5     agn         0    360    1.50    128.3                           C3.json  52.65 -28.10 2025-07-03T09:43:47.553 05:43 05:43   27.99        0      1.03    11.00    12.03
     34     yse         0    370    1.44    128.0                        ECDFS.json  53.12 -28.10 2025-07-03T09:55:49.129 05:55 05:55    0.42        0      0.02     7.50     7.52
     35     yse         0    380    1.46    110.7                         EDFS.json  59.10 -48.73 2025-07-03T10:03:20.051 06:03 06:03   21.14        1      3.78     7.50    11.28
     28     yse         0    390    1.55    124.2                          253.json  61.28 -24.71 2025-07-03T10:14:36.555 06:14 06:14   24.08        1      3.88    16.00    19.88
      0     twi         0    400    2.14    127.5 SheppardTwilightJul03morning.json  67.71  -1.00 2025-07-03T10:34:16.420 06:34 06:34   24.51        0      0.90    12.78    13.68

#####################
### EXTRA TARGETS:
#####################
 jsonID program  priority  order airmass sep_moon                      json_short     ra    dec  UT CLT  ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     18  desirt         1     -1     NaN      NaN           DESIRT_20-20-1_i.json  20.77 -19.59 NaN NaN NaN     NaN        0       NaN     9.17      NaN
     19  desirt         1     -1     NaN      NaN           DESIRT_20-20-1_r.json  20.77 -19.59 NaN NaN NaN     NaN        0       NaN     8.33      NaN
     24  desirt         1     -1     NaN      NaN           DESIRT_20-20-3_r.json  24.05 -17.09 NaN NaN NaN     NaN        0       NaN     8.33      NaN
     23  desirt         1     -1     NaN      NaN           DESIRT_20-20-3_i.json  24.05 -17.09 NaN NaN NaN     NaN        0       NaN     9.17      NaN
     22  desirt         1     -1     NaN      NaN           DESIRT_20-20-3_g.json  24.05 -17.09 NaN NaN NaN     NaN        0       NaN     6.67      NaN
     20  desirt         1     -1     NaN      NaN           DESIRT_20-20-2_i.json  24.72 -22.23 NaN NaN NaN     NaN        0       NaN     9.17      NaN
     21  desirt         1     -1     NaN      NaN           DESIRT_20-20-2_r.json  24.72 -22.23 NaN NaN NaN     NaN        0       NaN     8.33      NaN
      2  kleyna         0     -1     NaN      NaN 2_Kleyna2025-07-02_sunrise.json  43.33  14.47 NaN NaN NaN     NaN        0       NaN    12.00      NaN
      1  kleyna         0     -1     NaN      NaN 1_Kleyna2025-07-02_sunrise.json  43.33  14.47 NaN NaN NaN     NaN        1       NaN    12.00      NaN
      3  kleyna         0     -1     NaN      NaN 3_Kleyna2025-07-02_sunrise.json  43.33  14.47 NaN NaN NaN     NaN        0       NaN    12.00      NaN
      4  kleyna         0     -1     NaN      NaN 4_Kleyna2025-07-02_sunrise.json  43.33  14.47 NaN NaN NaN     NaN        0       NaN    12.00      NaN
     42     eta         0     -1     NaN      NaN             etale.i.set1.B.json 146.77 -58.77 NaN NaN NaN     NaN        0       NaN    34.50      NaN
     40     eta         0     -1     NaN      NaN      etale.ec0814.riz.8min.json 158.03 -60.69 NaN NaN NaN     NaN        0       NaN     6.50      NaN
     41     eta         0     -1     NaN      NaN      etale.ec0915.riz.8min.json 161.26 -59.68 NaN NaN NaN     NaN        0       NaN     4.33      NaN
     43     eta         0     -1     NaN      NaN              etale.z.17min.json 161.91 -59.48 NaN NaN NaN     NaN        0       NaN    10.83      NaN
     32     yse         0     -1     NaN      NaN                        525.json 186.89  12.51 NaN NaN NaN     NaN        1       NaN    10.67      NaN
     66  debass         1     -1     NaN      NaN                 2025mld_P2.json 217.46 -22.19 NaN NaN NaN     NaN        0       NaN     1.50      NaN
     29     yse         0     -1     NaN      NaN                        376.json 222.21  -9.14 NaN NaN NaN     NaN        0       NaN     8.00      NaN
     45  debass         0     -1     NaN      NaN                 2025lxv_P1.json 223.74  17.49 NaN NaN NaN     NaN        0       NaN     1.50      NaN
     65  debass         1     -1     NaN      NaN                 2025mje_P2.json 227.91 -10.22 NaN NaN NaN     NaN        0       NaN     1.50      NaN
     46  debass         0     -1     NaN      NaN                 2025lyj_P1.json 230.63  -5.35 NaN NaN NaN     NaN        0       NaN     1.50      NaN
     62  debass         1     -1     NaN      NaN                 2025klo_P2.json 236.70   7.56 NaN NaN NaN     NaN        0       NaN     3.00      NaN
     44  debass         0     -1     NaN      NaN                 2025krk_P1.json 237.72  19.76 NaN NaN NaN     NaN        0       NaN     1.50      NaN
