 jsonID program  priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                            json_filename
      0     twi         0     10    1.84     94.8  SheppardTwilightJul06evening.json 140.37  -2.08 2025-07-06T22:35:31.690 18:35 18:35    0.00      0.0      0.00    26.70    26.70     /Users/arest/observing/decat_pointings/json_files/2025A/twi/250706/SheppardTwilightJul06evening.json
     40     eta         0     20    1.49     71.4                etale.i.set1.A.json 142.31 -58.37 2025-07-06T23:02:13.690 19:02 19:02   56.31      1.0      5.06    19.50    24.56                   /Users/arest/observing/decat_pointings/json_files/2025A/eta/250706/etale.i.set1.A.json
     64     eta         0     30    1.38     63.2         etale.ec0814.riz.8min.json 158.03 -60.69 2025-07-06T23:26:47.582 19:26 19:26    8.28      0.0      0.30     2.17     2.47            /Users/arest/observing/decat_pointings/json_files/2025A/eta/250706/etale.ec0814.riz.8min.json
     66     eta         0     40    1.35     61.6                 etale.i.15min.json 161.26 -59.68 2025-07-06T23:29:15.799 19:29 19:29    1.89      0.0      0.07    15.17    15.24                    /Users/arest/observing/decat_pointings/json_files/2025A/eta/250706/etale.i.15min.json
     41     eta         0     50    1.39     61.7                 etale.z.17min.json 161.26 -59.68 2025-07-06T23:44:29.967 19:44 19:44    0.00      0.0      0.00    17.33    17.33                    /Users/arest/observing/decat_pointings/json_files/2025A/eta/250706/etale.z.17min.json
     65     eta         0     60    1.44     61.7         etale.ec0915.riz.8min.json 161.26 -59.68 2025-07-07T00:01:49.967 20:01 20:01    0.00      0.0      0.00     2.17     2.17            /Users/arest/observing/decat_pointings/json_files/2025A/eta/250706/etale.ec0915.riz.8min.json
      4    dosc         1     70    1.37     63.3 1_OMLApex.250706_r_10-dithpos.json 166.68 -24.98 2025-07-07T00:03:59.967 20:03 20:03   34.91      1.0      4.28    25.00    29.28 /Users/arest/observing/decat_pointings/json_files/2025A/dosc/250706/1/1_OMLApex.250706_r_10-dithpos.json
     52  debass         0     80    1.16     41.4                    2025pjt_P1.json 195.91 -12.05 2025-07-07T00:33:16.768 20:33 20:33   30.49      0.0      1.12     1.95     3.07                    /Users/arest/observing/decat_pointings/json_files/2025A/debass/250706/2025pjt_P1.json
     33     yse         0     90    1.70     61.2                           525.json 186.99  11.09 2025-07-07T00:36:20.836 20:36 20:36   24.78      0.0      0.91    16.00    16.91                              /Users/arest/observing/decat_pointings/json_files/2025A/yse/250706/525.json
     73     yse         0    100    1.28     29.4                A11pl3Z_76U100.json 268.74 -18.52 2025-07-07T00:53:15.346 20:53 20:53   85.85      0.0      3.15     6.00     9.15                   /Users/arest/observing/decat_pointings/json_files/2025A/yse/250706/A11pl3Z_76U100.json
     54  debass         0    110    1.25     38.4                    2025pxk_P1.json 208.18   0.35 2025-07-07T01:02:24.217 21:02 21:02   62.36      0.0      2.29     1.50     3.79                    /Users/arest/observing/decat_pointings/json_files/2025A/debass/250706/2025pxk_P1.json
     87  desirt         2    120    1.20     34.6                  DESIRT_200_i.json 209.93  -3.30 2025-07-07T01:06:11.400 21:06 21:06    4.05      0.0      0.15    18.33    18.48                /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250706/2/DESIRT_200_i.json
     74     yse         0    130    1.18     29.1                A11pl3Z_76U130.json 268.73 -18.52 2025-07-07T01:24:40.305 21:24 21:24   59.43      0.0      2.18     6.00     8.18                   /Users/arest/observing/decat_pointings/json_files/2025A/yse/250706/A11pl3Z_76U130.json
