 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                        json_filename
      0     twi         0     10    1.95     51.3 SheppardTwilightJul23evening.json 157.94  -0.08 2025-07-23T22:43:11.113 18:43 18:43    0.00      0.0      0.00    26.70    26.70 /Users/arest/observing/decat_pointings/json_files/2025A/twi/250723/SheppardTwilightJul23evening.json
     51     eta         0     20    1.53     94.5      etale.ec0814.griz.11min.json 158.68 -60.49 2025-07-23T23:09:53.113 19:09 19:09   60.41      1.0      5.22    12.50    17.72      /Users/arest/observing/decat_pointings/json_files/2025A/eta/250723/etale.ec0814.griz.11min.json
      3  kleyna         0     30    1.68     65.9    2_Kleyna2025-07-23_sunset.json 174.56  -2.00 2025-07-23T23:27:36.023 19:27 19:27   59.74      1.0      5.19    12.00    17.19 /Users/arest/observing/decat_pointings/json_files/2025A/kleyna/250723/2_Kleyna2025-07-23_sunset.json
      4  kleyna         0     40    1.84     65.8    3_Kleyna2025-07-23_sunset.json 174.56  -2.00 2025-07-23T23:44:47.449 19:44 19:44    0.00      0.0      0.00    12.00    12.00 /Users/arest/observing/decat_pointings/json_files/2025A/kleyna/250723/3_Kleyna2025-07-23_sunset.json
      5  kleyna         0     50    1.97     65.6    4_Kleyna2025-07-23_sunset.json 174.56  -2.00 2025-07-23T23:56:47.449 19:56 19:56    0.00      0.0      0.00    12.00    12.00 /Users/arest/observing/decat_pointings/json_files/2025A/kleyna/250723/4_Kleyna2025-07-23_sunset.json
     56  debass         0     60    1.28     88.9                   2025pjt_P1.json 195.94 -12.02 2025-07-24T00:08:47.449 20:08 20:08   23.44      0.0      0.86     2.25     3.11                /Users/arest/observing/decat_pointings/json_files/2025A/debass/250723/2025pjt_P1.json
     59  debass         0     70    1.29     94.3                   2025pxk_P1.json 208.18   0.35 2025-07-24T00:11:54.011 20:11 20:11   17.34      0.0      0.64     2.25     2.89                /Users/arest/observing/decat_pointings/json_files/2025A/debass/250723/2025pxk_P1.json
     31  desirt         1     90    1.27     99.6               DESIRT_G15_i_1.json 213.64  -0.95 2025-07-24T00:35:08.298 20:35 20:35    4.07      0.0      0.15     9.17     9.32          /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/1/DESIRT_G15_i_1.json
     22  desirt         0    100    1.30     99.5               DESIRT_G15_r_1.json 213.64  -0.95 2025-07-24T00:44:27.253 20:44 20:44    0.00      0.0      0.00     8.33     8.33            /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/DESIRT_G15_r_1.json
     23  desirt         0    110    1.28    102.9               DESIRT_G15_r_2.json 217.73  -0.64 2025-07-24T00:52:47.253 20:52 20:52    4.10      0.0      0.15     8.33     8.48            /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/DESIRT_G15_r_2.json
     32  desirt         1    120    1.31    102.8               DESIRT_G15_i_2.json 217.73  -0.64 2025-07-24T01:01:16.271 21:01 21:01    0.00      0.0      0.00     9.17     9.17          /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/1/DESIRT_G15_i_2.json
     21  desirt         0     80    1.20    103.4                 DESIRT_G15_g.json 217.71  -0.86 2025-07-24T00:14:47.158 20:14 20:14    9.61      0.0      0.35    20.00    20.35              /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/DESIRT_G15_g.json
     24  desirt         0    130    1.28    106.5               DESIRT_G15_r_3.json 221.76  -0.97 2025-07-24T01:10:26.271 21:10 21:10    4.05      0.0      0.15     8.33     8.48            /Users/arest/observing/decat_pointings/json_files/2025A/desirt/250723/DESIRT_G15_r_3.json
     37     yse         0    140    1.20    110.4                          376.json 222.21  -9.14 2025-07-24T01:18:55.174 21:18 21:18    8.18      0.0      0.30    16.00    16.30                          /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/376.json
     39     yse         0    150    1.27    112.2                          428.json 228.14  -1.49 2025-07-24T01:35:13.174 21:35 21:35    9.66      0.0      0.35    16.00    16.35                          /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/428.json
     64  debass         0    160    1.32    117.6                   2025rcl_P1.json 238.88   5.85 2025-07-24T01:51:34.422 21:51 21:51   13.00      0.0      0.48     2.25     2.73                /Users/arest/observing/decat_pointings/json_files/2025A/debass/250723/2025rcl_P1.json
     68  debass         1    170    1.12    128.1                   2025odr_P2.json 242.14  -9.49 2025-07-24T01:54:18.016 21:54 21:54   15.68      0.0      0.58     3.00     3.58              /Users/arest/observing/decat_pointings/json_files/2025A/debass/250723/1/2025odr_P2.json
     46  defsus         0    180    1.00    153.8                   1_defsus_N.json 265.05 -26.70 2025-07-24T01:57:52.521 21:57 21:57   27.66      0.0      1.01    12.00    13.01                /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250723/1_defsus_N.json
     47  defsus         0    190    1.00    156.6                   1_defsus_S.json 268.32 -30.60 2025-07-24T02:10:53.372 22:10 22:10    4.84      0.0      0.18    21.00    21.18                /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250723/1_defsus_S.json
     48  defsus         0    200    1.00    153.5                   2_defsus_N.json 265.05 -26.70 2025-07-24T02:32:04.020 22:32 22:32    4.84      0.0      0.18    12.00    12.18                /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250723/2_defsus_N.json
     49  defsus         0    210    1.00    156.2                   2_defsus_S.json 268.32 -30.60 2025-07-24T02:44:14.668 22:44 22:44    4.84      0.0      0.18    21.00    21.18                /Users/arest/observing/decat_pointings/json_files/2025A/defsus/250723/2_defsus_S.json
     84     yse         2    220    1.14    166.0                      2023jnj.json 310.60 -27.41 2025-07-24T03:05:25.316 23:05 23:05   36.90      0.0      1.35     4.00     5.35                    /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/2/2023jnj.json
     61  debass         0    230    1.13    166.4                   2025qfr_P1.json 310.24 -25.82 2025-07-24T03:10:46.505 23:10 23:10    1.62      0.0      0.06     2.25     2.31                /Users/arest/observing/decat_pointings/json_files/2025A/debass/250723/2025qfr_P1.json
     89     yse         2    240    1.13    166.5                      2023nup.json 309.54 -22.68 2025-07-24T03:13:05.069 23:13 23:13    3.21      0.0      0.12     4.00     4.12                    /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/2/2023nup.json
     70     yse         2    250    1.14    164.6                      2021jvf.json 311.15 -21.10 2025-07-24T03:17:12.125 23:17 23:17    2.17      0.0      0.08     4.00     4.08                    /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/2/2021jvf.json
     82     yse         2    260    1.19    159.5                      2023fdk.json 317.50 -23.02 2025-07-24T03:21:16.907 23:21 23:21    6.19      0.0      0.23     4.00     4.23                    /Users/arest/observing/decat_pointings/json_files/2025A/yse/250723/2/2023fdk.json
