UT -14 deg twilight: 2025-09-07T23:32:39.628 2025-09-08T09:48:53.778
UT middle of the night: 2025-09-08T04:40:46.703

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/07/2025,   20:32:39 to 06:48:53
timezone ET: America/New_YorkET  -14 deg twilight: 09/07/2025,   19:32:39 to 05:48:53
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/07/2025,   16:32:39 to 02:48:53
CLT middle of the night: 01:40:46
ET  middle of the night: 00:40:46
PT  middle of the night: 21:40:46


UT -14 deg twilight: 2025-09-07T23:32:39.628 2025-09-08T09:48:53.778
UT middle of the night: 2025-09-08T04:40:46.703

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/07/2025,   20:32:39 to 06:48:53
timezone ET: America/New_YorkET  -14 deg twilight: 09/07/2025,   19:32:39 to 05:48:53
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/07/2025,   16:32:39 to 02:48:53
CLT middle of the night: 01:40:46
ET  middle of the night: 00:40:46
PT  middle of the night: 21:40:46



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                      json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     11     yse         0     10    1.80     40.5                    2025oxy.json 316.96  18.24 2025-09-08T04:40:46.703 01:40 00:40    0.00      0.0      0.00     2.50     2.50
     12     yse         0     20    2.30     38.8                    2025rbs.json 339.07  33.68 2025-09-08T04:43:16.703 01:43 00:43   25.08      0.0      0.92     1.75     2.67
     13     yse         0     30    1.89     32.2                    2025shi.json 342.17  27.67 2025-09-08T04:45:56.870 01:45 00:45    6.58      0.0      0.24     1.67     1.91
     18     yse         0     40    1.51     33.2                        544.json 321.80  11.20 2025-09-08T04:47:51.340 01:47 00:47   25.23      0.0      0.93    16.00    16.93
     17     yse         0     50    1.31     23.0                        494.json 330.14   3.87 2025-09-08T05:04:46.853 02:04 01:04   11.04      0.0      0.40     6.67     7.07
     15     yse         0     60    1.02     32.5                    2025tqb.json 342.65 -34.29 2025-09-08T05:11:51.149 02:11 01:11   39.94      1.0      4.46     1.33     5.80
     19     yse         0     70    1.05     43.7                        ELA.json   9.45 -43.98 2025-09-08T05:17:39.020 02:17 01:17   22.80      0.0      0.84    10.67    11.50
     37     eta         0     80    1.37     70.8                        smc.json  13.59 -72.51 2025-09-08T05:29:09.173 02:29 01:29   28.59      0.0      1.05    11.33    12.38
     24  debass         0     90    1.05     43.0                 2025vlw_P1.json  22.08 -36.09 2025-09-08T05:41:32.078 02:41 01:41   36.67      0.0      1.34     3.00     4.34
     34  desirt         1    100    1.06     32.3           DESIRT_20-20-1_r.json  20.77 -19.59 2025-09-08T05:45:52.761 02:45 01:45   16.54      1.0      3.61     8.33    11.94
     31  desirt         0    110    1.04     32.3           DESIRT_20-20-1_z.json  20.77 -19.59 2025-09-08T05:57:49.139 02:57 01:57    0.00      0.0      0.00    10.83    10.83
      0  desirt         0    120    1.03     32.2           DESIRT_20-20-1_i.json  20.77 -19.59 2025-09-08T06:08:39.139 03:08 02:08    0.00      0.0      0.00     9.17     9.17
      2  desirt         0    130    1.03     36.7           DESIRT_20-20-2_i.json  24.72 -22.23 2025-09-08T06:17:49.139 03:17 02:17    4.54      0.0      0.17     9.17     9.33
     32  desirt         0    140    1.02     36.6           DESIRT_20-20-2_z.json  24.72 -22.23 2025-09-08T06:27:09.117 03:27 02:27    0.00      0.0      0.00    10.83    10.83
     35  desirt         1    150    1.02     36.6           DESIRT_20-20-2_r.json  24.72 -22.23 2025-09-08T06:37:59.117 03:37 02:37    0.00      0.0      0.00     8.33     8.33
      4  desirt         0    160    1.03     33.8           DESIRT_20-20-3_i.json  24.05 -17.09 2025-09-08T06:46:19.117 03:46 02:46    5.18      0.0      0.19     9.17     9.36
     33  desirt         0    170    1.03     33.7           DESIRT_20-20-3_z.json  24.05 -17.09 2025-09-08T06:55:40.512 03:55 02:55    0.00      0.0      0.00    10.83    10.83
     36  desirt         1    180    1.03     33.7           DESIRT_20-20-3_r.json  24.05 -17.09 2025-09-08T07:06:30.512 04:06 03:06    0.00      0.0      0.00     8.33     8.33
     23     yse         0    190    1.12     42.3                        XMM.json  35.57  -4.78 2025-09-08T07:14:50.512 04:14 03:14   16.70      0.0      0.61    10.67    11.28
     29  debass         0    200    1.06     43.2                 2025wys_P1.json  35.99 -11.36 2025-09-08T07:26:07.254 04:26 03:26    6.59      0.0      0.24     1.50     1.74
     21     yse         0    210    1.07     62.3                     XECDFS.json  52.98 -28.08 2025-09-08T07:27:51.749 04:27 03:27   23.08      0.0      0.85    16.00    16.85
     14     yse         0    220    1.08     67.3                    2025tis.json  58.84 -28.07 2025-09-08T07:44:42.527 04:44 03:44    5.17      0.0      0.19     2.20     2.39
     16     yse         0    230    1.10     68.9                        253.json  61.28 -24.71 2025-09-08T07:47:05.907 04:47 03:47    4.01      0.0      0.15    24.00    24.15
     22     yse         0    240    1.10     73.6                      XEDFS.json  61.25 -48.42 2025-09-08T08:11:14.737 05:11 04:11   23.71      1.0      3.87    32.00    35.87
     38     lmc         0    250    1.37     86.8 2024B-261264_LMCMira_Ngeow.json  80.27 -69.57 2025-09-08T08:47:06.906 05:47 04:47   23.08      0.0      0.85    16.25    17.10
     30     eta         0    260    1.33     86.3                  lmc.30min.json  78.86 -68.77 2025-09-08T09:04:12.676 06:04 05:04    0.95      0.0      0.03    28.33    28.37
     27  debass         0    270    1.10     90.5                 2025wsi_P1.json  86.75 -42.92 2025-09-08T09:32:34.760 06:32 05:32   26.18      0.0      0.96     2.25     3.21
     28  debass         0    280    1.38     99.6                 2025wty_P1.json 108.16 -61.09 2025-09-08T09:35:47.345 06:35 05:35   22.22      0.0      0.81     2.25     3.06
     25  debass         0    290    1.28     78.7                 2025wnt_P1.json  72.91   7.22 2025-09-08T09:38:51.238 06:38 05:38   73.64      1.0      5.70     3.00     8.70

#####################
### EXTRA TARGETS:
#####################
 jsonID program  priority  order airmass sep_moon      json_short     ra    dec  UT CLT  ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     20     yse         0     -1     NaN      NaN       XCOS.json 150.11   2.27 NaN NaN NaN     NaN      0.0       NaN    16.00      NaN
     26  debass         0     -1     NaN      NaN 2025wrd_P1.json 193.66 -45.86 NaN NaN NaN     NaN      0.0       NaN     4.67      NaN
