 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                        json_filename
      0     twi         0     10    1.82     25.9 SheppardTwilightSep27evening.json 223.38 -19.08 2025-09-27T23:17:17.053 20:17 19:17    0.00      0.0      0.00    26.70    26.70 /Users/arest/observing/decat_pointings/json_files/2025B/twi/250927/SheppardTwilightSep27evening.json
     31  debass         0     20    1.25     61.8                   2025yhm_P1.json 304.85   4.98 2025-09-27T23:43:59.053 20:43 19:43   83.61      0.0      3.07     3.00     6.07                /Users/arest/observing/decat_pointings/json_files/2025B/debass/250927/2025yhm_P1.json
     21     yse         0     30    1.20     65.8                          440.json 314.29  -2.48 2025-09-27T23:50:02.988 20:50 19:50   12.02      0.0      0.44    16.00    16.44                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/250927/440.json
      3  desirt         0     40    1.12     64.6               DESIRT_315_g_1.json 316.91  -9.83 2025-09-28T00:06:29.436 21:06 20:06    7.80      0.0      0.29     6.67     6.95            /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/DESIRT_315_g_1.json
      9  desirt         1     50    1.11     64.5               DESIRT_315_i_1.json 316.91  -9.83 2025-09-28T00:13:26.597 21:13 20:13    0.00      0.0      0.00     9.17     9.17          /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/1/DESIRT_315_i_1.json
     12  desirt         2     60    1.10     64.5               DESIRT_315_z_1.json 316.91  -9.83 2025-09-28T00:22:36.597 21:22 20:22    0.00      0.0      0.00    10.83    10.83          /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/2/DESIRT_315_z_1.json
     13  desirt         2     70    1.09     67.4               DESIRT_315_z_2.json 321.43 -12.04 2025-09-28T00:33:26.597 21:33 20:33    4.96      0.0      0.18    10.00    10.18          /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/2/DESIRT_315_z_2.json
     10  desirt         1     80    1.08     67.3               DESIRT_315_i_2.json 321.43 -12.04 2025-09-28T00:43:37.512 21:43 20:43    0.00      0.0      0.00     9.17     9.17          /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/1/DESIRT_315_i_2.json
      4  desirt         0     90    1.07     67.3               DESIRT_315_g_2.json 321.43 -12.04 2025-09-28T00:52:47.512 21:52 20:52    0.00      0.0      0.00     6.67     6.67            /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/DESIRT_315_g_2.json
      5  desirt         0    100    1.05     62.7               DESIRT_315_g_3.json 317.09 -13.53 2025-09-28T00:59:27.512 21:59 20:59    4.49      0.0      0.16     6.67     6.83            /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/DESIRT_315_g_3.json
      6  desirt         0    110    1.07     64.1               DESIRT_315_r_1.json 316.91  -9.83 2025-09-28T01:06:17.389 22:06 21:06    3.70      0.0      0.14     8.33     8.47            /Users/arest/observing/decat_pointings/json_files/2025B/desirt/250927/DESIRT_315_r_1.json
