 jsonID program priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]                                                                                        json_filename
      0     twi        0     10    1.82     58.0 SheppardTwilightOct30evening.json 266.44 -11.08 2025-10-30T23:43:15.888 20:43 19:43    0.00       0      0.00    26.70    26.70 /Users/arest/observing/decat_pointings/json_files/2025B/twi/251030/SheppardTwilightOct30evening.json
     21     yse        0     20    2.08     58.1                      2025mmn.json 265.81 -14.86 2025-10-31T00:09:57.888 21:09 20:09    3.83       0      0.14     2.33     2.47                      /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/2025mmn.json
     38  defsus        0     30    1.69     54.7                     defsus_S.json 268.32 -30.60 2025-10-31T00:12:26.309 21:12 20:12   15.91       0      0.58    21.00    21.58                  /Users/arest/observing/decat_pointings/json_files/2025B/defsus/251030/defsus_S.json
     27     yse        0     40    1.39     27.2                          544.json 321.80  11.20 2025-10-31T00:34:01.317 21:34 20:34   66.19       0      2.43    16.00    18.43                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/544.json
     22     yse        0     50    1.87     45.8                      2025shi.json 342.17  27.67 2025-10-31T00:52:26.942 21:52 20:52   25.23       0      0.93     4.00     4.93                      /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/2025shi.json
     26     yse        0     60    1.24     21.2                          494.json 332.94   4.77 2025-10-31T00:57:22.455 21:57 20:57   24.53       0      0.90     8.00     8.90                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/494.json
     29     yse        0     70    1.16     24.3                   GRB251013C.json 345.83  -0.12 2025-10-31T01:06:16.421 22:06 21:06   13.78       0      0.51     2.33     2.84                   /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/GRB251013C.json
     23     yse        0     80    1.08     21.6                      2025vjw.json 347.25  -7.43 2025-10-31T01:09:06.731 22:09 21:09    7.44       0      0.27     2.00     2.27                      /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/2025vjw.json
     25     yse        0     90    1.07     19.2                          393.json 345.62  -9.85 2025-10-31T01:11:23.108 22:11 21:11    2.90       0      0.11     8.00     8.11                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/393.json
     28     yse        0    100    1.07     45.9                          ELA.json   9.45 -43.98 2025-10-31T01:19:29.492 22:19 21:19   39.89       1      4.46    16.00    20.46                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/251030/ELA.json
