 jsonID program  priority  order airmass sep_moon                              json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                                json_filename
     51     twi         0     10    1.43    108.3       SheppardTwilightNov14evening.json 287.50 -39.08 2025-11-14T23:58:18.835 20:58 18:58    0.00      0.0      0.00    26.70    26.70         /Users/arest/observing/decat_pointings/json_files/2025B/twi/251114/SheppardTwilightNov14evening.json
     57   OTHER         0     20    1.33    122.4 obsplan_batch_pointings_g_batch004.json 301.87 -29.01 2025-11-15T00:25:00.835 21:25 19:25   15.56      1.0      3.57    13.00    16.57 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch004.json
     65   OTHER         0     30    1.07    142.9 obsplan_batch_pointings_i_batch004.json 329.47 -29.19 2025-11-15T00:41:35.061 21:41 19:41   24.06      0.0      0.88    13.00    13.88 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch004.json
     62   OTHER         0     40    1.13    166.7 obsplan_batch_pointings_i_batch001.json 342.78  -5.79 2025-11-15T00:55:27.991 21:55 19:55   26.57      0.0      0.97    13.00    13.97 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch001.json
     54   OTHER         0     50    1.14    166.9 obsplan_batch_pointings_g_batch001.json 343.20  -6.11 2025-11-15T01:09:26.448 22:09 20:09    0.52      0.0      0.02    13.00    13.02 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch001.json
     63   OTHER         0     60    1.09    165.3 obsplan_batch_pointings_i_batch002.json 347.12 -13.27 2025-11-15T01:22:27.599 22:22 20:22    8.14      0.0      0.30    13.00    13.30 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch002.json
     55   OTHER         0     70    1.10    164.7 obsplan_batch_pointings_g_batch002.json 347.66 -14.15 2025-11-15T01:35:45.500 22:35 20:35    1.03      0.0      0.04    13.00    13.04 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch002.json
     64   OTHER         0     80    1.08    161.8 obsplan_batch_pointings_i_batch003.json 350.64 -18.42 2025-11-15T01:48:47.758 22:48 20:48    5.14      0.0      0.19    13.00    13.19 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch003.json
     56   OTHER         0     90    1.09    161.2 obsplan_batch_pointings_g_batch003.json 351.18 -19.11 2025-11-15T02:01:59.065 23:01 21:01    0.85      0.0      0.03    13.00    13.03 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch003.json
     40     yse         0    100    1.35    170.0                         GRB251013C.json 345.83  -0.12 2025-11-15T02:15:00.943 23:15 21:15   19.70      0.0      0.72     4.00     4.72                           /Users/arest/observing/decat_pointings/json_files/2025B/yse/251114/GRB251013C.json
     34     yse         0    110    1.25    169.2                            2025vjw.json 347.25  -7.43 2025-11-15T02:19:44.274 23:19 21:19    7.44      0.0      0.27     3.33     3.61                              /Users/arest/observing/decat_pointings/json_files/2025B/yse/251114/2025vjw.json
     66   OTHER         0    120    1.03    143.5 obsplan_batch_pointings_i_batch005.json   4.57 -36.39 2025-11-15T02:23:20.651 23:23 21:23   32.98      1.0      4.21    13.00    17.21 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch005.json
     58   OTHER         0    130    1.05    143.1 obsplan_batch_pointings_g_batch005.json   4.55 -36.79 2025-11-15T02:40:33.214 23:40 21:40    0.40      0.0      0.01    13.00    13.01 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch005.json
     59   OTHER         0    140    1.04    134.0 obsplan_batch_pointings_g_batch006.json  14.21 -43.73 2025-11-15T02:53:34.096 23:53 21:53   10.11      0.0      0.37    13.00    13.37 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch006.json
     67   OTHER         0    150    1.05    134.0 obsplan_batch_pointings_i_batch006.json  14.21 -43.73 2025-11-15T03:06:56.349 00:06 22:06    0.00      0.0      0.00    13.00    13.00 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch006.json
     68   OTHER         0    160    1.07    120.9 obsplan_batch_pointings_i_batch007.json  31.96 -51.47 2025-11-15T03:19:56.349 00:19 22:19   14.20      0.0      0.52     9.00     9.52 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch007.json
     60   OTHER         0    170    1.07    121.0 obsplan_batch_pointings_g_batch007.json  32.04 -51.36 2025-11-15T03:29:27.584 00:29 22:29    0.13      0.0      0.00     9.00     9.00 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch007.json
     69   OTHER         0    180    1.22     97.4 obsplan_batch_pointings_i_batch008.json  74.83 -52.70 2025-11-15T03:38:27.862 00:38 22:38   25.97      0.0      0.95     3.00     3.95 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_i_batch008.json
     61   OTHER         0    190    1.21     97.4 obsplan_batch_pointings_g_batch008.json  74.92 -52.64 2025-11-15T03:42:24.996 00:42 22:42    0.09      0.0      0.00     3.00     3.00 /Users/arest/observing/decat_pointings/json_files/2025B/OTHER/251114/obsplan_batch_pointings_g_batch008.json
      0  desirt         0    200    1.07    149.5                   DESIRT_20-20-1_g.json  20.77 -19.59 2025-11-15T03:45:25.184 00:45 22:45   53.03      1.0      4.94     6.67    11.61                  /Users/arest/observing/decat_pointings/json_files/2025B/desirt/251114/DESIRT_20-20-1_g.json
     52  desirt         0    210    1.07    146.8                    DESIRT_2025abcr.json  26.65 -15.37 2025-11-15T03:57:01.861 00:57 22:57    7.02      0.0      0.26     5.50     5.76                   /Users/arest/observing/decat_pointings/json_files/2025B/desirt/251114/DESIRT_2025abcr.json
     27     yse         0    220    1.08    146.8                           2025abcr.json  26.73 -15.28 2025-11-15T04:02:47.305 01:02 23:02    0.12      0.0      0.00     4.67     4.67                             /Users/arest/observing/decat_pointings/json_files/2025B/yse/251114/2025abcr.json
     28     yse         0    240    1.05    129.0                           2025abov.json  46.73 -11.90 2025-11-15T04:07:27.559 01:07 23:07   19.73      0.0      0.72     1.75     2.47                             /Users/arest/observing/decat_pointings/json_files/2025B/yse/251114/2025abov.json
     35     yse         0    250    1.03    113.1                                253.json  61.28 -24.71 2025-11-15T04:09:55.955 01:09 23:09   18.81      0.0      0.69     8.00     8.69                                  /Users/arest/observing/decat_pointings/json_files/2025B/yse/251114/253.json
