UT -14 deg twilight: 2025-12-11T00:50:02.755 2025-12-11T08:22:45.889
UT middle of the night: 2025-12-11T04:36:24.322

timezone CLT: America/SantiagoCLT -14 deg twilight: 12/10/2025,   21:50:02 to 05:22:45
timezone ET: America/New_YorkET  -14 deg twilight: 12/10/2025,   19:50:02 to 03:22:45
timezone PT: America/Los_AngelesPT  -14 deg twilight: 12/10/2025,   16:50:02 to 00:22:45
CLT middle of the night: 01:36:24
ET  middle of the night: 23:36:24
PT  middle of the night: 20:36:24



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
      1     yse         0     10    1.53    136.2                      2025abcr.json  26.73 -15.28 2025-12-11T04:36:24.322 01:36 23:36    0.00      0.0      0.00     4.67     4.67
      2     yse         0     20    1.22    116.8                      2025abov.json  46.73 -11.90 2025-12-11T04:41:04.322 01:41 23:41   19.73      0.0      0.72     2.67     3.39
     10     yse         0     30    1.09    110.9                        XECDFS.json  52.98 -28.08 2025-12-11T04:44:27.718 01:44 23:44   17.21      0.0      0.63    10.67    11.30
     19  desirt         0     40    1.05     98.5            DESIRT_80_2025_i_1.json  66.49 -21.30 2025-12-11T04:55:45.576 01:55 23:55   14.01      0.0      0.51     9.17     9.68
     20  desirt         0     50    1.04     94.7            DESIRT_80_2025_i_2.json  70.62 -20.89 2025-12-11T05:05:26.399 02:05 00:05    3.88      0.0      0.14     9.17     9.31
     18  desirt         0     60    1.04     92.8              DESIRT_80_2025_g.json  72.84 -21.19 2025-12-11T05:14:44.930 02:14 00:14    2.09      0.0      0.08    26.67    26.74
     22  desirt         0     70    1.04     87.1            DESIRT_80_2025_i_4.json  79.18 -21.50 2025-12-11T05:41:29.526 02:41 00:41    5.91      0.0      0.22     9.17     9.38
     11     yse         0     80    1.19    103.3                         XEDFS.json  61.25 -48.42 2025-12-11T05:50:52.536 02:50 00:50   30.50      1.0      4.12    21.33    25.45
     32  shadow         0     90    1.25    100.0       Shadow_Dorado_g90_extra.json  66.09 -56.96 2025-12-11T06:16:19.634 03:16 01:16    9.02      0.0      0.33    10.00    10.33
     33  shadow         0    100    1.28    100.0       Shadow_Dorado_r90_extra.json  66.09 -56.96 2025-12-11T06:26:39.485 03:26 01:26    0.00      0.0      0.00    10.00    10.00
     13     eta         0    110    1.40     67.9       etale.ec0814.griz.11min.json 158.03 -60.69 2025-12-11T06:36:39.485 03:36 01:36   43.79      0.0      1.61    10.33    11.94
     14     eta         0    120    1.39     66.7       etale.ec0915.griz.11min.json 161.26 -59.68 2025-12-11T06:48:35.817 03:48 01:48    1.89      0.0      0.07    10.33    10.40
     36     eta         1    130    1.37     66.6                 etale.r.17min.json 161.26 -59.68 2025-12-11T06:58:59.985 03:58 01:58    0.00      0.0      0.00    15.17    15.17
     38    dosc         0    140    1.37     32.0 2_OMLApex.251210_z_20-dithpos.json 166.68 -24.98 2025-12-11T07:14:09.985 04:14 02:14   34.91      1.0      4.28    30.00    34.28
     37    dosc         0    150    1.23     31.8 1_OMLApex.251210_i_17-dithpos.json 166.68 -24.98 2025-12-11T07:48:26.786 04:48 02:48    0.00      0.0      0.00    25.50    25.50
      9     yse         0    160    1.24     14.9                          XCOS.json 150.11   2.27 2025-12-11T08:13:56.786 05:13 03:13   31.64      0.0      1.16    10.67    11.83

#####################
### EXTRA TARGETS:
#####################
 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec  UT CLT  ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
      7     yse         0     -1     NaN      NaN                          ELA.json   9.45 -43.98 NaN NaN NaN     NaN      0.0       NaN    10.67      NaN
     12     yse         0     -1     NaN      NaN                          XMM.json  35.57  -4.78 NaN NaN NaN     NaN      0.0       NaN    10.67      NaN
     35  shadow         0     -1     NaN      NaN            Shadow_Fornax_r90.json  54.54 -34.55 NaN NaN NaN     NaN      1.0       NaN    30.00      NaN
     34  shadow         0     -1     NaN      NaN      Shadow_Fornax_g90_extra.json  54.54 -34.55 NaN NaN NaN     NaN      0.0       NaN    30.00      NaN
      4     yse         0     -1     NaN      NaN                      2025tis.json  58.84 -28.07 NaN NaN NaN     NaN      0.0       NaN     2.33      NaN
     28  desirt         2     -1     NaN      NaN           DESIRT_80_2025_z_1.json  66.49 -21.30 NaN NaN NaN     NaN      0.0       NaN    10.83      NaN
     24  desirt         1     -1     NaN      NaN           DESIRT_80_2025_r_1.json  66.49 -21.30 NaN NaN NaN     NaN      0.0       NaN     8.33      NaN
      0     yse         0     -1     NaN      NaN                     2025aarm.json  68.05  -5.29 NaN NaN NaN     NaN      0.0       NaN     2.67      NaN
     25  desirt         1     -1     NaN      NaN           DESIRT_80_2025_r_2.json  70.62 -20.89 NaN NaN NaN     NaN      0.0       NaN     8.33      NaN
     29  desirt         2     -1     NaN      NaN           DESIRT_80_2025_z_2.json  70.62 -20.89 NaN NaN NaN     NaN      0.0       NaN    10.83      NaN
     23  desirt         0     -1     NaN      NaN                DESIRT_Potato.json  74.20 -11.73 NaN NaN NaN     NaN      0.0       NaN    13.50      NaN
