 jsonID program  priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                          json_filename
      5     yse         0     10    1.47    147.9                      2025aarm.json  68.05  -5.29 2026-01-14T04:32:17.776 01:32 23:32    0.00      0.0      0.00     2.67     2.67                       /Users/arest/observing/decat_pointings/json_files/2025B/yse/260113/2025aarm.json
     10     yse         0     20    1.43    126.4                       2025tis.json  58.84 -28.07 2026-01-14T04:34:57.776 01:34 23:34   24.40      0.0      0.89     3.33     4.23                        /Users/arest/observing/decat_pointings/json_files/2025B/yse/260113/2025tis.json
     28  shadow         0     30    1.52    118.6           Shadow_Fornax_r90_1.json  53.80 -35.64 2026-01-14T04:39:11.460 01:39 23:39    8.69      1.0      3.32    10.00    13.32         /Users/arest/observing/decat_pointings/json_files/2025B/shadow/260113/Shadow_Fornax_r90_1.json
     27  shadow         0     40    1.60    118.6           Shadow_Fornax_g90_1.json  53.80 -35.64 2026-01-14T04:52:30.573 01:52 23:52    0.00      0.0      0.00    10.00    10.00         /Users/arest/observing/decat_pointings/json_files/2025B/shadow/260113/Shadow_Fornax_g90_1.json
     14     yse         0     50    1.45    105.9                         XEDFS.json  61.25 -48.42 2026-01-14T05:02:30.573 02:02 00:02   13.91      0.0      0.51    21.33    21.84                          /Users/arest/observing/decat_pointings/json_files/2025B/yse/260113/XEDFS.json
     26  shadow         0     60    1.48     97.2       Shadow_Dorado_r90_extra.json  66.09 -56.96 2026-01-14T05:24:21.182 02:24 00:24    9.02      0.0      0.33    10.00    10.33     /Users/arest/observing/decat_pointings/json_files/2025B/shadow/260113/Shadow_Dorado_r90_extra.json
     25  shadow         0     70    1.53     97.2       Shadow_Dorado_g90_extra.json  66.09 -56.96 2026-01-14T05:34:41.033 02:34 00:34    0.00      0.0      0.00    10.00    10.00     /Users/arest/observing/decat_pointings/json_files/2025B/shadow/260113/Shadow_Dorado_g90_extra.json
      7     yse         0     80    1.69    106.4                      2025ahkt.json 141.42  22.42 2026-01-14T05:44:41.033 02:44 00:44  101.08      1.0      6.71     2.67     9.37                       /Users/arest/observing/decat_pointings/json_files/2025B/yse/260113/2025ahkt.json
     17     yse         1     90    1.25     90.5                          XCOS.json 150.11   2.27 2026-01-14T05:54:03.404 02:54 00:54   21.85      0.0      0.80    10.67    11.47                         /Users/arest/observing/decat_pointings/json_files/2025B/yse/260113/1/XCOS.json
      0     agn         0    100    1.23     90.7                        COSMOS.json 150.00   2.20 2026-01-14T06:05:31.465 03:05 01:05    0.13      0.0      0.00    33.00    33.00                         /Users/arest/observing/decat_pointings/json_files/2025B/agn/260113/COSMOS.json
     22  desirt         0    110    1.18     77.5             DESIRT_165_2026_g.json 162.17  -3.50 2026-01-14T06:38:31.752 03:38 01:38   13.43      0.0      0.49    12.00    12.49           /Users/arest/observing/decat_pointings/json_files/2025B/desirt/260113/DESIRT_165_2026_g.json
     23  desirt         0    120    1.16     77.6             DESIRT_165_2026_r.json 162.17  -3.50 2026-01-14T06:51:01.295 03:51 01:51    0.00      0.0      0.00    15.00    15.00           /Users/arest/observing/decat_pointings/json_files/2025B/desirt/260113/DESIRT_165_2026_r.json
      2    dosc         0    130    1.04     65.5 1_OMLApex.260113_i_12-dithpos.json 166.68 -24.98 2026-01-14T07:06:01.295 04:06 02:06   21.92      0.0      0.80    30.00    30.80 /Users/arest/observing/decat_pointings/json_files/2025B/dosc/260113/1_OMLApex.260113_i_12-dithpos.json
