UT -14 deg twilight: 2026-01-28T00:52:26.680 2026-01-28T09:00:05.496
UT middle of the night: 2026-01-28T04:56:16.088

timezone CLT: America/SantiagoCLT -14 deg twilight: 01/27/2026,   21:52:26 to 06:00:05
timezone ET: America/New_YorkET  -14 deg twilight: 01/27/2026,   19:52:26 to 04:00:05
timezone PT: America/Los_AngelesPT  -14 deg twilight: 01/27/2026,   16:52:26 to 01:00:05
CLT middle of the night: 01:56:16
ET  middle of the night: 23:56:16
PT  middle of the night: 20:56:16


UT -14 deg twilight: 2026-01-28T00:52:26.680 2026-01-28T09:00:05.496
UT middle of the night: 2026-01-28T04:56:16.088

timezone CLT: America/SantiagoCLT -14 deg twilight: 01/27/2026,   21:52:26 to 06:00:05
timezone ET: America/New_YorkET  -14 deg twilight: 01/27/2026,   19:52:26 to 04:00:05
timezone PT: America/Los_AngelesPT  -14 deg twilight: 01/27/2026,   16:52:26 to 01:00:05
CLT middle of the night: 01:56:16
ET  middle of the night: 23:56:16
PT  middle of the night: 20:56:16



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                             json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     22     yse         0     10    2.51     57.7                          2025ahnj.json   5.91  -1.37 2026-01-28T00:52:26.680 21:52 19:52    0.00      0.0      0.00     2.67     2.67
     24     yse         0     20    1.53     83.0                               ELA.json   9.45 -43.98 2026-01-28T00:55:06.680 21:55 19:55   42.72      1.0      4.57    10.67    15.23
     12  desirt         1     30    1.43     51.7                   DESIRT_2025abcr.json  26.65 -15.37 2026-01-28T01:10:20.673 22:10 20:10   32.13      1.0      4.18     5.50     9.68
     21     yse         0     40    1.48     51.7                          2025abcr.json  26.73 -15.28 2026-01-28T01:20:01.352 22:20 20:20    0.12      0.0      0.00     3.50     3.50
     23     yse         0     50    1.04     50.4                               253.json  61.28 -24.71 2026-01-28T01:23:31.606 22:23 20:23   33.71      0.0      1.24    16.00    17.24
     26     yse         0     60    1.10     54.1                            XECDFS.json  52.98 -28.08 2026-01-28T01:40:45.759 22:40 20:40    8.17      0.0      0.30    10.67    10.97
     33  shadow         0     70    1.11     61.6               Shadow_Fornax_r90_1.json  53.80 -35.64 2026-01-28T01:51:43.724 22:51 20:51    7.59      1.0      3.28    10.00    13.28
     39  shadow         1     80    1.14     61.5               Shadow_Fornax_r90_2.json  53.34 -35.47 2026-01-28T02:05:00.418 23:05 21:05    0.41      0.0      0.02    10.00    10.02
     41  shadow         2     90    1.14     58.4               Shadow_Fornax_r90_3.json  56.49 -32.55 2026-01-28T02:15:01.326 23:15 21:15    3.91      0.0      0.14    10.00    10.14
     32  shadow         0    100    1.19     61.7               Shadow_Fornax_g90_1.json  53.80 -35.64 2026-01-28T02:25:09.939 23:25 21:25    3.80      0.0      0.14    10.00    10.14
     38  shadow         1    110    1.23     61.6               Shadow_Fornax_g90_2.json  53.34 -35.47 2026-01-28T02:35:18.296 23:35 21:35    0.41      0.0      0.02    10.00    10.02
     40  shadow         2    120    1.22     58.5               Shadow_Fornax_g90_3.json  56.49 -32.55 2026-01-28T02:45:19.204 23:45 21:45    3.91      0.0      0.14    10.00    10.14
     27     yse         0    130    1.22     74.3                             XEDFS.json  61.25 -48.42 2026-01-28T02:55:27.817 23:55 21:55   16.27      0.0      0.60    21.33    21.93
     36  shadow         1    140    1.28     83.0           Shadow_Dorado_g90_extra.json  66.09 -56.96 2026-01-28T03:17:23.602 00:17 22:17    9.02      0.0      0.33    10.00    10.33
     37  shadow         1    150    1.30     83.0           Shadow_Dorado_r90_extra.json  66.09 -56.96 2026-01-28T03:27:43.453 00:27 22:27    0.00      0.0      0.00    10.00    10.00
      8  desirt         0    160    1.32     47.6                DESIRT_80_2025_i_1.json  66.49 -21.30 2026-01-28T03:37:43.453 00:37 22:37   35.66      1.0      4.31     9.17    13.47
     10  desirt         0    170    1.38     47.6                DESIRT_80_2025_z_1.json  66.49 -21.30 2026-01-28T03:51:11.913 00:51 22:51    0.00      0.0      0.00    10.83    10.83
      9  desirt         0    180    1.36     47.9                DESIRT_80_2025_i_2.json  70.62 -20.89 2026-01-28T04:02:01.913 01:02 23:02    3.88      0.0      0.14     9.17     9.31
     11  desirt         0    190    1.40     47.9                DESIRT_80_2025_z_2.json  70.62 -20.89 2026-01-28T04:11:20.444 01:11 23:11    0.00      0.0      0.00    10.83    10.83
     13  desirt         1    200    1.37     49.1                DESIRT_80_2025_i_3.json  75.06 -21.09 2026-01-28T04:22:10.444 01:22 23:22    4.15      0.0      0.15     9.17     9.32
