 jsonID program  priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                          json_filename
     19     yse         0     10    1.20     72.9                        XECDFS.json  52.98 -28.08 2026-02-27T00:22:35.121 21:22 19:22    0.00        0      0.00    10.67    10.67                         /Users/arest/observing/decat_pointings/json_files/2026A/yse/260226/XECDFS.json
     20     yse         0     20    1.17     84.3                         XEDFS.json  61.25 -48.42 2026-02-27T00:33:15.121 21:33 19:33   21.32        1      3.78    21.33    25.12                          /Users/arest/observing/decat_pointings/json_files/2026A/yse/260226/XEDFS.json
      5  desirt         0     30    1.17     60.0            DESIRT_80_2025_i_1.json  66.49 -21.30 2026-02-27T00:58:22.028 21:58 19:58   27.45        1      4.01     9.17    13.17          /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260226/DESIRT_80_2025_i_1.json
      6  desirt         0     40    1.17     57.5            DESIRT_80_2025_i_2.json  70.62 -20.89 2026-02-27T01:11:32.410 22:11 20:11    3.88        0      0.14     9.17     9.31          /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260226/DESIRT_80_2025_i_2.json
      8  desirt         0     50    1.24     60.1            DESIRT_80_2025_r_1.json  66.49 -21.30 2026-02-27T01:20:50.941 22:20 20:20    3.88        0      0.14     8.33     8.48          /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260226/DESIRT_80_2025_r_1.json
      9  desirt         0     60    1.22     57.5            DESIRT_80_2025_r_2.json  70.62 -20.89 2026-02-27T01:29:19.472 22:29 20:29    3.88        0      0.14     8.33     8.48          /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260226/DESIRT_80_2025_r_2.json
     23  debass         0     70    1.15     32.6                    2026chn_P1.json 118.30  -1.76 2026-02-27T01:37:48.003 22:37 20:37   50.23        0      1.84     3.00     4.84                  /Users/arest/observing/decat_pointings/json_files/2026A/debass/260226/2026chn_P1.json
     29  debass         0     80    1.08     72.7                    2026dgp_P1.json 136.65 -38.23 2026-02-27T01:42:38.513 22:42 20:42   40.15        1      4.47     3.00     7.47                  /Users/arest/observing/decat_pointings/json_files/2026A/debass/260226/2026dgp_P1.json
     14     yse         0     90    1.09     69.7                       2026ayt.json 141.84 -31.92 2026-02-27T01:50:06.849 22:50 20:50    7.60        0      0.28     2.20     2.48                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260226/2026ayt.json
     21     eta         0    100    1.34     98.6       etale.ec0814.griz.11min.json 158.03 -60.69 2026-02-27T01:52:35.577 22:52 20:52   30.67        0      1.12    10.33    11.46        /Users/arest/observing/decat_pointings/json_files/2026A/eta/260226/etale.ec0814.griz.11min.json
