UT -14 deg twilight: 2026-03-08T00:11:30.920 2026-03-08T09:37:00.056
UT middle of the night: 2026-03-08T04:54:15.488

timezone CLT: America/SantiagoCLT -14 deg twilight: 03/07/2026,   21:11:30 to 06:37:00
timezone ET: America/New_YorkET  -14 deg twilight: 03/07/2026,   19:11:30 to 05:37:00
timezone PT: America/Los_AngelesPT  -14 deg twilight: 03/07/2026,   16:11:30 to 01:37:00
CLT middle of the night: 01:54:15
ET  middle of the night: 23:54:15
PT  middle of the night: 20:54:15


UT -14 deg twilight: 2026-03-08T00:11:30.920 2026-03-08T09:37:00.056
UT middle of the night: 2026-03-08T04:54:15.488

timezone CLT: America/SantiagoCLT -14 deg twilight: 03/07/2026,   21:11:30 to 06:37:00
timezone ET: America/New_YorkET  -14 deg twilight: 03/07/2026,   19:11:30 to 05:37:00
timezone PT: America/Los_AngelesPT  -14 deg twilight: 03/07/2026,   16:11:30 to 01:37:00
CLT middle of the night: 01:54:15
ET  middle of the night: 23:54:15
PT  middle of the night: 20:54:15



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     14  debass         0     10    1.41     80.7                    2026chr_P1.json 140.43   5.94 2026-03-08T04:54:15.488 01:54 23:54    0.00      0.0      0.00     3.00     3.00
     20  debass         1     20    1.52     82.9                    2026efq_P2.json 139.51   9.38 2026-03-08T04:57:15.488 01:57 23:57    3.56      0.0      0.13     1.50     1.63
     21  debass         1     30    1.75     77.2                    2026efx_P2.json 152.36  22.49 2026-03-08T04:58:53.328 01:58 23:58   17.98      0.0      0.66     3.00     3.66
     11     yse         0     40    1.27     70.5                          XCOS.json 150.11   2.27 2026-03-08T05:02:32.895 02:02 00:02   20.34      0.0      0.75    10.67    11.41
     16  debass         0     50    1.23     61.7                    2026cli_P1.json 159.95   2.72 2026-03-08T05:13:57.638 02:13 00:13    9.84      0.0      0.36     1.50     1.86
     18  debass         0     60    1.17     71.5                    2026dgp_P1.json 136.65 -38.23 2026-03-08T05:15:49.288 02:15 00:15   46.27      1.0      4.70     3.00     7.70
      6     yse         0     70    1.14     68.6                       2026ayt.json 141.84 -31.92 2026-03-08T05:23:31.082 02:23 00:23    7.60      0.0      0.28     2.20     2.48
     12     eta         0     80    1.19     58.3       etale.ec0814.griz.11min.json 158.03 -60.69 2026-03-08T05:25:59.810 02:25 00:25   30.67      0.0      1.12    10.33    11.46
     13     eta         0     90    1.18     56.4       etale.ec0915.griz.11min.json 161.26 -59.68 2026-03-08T05:37:27.286 02:37 00:37    1.89      0.0      0.07    10.33    10.40
      7     yse         0    100    1.07     54.8                       2026ayz.json 158.46 -30.93 2026-03-08T05:47:51.454 02:47 00:47   28.82      1.0      4.06     2.20     6.26
