 jsonID program  priority  order airmass sep_moon                             json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                              json_filename
     14  debass         0     10    2.09    133.5                        2026ejr_P1.json 121.21   8.19 2026-03-11T04:53:29.801 01:53 00:53    0.00      0.0      0.00     3.00     3.00                      /Users/arest/observing/decat_pointings/json_files/2026A/debass/260310/2026ejr_P1.json
     13  debass         0     20    1.78    112.3                        2026efx_P1.json 152.36  22.49 2026-03-11T04:56:29.801 01:56 00:56   33.15      0.0      1.22     3.00     4.22                      /Users/arest/observing/decat_pointings/json_files/2026A/debass/260310/2026efx_P1.json
      8     yse         0     30    1.29    105.6                              XCOS.json 150.11   2.27 2026-03-11T05:00:42.736 02:00 01:00   20.34      0.0      0.75    10.67    11.41                               /Users/arest/observing/decat_pointings/json_files/2026A/yse/260310/XCOS.json
      9     eta         0     40    1.19     69.8           etale.ec0814.griz.11min.json 158.03 -60.69 2026-03-11T05:12:07.479 02:12 01:12   63.26      1.0      5.32    10.33    15.65            /Users/arest/observing/decat_pointings/json_files/2026A/eta/260310/etale.ec0814.griz.11min.json
     10     eta         0     50    1.18     68.7           etale.ec0915.griz.11min.json 161.26 -59.68 2026-03-11T05:27:46.648 02:27 01:27    1.89      0.0      0.07    10.33    10.40            /Users/arest/observing/decat_pointings/json_files/2026A/eta/260310/etale.ec0915.griz.11min.json
     12  debass         0     60    1.27     93.3                        2026dgp_P1.json 136.65 -38.23 2026-03-11T05:38:10.816 02:38 01:38   26.54      0.0      0.97     3.00     3.97                      /Users/arest/observing/decat_pointings/json_files/2026A/debass/260310/2026dgp_P1.json
     15  debass         0     70    1.04     79.3                        2026etq_P1.json 167.56 -22.22 2026-03-11T05:42:09.194 02:42 01:42   30.92      1.0      4.13     3.00     7.13                      /Users/arest/observing/decat_pointings/json_files/2026A/debass/260310/2026etq_P1.json
     11  debass         0     80    1.09     83.0                        2026ckh_P1.json 167.48 -14.13 2026-03-11T05:49:17.221 02:49 01:49    8.09      0.0      0.30     3.00     3.30                      /Users/arest/observing/decat_pointings/json_files/2026A/debass/260310/2026ckh_P1.json
      7     yse         0     90    1.33     78.2                               525.json 186.99  11.09 2026-03-11T05:52:35.014 02:52 01:52   31.78      0.0      1.17    32.00    33.17                                /Users/arest/observing/decat_pointings/json_files/2026A/yse/260310/525.json
     18  shadow         0    100    1.29     76.6             Shadow_Virgo_Field8_g.json 187.60   8.44 2026-03-11T06:25:44.941 03:25 02:25    2.72      0.0      0.10     2.00     2.10           /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260310/Shadow_Virgo_Field8_g.json
