UT -14 deg twilight: 2026-03-27T23:46:30.962 2026-03-28T09:50:38.387
UT middle of the night: 2026-03-28T04:48:34.674

timezone CLT: America/SantiagoCLT -14 deg twilight: 03/27/2026,   20:46:30 to 06:50:38
timezone ET: America/New_YorkET  -14 deg twilight: 03/27/2026,   19:46:30 to 05:50:38
timezone PT: America/Los_AngelesPT  -14 deg twilight: 03/27/2026,   16:46:30 to 02:50:38
CLT middle of the night: 01:48:34
ET  middle of the night: 00:48:34
PT  middle of the night: 21:48:34


UT -14 deg twilight: 2026-03-27T23:46:30.962 2026-03-28T09:50:38.387
UT middle of the night: 2026-03-28T04:48:34.674

timezone CLT: America/SantiagoCLT -14 deg twilight: 03/27/2026,   20:46:30 to 06:50:38
timezone ET: America/New_YorkET  -14 deg twilight: 03/27/2026,   19:46:30 to 05:50:38
timezone PT: America/Los_AngelesPT  -14 deg twilight: 03/27/2026,   16:46:30 to 02:50:38
CLT middle of the night: 01:48:34
ET  middle of the night: 00:48:34
PT  middle of the night: 21:48:34



#####################
### OBSPLAN:
#####################
 jsonID program priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi        0     10    1.84     79.2  SheppardTwilightMar27evening.json  50.90  -3.08 2026-03-27T23:19:48.962 20:19 19:19    0.00       0      0.00    26.70    26.70
     25     yse        0     20     NaN     67.1                      2025aarm.json  68.05  -5.29 2026-03-28T04:48:34.674 01:48 00:48   17.24       0      0.63     2.67     3.30
     37     yse        0     30     NaN     81.7                           253.json  61.28 -24.71 2026-03-28T04:51:52.605 01:51 00:51   20.47       0      0.75     8.00     8.75
     29     yse        0     40     NaN     85.3                       2025tis.json  58.84 -28.07 2026-03-28T05:00:37.647 02:00 01:00    4.01       0      0.15     3.33     3.48
     40     yse        0     50     NaN     90.0                        XECDFS.json  52.98 -28.08 2026-03-28T05:04:06.477 02:04 01:04    5.17       0      0.19     5.33     5.52
     41     yse        0     60     NaN     93.1                         XEDFS.json  61.25 -48.42 2026-03-28T05:09:37.857 02:09 01:09   21.32       1      3.78    21.33    25.12
      7  desirt        0     70     NaN     72.6            DESIRT_80_2025_i_2.json  70.62 -20.89 2026-03-28T05:34:44.764 02:34 01:34   28.54       1      4.05     9.17    13.21
      8  desirt        0     80     NaN     69.3            DESIRT_80_2025_i_3.json  75.06 -21.09 2026-03-28T05:47:57.550 02:47 01:47    4.15       0      0.15     9.17     9.32
      9  desirt        0     90     NaN     66.4            DESIRT_80_2025_i_4.json  79.18 -21.50 2026-03-28T05:57:16.672 02:57 01:57    3.86       0      0.14     9.17     9.31
     10  desirt        0    100     NaN     72.8            DESIRT_80_2025_r_2.json  70.62 -20.89 2026-03-28T06:06:35.164 03:06 02:06    8.00       0      0.29     8.33     8.63
