 jsonID program priority  order airmass sep_moon                         json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]                                                                                          json_filename
      0     twi        0     10    1.84    141.4  SheppardTwilightApr02evening.json  56.37  -1.08 2026-04-02T23:12:37.319 20:12 19:12    0.00       0      0.00    26.70    26.70   /Users/arest/observing/decat_pointings/json_files/2026A/twi/260402/SheppardTwilightApr02evening.json
      4     yse        0     20    1.58    129.1                      2025aarm.json  68.05  -5.29 2026-04-02T23:39:19.319 20:39 19:39   12.40       0      0.45     2.67     3.12                       /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2025aarm.json
     15     yse        0     30    1.50    125.3                           253.json  61.28 -24.71 2026-04-02T23:42:26.602 20:42 19:42   20.47       0      0.75     8.00     8.75                            /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/253.json
     20     yse        0     40    1.79    128.5                        XECDFS.json  52.98 -28.08 2026-04-02T23:51:11.644 20:51 19:51    8.17       0      0.30    10.67    10.97                         /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/XECDFS.json
     21     yse        0     50    1.50    109.1                         XEDFS.json  61.25 -48.42 2026-04-03T00:02:09.609 21:02 20:02   21.32       1      3.78    21.33    25.12                          /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/XEDFS.json
     14     yse        0     60    1.27     68.9                       2026hkg.json 135.89 -67.88 2026-04-03T00:27:16.516 21:27 20:27   40.61       0      1.49     2.67     4.16                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2026hkg.json
     22     eta        0     70    1.24     57.1       etale.ec0814.griz.11min.json 158.03 -60.69 2026-04-03T00:31:25.859 21:31 20:31   11.89       0      0.44    10.33    10.77        /Users/arest/observing/decat_pointings/json_files/2026A/eta/260402/etale.ec0814.griz.11min.json
     23     eta        0     80    1.23     55.2       etale.ec0915.griz.11min.json 161.26 -59.68 2026-04-03T00:42:12.019 21:42 20:42    1.89       0      0.07    10.33    10.40        /Users/arest/observing/decat_pointings/json_files/2026A/eta/260402/etale.ec0915.griz.11min.json
      9     yse        0     90    1.67     30.9                       2026bgd.json 200.24 -43.59 2026-04-03T00:52:36.187 21:52 20:52   28.43       0      1.04     2.67     3.71                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2026bgd.json
      7     yse        0    100    1.01     57.0                       2026ayt.json 141.84 -31.92 2026-04-03T00:56:18.731 21:56 20:56   46.63       0      1.71     2.67     4.38                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2026ayt.json
      8     yse        0    110    1.06     42.9                       2026ayz.json 158.46 -30.93 2026-04-03T01:00:41.315 22:00 21:00   14.20       1      3.52     2.67     6.19                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2026ayz.json
     12     yse        0    120    1.14     32.4                       2026gvk.json 169.96 -27.78 2026-04-03T01:06:52.547 22:06 21:06   10.50       0      0.39     2.33     2.72                        /Users/arest/observing/decat_pointings/json_files/2026A/yse/260402/2026gvk.json
