 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                         json_filename
      0     twi         0     10    1.85     47.7 SheppardTwilightMay22evening.json  99.96   4.92 2026-05-22T22:31:51.755 18:31 18:31    0.00        0      0.00    26.70    26.70  /Users/arest/observing/decat_pointings/json_files/2026A/twi/260522/SheppardTwilightMay22evening.json
     13  debass         0     20    1.10     30.6                   2026kuh_P1.json 134.16 -13.61 2026-05-22T22:58:33.755 18:58 18:58   38.67        0      1.42     3.00     4.42                 /Users/arest/observing/decat_pointings/json_files/2026A/debass/260522/2026kuh_P1.json
      6     yse         0     30    1.02     46.1                      2026ayt.json 141.84 -31.92 2026-05-22T23:02:58.835 19:02 19:02   19.62        1      3.72     2.67     6.39                       /Users/arest/observing/decat_pointings/json_files/2026A/yse/260522/2026ayt.json
     11     eta         0     40    1.16     75.0      etale.ec0814.griz.11min.json 158.03 -60.69 2026-05-22T23:09:22.001 19:09 19:09   30.67        0      1.12    10.33    11.46       /Users/arest/observing/decat_pointings/json_files/2026A/eta/260522/etale.ec0814.griz.11min.json
     12     eta         0     50    1.15     74.3      etale.ec0915.griz.11min.json 161.26 -59.68 2026-05-22T23:20:49.477 19:20 19:20    1.89        0      0.07    10.33    10.40       /Users/arest/observing/decat_pointings/json_files/2026A/eta/260522/etale.ec0915.griz.11min.json
     21  debass         0     60    1.10     63.6                   2026lky_P1.json 190.93 -35.16 2026-05-22T23:31:13.645 19:31 19:31   31.16        0      1.14     3.00     4.14                 /Users/arest/observing/decat_pointings/json_files/2026A/debass/260522/2026lky_P1.json
     24  debass         0     70    1.21     67.3                   2026mqo_P1.json 203.02 -27.45 2026-05-22T23:35:22.199 19:35 19:35   12.88        1      3.47     3.00     6.47                 /Users/arest/observing/decat_pointings/json_files/2026A/debass/260522/2026mqo_P1.json
     14  debass         0     80    1.35      5.0                   2026kzy_P1.json 147.79   8.70 2026-05-22T23:41:50.533 19:41 19:41   64.50        0      2.37     3.00     5.37                 /Users/arest/observing/decat_pointings/json_files/2026A/debass/260522/2026kzy_P1.json
     18  debass         0     90    1.35      5.1                   2026lel_P1.json 149.34   8.74 2026-05-22T23:47:12.433 19:47 19:47    1.53        0      0.06     3.00     3.06                 /Users/arest/observing/decat_pointings/json_files/2026A/debass/260522/2026lel_P1.json
      3  desirt         0    100    1.12     22.1            DESIRT_165_2026_i.json 162.17  -3.50 2026-05-22T23:50:15.797 19:50 19:50   17.70        0      0.65    16.50    17.15          /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260522/DESIRT_165_2026_i.json
