 jsonID program  priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                             json_filename
      0     twi         0     10    1.67     28.2     SheppardTwilightJun19evening.json 129.18   0.35 2026-06-19T22:32:01.521 18:32 18:32    0.00      0.0      0.00    24.87    24.87      /Users/arest/observing/decat_pointings/json_files/2026A/twi/260619/SheppardTwilightJun19evening.json
     27     yse         0     20    1.35     31.2                              525.json 187.83  11.77 2026-06-19T22:56:53.521 18:56 18:56   59.30      0.0      2.17     8.00    10.17                               /Users/arest/observing/decat_pointings/json_files/2026A/yse/260619/525.json
     37  shadow         0     30    1.34     33.3     2_Shadow_Virgo_r_2of2_260619.json 190.06  11.40 2026-06-19T23:07:03.979 19:07 19:07    2.22      0.0      0.08    10.00    10.08   /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260619/2_Shadow_Virgo_r_2of2_260619.json
     36  shadow         0     40    1.34     33.2     2_Shadow_Virgo_g_2of2_260619.json 190.06  11.40 2026-06-19T23:17:08.856 19:17 19:17    0.00      0.0      0.00    10.00    10.00   /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260619/2_Shadow_Virgo_g_2of2_260619.json
      9  desirt         0     50    1.32     69.9              DESIRT_G15-1_2026_g.json 224.75  -6.50 2026-06-19T23:27:08.856 19:27 19:27   38.87      0.0      1.43     4.00     5.43            /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/DESIRT_G15-1_2026_g.json
     10  desirt         0     60    1.30     69.9              DESIRT_G15-1_2026_i.json 224.75  -6.50 2026-06-19T23:32:34.371 19:32 19:32    0.00      0.0      0.00     5.50     5.50            /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/DESIRT_G15-1_2026_i.json
      4    dosc         0     70    1.05     69.1 3_ShallowApex.260619_g_3-dithpos.json 213.20 -33.90 2026-06-19T23:38:04.371 19:38 19:38   29.41      1.0      4.08     5.00     9.08 /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260619/3_ShallowApex.260619_g_3-dithpos.json
      6    dosc         0     80    1.04     69.0 5_ShallowApex.260619_i_3-dithpos.json 213.20 -33.90 2026-06-19T23:47:09.073 19:47 19:47    0.00      0.0      0.00     5.00     5.00 /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260619/5_ShallowApex.260619_i_3-dithpos.json
     38     eta         0     90    1.26     69.2             etale.ec0915.gi.7min.json 161.26 -59.68 2026-06-19T23:52:09.073 19:52 19:52   42.29      0.0      1.55     6.00     7.55              /Users/arest/observing/decat_pointings/json_files/2026A/eta/260619/etale.ec0915.gi.7min.json
     31     yse         1     -1     NaN      NaN                              448.json  15.67   3.34                     NaN   NaN   NaN     NaN      0.0       NaN     8.00      NaN                             /Users/arest/observing/decat_pointings/json_files/2026A/yse/260619/1/448.json
     29     yse         1     -1     NaN      NaN                              296.json  18.11 -17.41                     NaN   NaN   NaN     NaN      0.0       NaN     6.67      NaN                             /Users/arest/observing/decat_pointings/json_files/2026A/yse/260619/1/296.json
     33     eta         0     -1     NaN      NaN                          2026nur.json  35.28 -33.61                     NaN   NaN   NaN     NaN      0.0       NaN     2.33      NaN                           /Users/arest/observing/decat_pointings/json_files/2026A/eta/260619/2026nur.json
      1     twi         0     -1     NaN      NaN     SheppardTwilightJun20morning.json  51.50   4.00                     NaN   NaN   NaN     NaN      0.0       NaN    12.78      NaN      /Users/arest/observing/decat_pointings/json_files/2026A/twi/260619/SheppardTwilightJun20morning.json
      3    dosc         0     -1     NaN      NaN    2_OMLApex.260619_i_11-dithpos.json 166.68 -24.98                     NaN   NaN   NaN     NaN      0.0       NaN    27.50      NaN    /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260619/2_OMLApex.260619_i_11-dithpos.json
      2    dosc         0     -1     NaN      NaN    1_OMLApex.260619_r_11-dithpos.json 166.68 -24.98                     NaN   NaN   NaN     NaN      0.0       NaN    27.50      NaN    /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260619/1_OMLApex.260619_r_11-dithpos.json
     34  shadow         0     -1     NaN      NaN     1_Shadow_Virgo_1of2_g_260619.json 186.76   8.27                     NaN   NaN   NaN     NaN      0.0       NaN    12.00      NaN   /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260619/1_Shadow_Virgo_1of2_g_260619.json
     35  shadow         0     -1     NaN      NaN     1_Shadow_Virgo_r_1of2_260619.json 186.76   8.28                     NaN   NaN   NaN     NaN      0.0       NaN    12.00      NaN   /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260619/1_Shadow_Virgo_r_1of2_260619.json
     13  desirt         1     -1     NaN      NaN                 DESIRT_SN2026ngr.json 209.52  -3.05                     NaN   NaN   NaN     NaN      0.0       NaN     7.33      NaN             /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/1/DESIRT_SN2026ngr.json
     14  desirt         2     -1     NaN      NaN                  DESIRT_210_14_i.json 210.63  13.94                     NaN   NaN   NaN     NaN      0.0       NaN    11.00      NaN              /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/2/DESIRT_210_14_i.json
     16  desirt         2     -1     NaN      NaN                  DESIRT_210_14_z.json 210.63  13.94                     NaN   NaN   NaN     NaN      0.0       NaN    13.00      NaN              /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/2/DESIRT_210_14_z.json
     15  desirt         2     -1     NaN      NaN                  DESIRT_210_14_r.json 210.63  13.94                     NaN   NaN   NaN     NaN      0.0       NaN    10.00      NaN              /Users/arest/observing/decat_pointings/json_files/2026A/desirt/260619/2/DESIRT_210_14_r.json
      5    dosc         0     -1     NaN      NaN 4_ShallowApex.260619_r_3-dithpos.json 213.20 -33.90                     NaN   NaN   NaN     NaN      0.0       NaN     7.50      NaN /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260619/4_ShallowApex.260619_r_3-dithpos.json
