 jsonID program  priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                               json_filename
      0     twi         0     10    1.85     49.0     SheppardTwilightJul13evening.json 147.78  -2.14 2026-07-13T22:39:55.452 18:39 18:39    0.00      0.0      0.00    25.17    25.17        /Users/arest/observing/decat_pointings/json_files/2026A/twi/260713/SheppardTwilightJul13evening.json
     33     eta         0     20    1.40     96.4          etale.ec0814.griz.11min.json 158.03 -60.69 2026-07-13T23:05:05.452 19:05 19:05   59.07      1.0      5.17     6.00    11.17             /Users/arest/observing/decat_pointings/json_files/2026A/eta/260713/etale.ec0814.griz.11min.json
     34     eta         0     30    1.39     96.8          etale.ec0915.griz.11min.json 161.26 -59.68 2026-07-13T23:16:15.408 19:16 19:16    1.89      0.0      0.07    10.33    10.40             /Users/arest/observing/decat_pointings/json_files/2026A/eta/260713/etale.ec0915.griz.11min.json
     26     yse         0     40    1.25     81.1                          2026gvk.json 169.96 -27.78 2026-07-13T23:26:39.576 19:26 19:26   32.46      1.0      4.19     4.00     8.19                             /Users/arest/observing/decat_pointings/json_files/2026A/yse/260713/2026gvk.json
     47    dosc         0     50    1.35     77.0     1_OMLApex.260713_r_6-dithpos.json 166.68 -24.98 2026-07-13T23:34:50.988 19:34 19:34    4.06      0.0      0.15    15.00    15.15       /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260713/1_OMLApex.260713_r_6-dithpos.json
     48    dosc         0     60    1.43     76.9    2_OMLApex.260713_i_10-dithpos.json 166.68 -24.98 2026-07-13T23:49:59.910 19:49 19:49    0.00      0.0      0.00    25.00    25.00      /Users/arest/observing/decat_pointings/json_files/2026A/dosc/260713/2_OMLApex.260713_i_10-dithpos.json
     44  shadow         0     70    1.66     76.8            1_Shadow_Virgo_r_1of2.json 186.76   8.28 2026-07-14T00:14:59.910 20:14 20:14   38.58      0.0      1.41    12.00    13.41            /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260713/1_Shadow_Virgo_r_1of2.json
     46  shadow         0     80    1.90     75.4            2_Shadow_Virgo_r_2of2.json 187.71  13.33 2026-07-14T00:28:24.797 20:28 20:28    5.14      0.0      0.19     4.00     4.19            /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260713/2_Shadow_Virgo_r_2of2.json
     43  shadow         0     90    1.78     76.6            1_Shadow_Virgo_g_1of2.json 186.76   8.27 2026-07-14T00:32:36.098 20:32 20:32    5.15      0.0      0.19    12.00    12.19            /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260713/1_Shadow_Virgo_g_1of2.json
     45  shadow         0    100    2.06     75.3            2_Shadow_Virgo_g_2of2.json 187.71  13.33 2026-07-14T00:44:47.422 20:44 20:44    5.15      0.0      0.19     4.00     4.19            /Users/arest/observing/decat_pointings/json_files/2026A/shadow/260713/2_Shadow_Virgo_g_2of2.json
