UT -14 deg twilight: 2026-08-28T23:27:29.129 2026-08-29T10:00:45.224
UT middle of the night: 2026-08-29T04:44:07.176

timezone CLT: America/SantiagoCLT -14 deg twilight: 08/28/2026,   19:27:29 to 06:00:45
timezone ET: America/New_YorkET  -14 deg twilight: 08/28/2026,   19:27:29 to 06:00:45
timezone PT: America/Los_AngelesPT  -14 deg twilight: 08/28/2026,   16:27:29 to 03:00:45
CLT middle of the night: 00:44:07
ET  middle of the night: 00:44:07
PT  middle of the night: 21:44:07


UT -14 deg twilight: 2026-08-28T23:27:29.129 2026-08-29T10:00:45.224
UT middle of the night: 2026-08-29T04:44:07.176

timezone CLT: America/SantiagoCLT -14 deg twilight: 08/28/2026,   19:27:29 to 06:00:45
timezone ET: America/New_YorkET  -14 deg twilight: 08/28/2026,   19:27:29 to 06:00:45
timezone PT: America/Los_AngelesPT  -14 deg twilight: 08/28/2026,   16:27:29 to 03:00:45
CLT middle of the night: 00:44:07
ET  middle of the night: 00:44:07
PT  middle of the night: 21:44:07



#####################
### OBSPLAN:
#####################
 jsonID program priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi        0     10    1.85    145.8 SheppardTwilightAug28evening.json 198.83  -1.92 2026-08-28T23:02:19.129 19:02 19:02    0.00       0      0.00    25.17    25.17
     12     yse        0     20    1.29    121.8                          376.json 222.21  -9.14 2026-08-28T23:27:29.129 19:27 19:27   24.35       0      0.89    16.00    16.89
     14     yse        0     30    1.37    117.2                          428.json 228.14  -1.49 2026-08-28T23:44:22.708 19:44 19:44    9.66       0      0.35    16.00    16.35
     27  defsus        0     40    1.00     76.9               DEFSuS_GBTDS_z.json 268.22 -29.68 2026-08-29T00:00:43.956 20:00 20:00   47.35       0      1.74    56.83    58.57
     15     yse        0     50    1.33     31.9                          440.json 314.29  -2.48 2026-08-29T00:59:18.136 20:59 20:59   51.42       0      1.89     8.00     9.89
      3  desirt        0     60    1.14     36.8                    FAR_310_z.json 310.41 -14.53 2026-08-29T01:09:11.263 21:09 21:09   12.64       0      0.46    13.00    13.46
      2  desirt        0     70    1.11     36.9                    FAR_310_i.json 310.41 -14.53 2026-08-29T01:22:39.077 21:22 21:22    0.00       0      0.00    11.00    11.00
      5  desirt        0     80    1.14     31.2                    FAR_316_z.json 316.96 -15.68 2026-08-29T01:33:39.077 21:33 21:33    6.42       0      0.24    13.00    13.24
      4  desirt        0     90    1.11     31.3                    FAR_316_i.json 316.96 -15.68 2026-08-29T01:46:53.203 21:46 21:46    0.00       0      0.00    11.00    11.00
     18     yse        0    100    1.49     29.1                          544.json 321.80  11.20 2026-08-29T01:57:53.203 21:57 21:57   27.30       0      1.00    16.00    17.00
