 jsonID program priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg decflip t_slew[m] t_exp[m] t_tot[m]                                                                                     json_filename
     21  defsus        0    100     NaN     93.8               DEFSuS_GBTDS_z.json 268.22 -29.68 2026-08-30T06:47:31.118 02:47 02:47   76.92       1      5.82    56.83    62.65            /Users/zalane/armin/decat_pointings/json_files/2026B/defsus/260829/DEFSuS_GBTDS_z.json
      2  desirt        0    110    1.82     36.2                    FAR_327_z.json 327.55 -10.19 2026-08-30T07:50:10.340 03:50 03:50   58.42       0      2.14    13.00    15.14                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/FAR_327_z.json
      4  desirt        0    130    1.82     28.7                    FAR_335_z.json 335.27  -8.39 2026-08-30T08:16:18.859 04:16 04:16    7.83       0      0.29    13.00    13.29                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/FAR_335_z.json
      1  desirt        0    120    2.00     36.3                    FAR_327_i.json 327.55 -10.19 2026-08-30T08:05:18.859 04:05 04:05    0.00       0      0.00    11.00    11.00                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/FAR_327_i.json
      3  desirt        0    140    1.96     28.8                    FAR_335_i.json 335.27  -8.39 2026-08-30T08:29:36.081 04:29 04:29    0.00       0      0.00    11.00    11.00                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/FAR_335_i.json
     11     yse        0     80    1.04     47.9                          ELA.json   9.45 -43.98 2026-08-30T06:16:33.883 02:16 02:16   34.38       0      1.26    16.00    17.26                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260829/ELA.json
     23     agn        0     90    1.03     47.4                    E1E2_moon.json   8.69 -43.50 2026-08-30T06:33:49.518 02:33 02:33    0.73       0      0.03    13.67    13.69                    /Users/zalane/armin/decat_pointings/json_files/2026B/agn/260829/E1E2_moon.json
     13     yse        0     10     NaN     73.9                        XEDFS.json  61.25 -48.42 2026-08-30T04:43:48.833 00:43 00:43    0.00       0      0.00    32.00    32.00                        /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260829/XEDFS.json
     20  shadow        0     20    1.90     64.2     3_Shadow_Fornax_r90_3of3.json  56.49 -32.55 2026-08-30T05:15:48.833 01:15 01:15   16.27       0      0.60    10.00    10.60  /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/3_Shadow_Fornax_r90_3of3.json
     19  shadow        0     30    1.80     64.1     3_Shadow_Fornax_g90_3of3.json  56.49 -32.55 2026-08-30T05:26:24.618 01:26 01:26    0.00       0      0.00    10.00    10.00  /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/3_Shadow_Fornax_g90_3of3.json
     16  shadow        0     40    1.60     63.3     1_Shadow_Fornax_r90_1of3.json  53.80 -35.64 2026-08-30T05:36:24.618 01:36 01:36    3.80       0      0.14    10.00    10.14  /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/1_Shadow_Fornax_r90_1of3.json
     15  shadow        0     50    1.53     63.3       1_Shadow_Fornax_g_1od3.json  53.80 -35.64 2026-08-30T05:46:32.975 01:46 01:46    0.00       0      0.00    10.00    10.00    /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/1_Shadow_Fornax_g_1od3.json
     17  shadow        0     60    1.46     62.9     2_Shadow_Fornax_g90_2of3.json  53.34 -35.47 2026-08-30T05:56:32.975 01:56 01:56    0.41       0      0.02    10.00    10.02  /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/2_Shadow_Fornax_g90_2of3.json
     18  shadow        0     70    1.41     62.8     2_Shadow_Fornax_r90_2of3.json  53.34 -35.47 2026-08-30T06:06:33.883 02:06 02:06    0.00       0      0.00    10.00    10.00  /Users/zalane/armin/decat_pointings/json_files/2026B/shadow/260829/2_Shadow_Fornax_r90_2of3.json
     22     agn        0    180    1.00     58.4                           C3.json  52.65 -28.10 2026-08-30T09:27:37.787 05:27 05:27   27.99       0      1.03    11.00    12.03                           /Users/zalane/armin/decat_pointings/json_files/2026B/agn/260829/C3.json
     12     yse        0    190    1.00     58.6                       XECDFS.json  52.98 -28.08 2026-08-30T09:39:39.363 05:39 05:39    0.29       0      0.01    16.00    16.01                       /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260829/XECDFS.json
     10     yse        0    150    1.08     26.8                          296.json  18.11 -17.41 2026-08-30T08:40:36.081 04:40 04:40   42.63       0      1.56     6.67     8.23                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260829/296.json
     14     yse        0    160    1.11     35.0                          XMM.json  35.57  -4.78 2026-08-30T08:48:49.856 04:48 04:48   21.25       0      0.78    16.00    16.78                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260829/XMM.json
     24     agn        0    170    1.11     35.0                    X123_moon.json  35.53  -5.31 2026-08-30T09:05:36.609 05:05 05:05    0.54       0      0.02    22.00    22.02                    /Users/zalane/armin/decat_pointings/json_files/2026B/agn/260829/X123_moon.json
      0     twi        0    200    2.20    111.7 SheppardTwilightAug30morning.json 114.21   3.00 2026-08-30T09:59:38.830 05:59 05:59   66.46       0      2.44    12.78    15.22 /Users/zalane/armin/decat_pointings/json_files/2026B/twi/260829/SheppardTwilightAug30morning.json
      7  desirt        1     -1     NaN      NaN                 FAR_ELIASS_i.json   9.12 -43.69                     NaN   NaN   NaN  -43.69       0       NaN    12.83      NaN            /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/1/FAR_ELIASS_i.json
      8  desirt        1     -1     NaN      NaN                 FAR_ELIASS_r.json   9.12 -43.69                     NaN   NaN   NaN  -43.69       0       NaN    10.50      NaN            /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/1/FAR_ELIASS_r.json
      9  desirt        1     -1     NaN      NaN                 FAR_ELIASS_z.json   9.12 -43.69                     NaN   NaN   NaN  -43.69       0       NaN    15.17      NaN            /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/1/FAR_ELIASS_z.json
      5  desirt        1     -1     NaN      NaN                  FAR_ECDFS_i.json  52.40 -28.19                     NaN   NaN   NaN  -28.19       0       NaN    12.83      NaN             /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260829/1/FAR_ECDFS_i.json
