 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                     json_filename
      0     twi         0     10    1.83     96.7 SheppardTwilightSep06evening.json 201.92 -14.08 2026-09-06T23:06:50.842 20:06 19:06    0.00      0.0      0.00    25.17    25.17 /Users/zalane/armin/decat_pointings/json_files/2026B/twi/260906/SheppardTwilightSep06evening.json
     54     eta         0     20    2.08     98.6                      2026ngr.json 209.60  -2.96 2026-09-06T23:32:00.842 20:32 19:32   13.45      0.0      0.49    10.83    11.33                      /Users/zalane/armin/decat_pointings/json_files/2026B/eta/260906/2026ngr.json
     21     yse         0     30    1.11    135.2                      2026cmv.json 241.99 -23.92 2026-09-06T23:43:20.442 20:43 19:43   37.65      0.0      1.38     5.33     6.71                      /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260906/2026cmv.json
     41  defsus         0     40    1.00    158.8               DEFSuS_GBTDS_z.json 268.22 -29.68 2026-09-06T23:50:03.266 20:50 19:50   24.05      0.0      0.88    56.83    57.72            /Users/zalane/armin/decat_pointings/json_files/2026B/defsus/260906/DEFSuS_GBTDS_z.json
      3  desirt         0     50    1.11    159.9                    FAR_310_r.json 310.41 -14.53 2026-09-07T00:47:46.168 21:47 20:47   41.64      0.0      1.53     9.00    10.53                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_310_r.json
      2  desirt         0     60    1.10    160.0                    FAR_310_i.json 310.41 -14.53 2026-09-07T00:58:17.783 21:58 20:58    0.00      0.0      0.00    11.00    11.00                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_310_i.json
      5  desirt         0     70    1.11    155.2                    FAR_316_r.json 316.96 -15.68 2026-09-07T01:09:17.783 22:09 21:09    6.42      0.0      0.24     9.00     9.24                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_316_r.json
      4  desirt         0     80    1.10    155.3                    FAR_316_i.json 316.96 -15.68 2026-09-07T01:18:31.909 22:18 21:18    0.00      0.0      0.00    11.00    11.00                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_316_i.json
      6  desirt         0     90    1.16    146.1                    FAR_330_i.json 328.05 -16.78 2026-09-07T01:29:31.909 22:29 21:29   10.71      0.0      0.39    11.00    11.39                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_330_i.json
      7  desirt         0    100    1.13    146.2                    FAR_330_r.json 328.05 -16.78 2026-09-07T01:40:55.461 22:40 21:40    0.00      0.0      0.00    10.00    10.00                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_330_r.json
     58  debass         0    110    1.12    147.5                   2026znw_P1.json 324.36 -11.83 2026-09-07T01:50:55.461 22:50 21:50    6.10      0.0      0.22     3.00     3.22                /Users/zalane/armin/decat_pointings/json_files/2026B/debass/260906/2026znw_P1.json
     13  desirt         1    120    1.15    144.0                    FAR_327_r.json 327.55 -10.19 2026-09-07T01:54:08.880 22:54 21:54    3.53      0.0      0.13     9.00     9.13               /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/1/FAR_327_r.json
     12  desirt         1    130    1.13    144.1                    FAR_327_i.json 327.55 -10.19 2026-09-07T02:03:16.654 23:03 22:03    0.00      0.0      0.00    11.00    11.00               /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/1/FAR_327_i.json
     55  debass         0    140    1.19    141.2                   2026yzi_P1.json 324.51  -0.80 2026-09-07T02:14:16.654 23:14 22:14    9.87      0.0      0.36     3.00     3.36                /Users/zalane/armin/decat_pointings/json_files/2026B/debass/260906/2026yzi_P1.json
     15  desirt         1    150    1.18    136.7                    FAR_335_r.json 335.27  -8.39 2026-09-07T02:17:38.362 23:17 22:17   13.14      0.0      0.48     9.00     9.48               /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/1/FAR_335_r.json
     14  desirt         1    160    1.16    136.7                    FAR_335_i.json 335.27  -8.39 2026-09-07T02:27:07.263 23:27 22:27    0.00      0.0      0.00    11.00    11.00               /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/1/FAR_335_i.json
     30     yse         0    170    1.34    134.4                          544.json 321.80  11.20 2026-09-07T02:38:07.263 23:38 22:38   23.73      0.0      0.87     8.00     8.87                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260906/544.json
     28     yse         0    180    1.26    131.5                          494.json 332.94   4.77 2026-09-07T02:46:59.479 23:46 22:46   12.77      0.0      0.47     8.00     8.47                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260906/494.json
     29     yse         0    190    1.29    127.2                          495.json 338.75   4.55 2026-09-07T02:55:27.562 23:55 22:55    5.80      0.0      0.21     8.00     8.21                          /Users/zalane/armin/decat_pointings/json_files/2026B/yse/260906/495.json
      9  desirt         0    200    1.19    125.5                    FAR_350_r.json 348.97  -9.70 2026-09-07T03:03:40.317 00:03 23:03   17.51      0.0      0.64     9.00     9.64                 /Users/zalane/armin/decat_pointings/json_files/2026B/desirt/260906/FAR_350_r.json
