UT -14 deg twilight: 2026-09-09T23:33:34.504 2026-09-10T09:46:45.294
UT middle of the night: 2026-09-10T04:40:09.899

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/09/2026,   20:33:34 to 06:46:45
timezone ET: America/New_YorkET  -14 deg twilight: 09/09/2026,   19:33:34 to 05:46:45
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/09/2026,   16:33:34 to 02:46:45
CLT middle of the night: 01:40:09
ET  middle of the night: 00:40:09
PT  middle of the night: 21:40:09


UT -14 deg twilight: 2026-09-09T23:33:34.504 2026-09-10T09:46:45.294
UT middle of the night: 2026-09-10T04:40:09.899

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/09/2026,   20:33:34 to 06:46:45
timezone ET: America/New_YorkET  -14 deg twilight: 09/09/2026,   19:33:34 to 05:46:45
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/09/2026,   16:33:34 to 02:46:45
CLT middle of the night: 01:40:09
ET  middle of the night: 00:40:09
PT  middle of the night: 21:40:09



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                              json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi         0     10    1.72     59.4       SheppardTwilightSep09evening.json 207.88 -14.64 2026-09-09T23:08:24.504 20:08 19:08    0.00      0.0      0.00    25.17    25.17
     23     yse         0     20    1.82     68.6                            2026bgd.json 200.24 -43.59 2026-09-09T23:33:34.504 20:33 19:33   29.68      1.0      4.09     5.33     9.42
     25     yse         0     30    1.90     99.0                            2026fhx.json 215.54 -86.75 2026-09-09T23:42:59.793 20:42 19:42   43.28      0.0      1.59     3.50     5.09
     43  debass         0     40    1.61     79.1                         2026zzs_P1.json 233.53   3.25 2026-09-09T23:48:05.014 20:48 19:48   90.16      1.0      6.31     3.00     9.31
     24     yse         0     50    1.18     92.3                            2026cmv.json 241.99 -23.92 2026-09-09T23:57:23.363 20:57 19:57   28.39      0.0      1.04     5.33     6.37
     50  defsus         0     60    1.01    116.0                     DEFSuS_GBTDS_z.json 268.21 -29.49 2026-09-10T00:03:45.817 21:03 20:03   24.02      0.0      0.88    57.00    57.88
     60     yse         0     70    1.04    151.0                            2023xbg.json 311.44 -29.43 2026-09-10T01:01:38.653 22:01 21:01   37.42      0.0      1.37     4.00     5.37
      2  desirt         0     80    1.07    155.9                          FAR_310_i.json 310.41 -14.53 2026-09-10T01:07:00.977 22:07 21:07   14.93      0.0      0.55    11.00    11.55
      3  desirt         0     90    1.06    155.8                          FAR_310_r.json 310.41 -14.53 2026-09-10T01:18:33.829 22:18 21:18    0.00      0.0      0.00     9.00     9.00
     59     yse         0    100    1.07    161.5                            2023swf.json 316.49 -14.75 2026-09-10T01:27:33.829 22:27 21:27    5.89      0.0      0.22     4.00     4.22
      5  desirt         0    110    1.06    161.6                          FAR_316_r.json 316.96 -15.68 2026-09-10T01:31:46.780 22:31 21:31    1.03      0.0      0.04     9.00     9.04
      4  desirt         0    120    1.06    161.5                          FAR_316_i.json 316.96 -15.68 2026-09-10T01:40:49.041 22:40 21:40    0.00      0.0      0.00    11.00    11.00
      6  desirt         0    130    1.09    170.3                          FAR_330_i.json 328.05 -16.78 2026-09-10T01:51:49.041 22:51 21:51   10.71      0.0      0.39    11.00    11.39
      7  desirt         0    140    1.08    170.2                          FAR_330_r.json 328.05 -16.78 2026-09-10T02:03:12.593 23:03 22:03    0.00      0.0      0.00    10.00    10.00
     39  debass         0    150    1.17    166.0                         2026yzi_P1.json 324.51  -0.80 2026-09-10T02:13:12.593 23:13 22:13   16.36      0.0      0.60     2.25     2.85
     37  debass         0    160    1.20    160.3                        2026aagh_P1.json 320.46   3.08 2026-09-10T02:16:03.575 23:16 22:16    5.61      0.0      0.21     3.00     3.21
      9  desirt         0    170    1.28    166.6                          FAR_350_r.json 348.97  -9.70 2026-09-10T02:19:15.908 23:19 22:19   31.14      0.0      1.14     9.00    10.14
      8  desirt         0    180    1.25    166.6                          FAR_350_i.json 348.97  -9.70 2026-09-10T02:29:24.425 23:29 22:29    0.00      0.0      0.00    11.00    11.00
     38  debass         0    190    1.19    159.8                        2026aajs_P1.json 353.49 -20.21 2026-09-10T02:40:24.425 23:40 22:40   11.38      0.0      0.42     3.00     3.42
     36  debass         0    200    1.29    165.4                        2026aaex_P1.json 347.12  -0.74 2026-09-10T02:43:49.462 23:43 22:43   20.45      0.0      0.75     3.00     3.75
     58     yse         0    210    1.30    164.8                            2020jfv.json 346.65   0.70 2026-09-10T02:47:34.449 23:47 22:47    1.51      0.0      0.06     4.00     4.06
     11  desirt         0    220    1.43    156.0                          FAR_357_r.json 357.79  -0.23 2026-09-10T02:51:37.774 23:51 22:51   11.18      0.0      0.41     9.00     9.41
     10  desirt         0    230    1.39    156.1                          FAR_357_i.json 357.79  -0.23 2026-09-10T03:01:02.372 00:01 23:01    0.00      0.0      0.00    11.00    11.00
     57     yse         0    240    1.30    154.7                            2020izc.json   1.26  -7.01 2026-09-10T03:12:02.372 00:12 23:12    7.62      0.0      0.28     4.00     4.28
     56     yse         0    250    1.23    155.2                            2017hcc.json   0.96 -11.39 2026-09-10T03:16:19.128 00:16 23:16    4.38      0.0      0.16     4.00     4.16
     61     yse         0    260    1.37    148.6                            2021zon.json   7.46  -6.39 2026-09-10T03:20:28.772 00:20 23:20    8.14      0.0      0.30     4.00     4.30
