 jsonID program  priority  order airmass sep_moon                              json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                             json_filename
      0     twi         0     10    1.72     21.5       SheppardTwilightSep12evening.json 211.13 -14.64 2026-09-12T23:10:00.152 20:10 19:10    0.00        0      0.00    25.17    25.17      /Users/arest/observing/decat_pointings/json_files/2026B/twi/260912/SheppardTwilightSep12evening.json
     29     yse         0     20    1.15     51.7                            2026cmv.json 241.99 -23.92 2026-09-12T23:35:10.152 20:35 19:35   30.49        0      1.12     5.33     6.45                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2026cmv.json
     45  defsus         0     30    1.01     75.3                     DEFSuS_GBTDS_z.json 268.21 -29.49 2026-09-12T23:41:37.231 20:41 19:41   24.02        0      0.88    57.00    57.88                 /Users/arest/observing/decat_pointings/json_files/2026B/defsus/260912/DEFSuS_GBTDS_z.json
     28     yse         0     40    1.05    111.3                            2023xbg.json 311.44 -29.43 2026-09-13T00:39:30.067 21:39 20:39   37.42        0      1.37     4.00     5.37                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2023xbg.json
     12  desirt         1     50    1.08    115.7                          FAR_310_g.json 310.41 -14.53 2026-09-13T00:44:52.391 21:44 20:44   14.93        0      0.55     8.00     8.55                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_310_g.json
      2  desirt         0     60    1.07    115.6                          FAR_310_i.json 310.41 -14.53 2026-09-13T00:53:25.243 21:53 20:53    0.00        0      0.00    11.00    11.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_310_i.json
      3  desirt         0     70    1.06    115.5                          FAR_310_r.json 310.41 -14.53 2026-09-13T01:04:25.243 22:04 21:04    0.00        0      0.00     9.00     9.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_310_r.json
     27     yse         0     80    1.07    120.9                            2023swf.json 316.49 -14.75 2026-09-13T01:13:25.243 22:13 21:13    5.89        0      0.22     4.00     4.22                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2023swf.json
      4  desirt         0     90    1.07    121.0                          FAR_316_i.json 316.96 -15.68 2026-09-13T01:17:38.194 22:17 21:17    1.03        0      0.04    11.00    11.04                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_316_i.json
     13  desirt         1    100    1.06    120.9                          FAR_316_g.json 316.96 -15.68 2026-09-13T01:28:40.455 22:28 21:28    0.00        0      0.00     8.00     8.00                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_316_g.json
      5  desirt         0    110    1.05    120.8                          FAR_316_r.json 316.96 -15.68 2026-09-13T01:36:40.455 22:36 21:36    0.00        0      0.00     9.00     9.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_316_r.json
     14  desirt         1    120    1.08    130.0                          FAR_330_g.json 328.05 -16.78 2026-09-13T01:45:40.455 22:45 21:45   10.71        0      0.39     8.00     8.39                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_330_g.json
      6  desirt         0    130    1.07    129.9                          FAR_330_i.json 328.05 -16.78 2026-09-13T01:54:04.007 22:54 21:54    0.00        0      0.00    11.00    11.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_330_i.json
      7  desirt         0    140    1.06    129.8                          FAR_330_r.json 328.05 -16.78 2026-09-13T02:05:04.007 23:05 22:05    0.00        0      0.00    10.00    10.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_330_r.json
      8  desirt         0    150    1.26    150.6                          FAR_350_i.json 348.97  -9.70 2026-09-13T02:15:04.007 23:15 22:15   21.54        0      0.79    11.00    11.79                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_350_i.json
      9  desirt         0    160    1.22    150.5                          FAR_350_r.json 348.97  -9.70 2026-09-13T02:26:51.389 23:26 22:26    0.00        0      0.00     9.00     9.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_350_r.json
     25     yse         0    170    1.30    153.5                            2020jfv.json 346.65   0.70 2026-09-13T02:35:51.389 23:35 22:35   10.65        0      0.39     4.00     4.39                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2020jfv.json
     10  desirt         0    180    1.42    163.1                          FAR_357_i.json 357.79  -0.23 2026-09-13T02:40:14.830 23:40 22:40   11.18        0      0.41    11.00    11.41                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_357_i.json
     11  desirt         0    190    1.38    163.0                          FAR_357_r.json 357.79  -0.23 2026-09-13T02:51:39.428 23:51 22:51    0.00        0      0.00     9.00     9.00                      /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/FAR_357_r.json
     24     yse         0    200    1.30    160.5                            2020izc.json   1.26  -7.01 2026-09-13T03:00:39.428 00:00 23:00    7.62        0      0.28     4.00     4.28                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2020izc.json
     26     yse         0    210    1.39    163.7                            2021zon.json   7.46  -6.39 2026-09-13T03:04:56.184 00:04 23:04    6.19        0      0.23     4.00     4.23                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2021zon.json
     23     yse         0    220    1.22    156.6                            2017hcc.json   0.96 -11.39 2026-09-13T03:09:09.805 00:09 23:09    8.14        0      0.30     4.00     4.30                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2017hcc.json
     32     yse         0    230    1.42    152.7                                296.json  18.11 -17.41 2026-09-13T03:13:27.711 00:13 23:13   17.66        0      0.65     6.67     7.31                               /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/296.json
     33     yse         0    240    1.68    173.1                                448.json  15.67   3.34 2026-09-13T03:20:46.568 00:20 23:20   20.89        0      0.77     8.00     8.77                               /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/448.json
     35     yse         0    250    1.17    126.6                                ELA.json   9.45 -43.98 2026-09-13T03:29:32.533 00:29 23:29   47.65        1      4.75    10.67    15.41                               /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/ELA.json
     49     agn         0    260    1.13    127.0                               E1E2.json   8.69 -43.50 2026-09-13T03:44:57.363 00:44 23:44    0.73        0      0.03    20.50    20.53                              /Users/arest/observing/decat_pointings/json_files/2026B/agn/260912/E1E2.json
     31     yse         0    270    1.39    131.8                            2026nur.json  35.28 -33.61 2026-09-13T04:05:28.963 01:05 00:05   22.89        0      0.84     1.75     2.59                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2026nur.json
     47      p9         0    280    1.37    118.0 p9-1hour-rectangle_dither-09092026.json  35.19 -49.21 2026-09-13T04:08:04.332 01:08 00:08   15.60        0      0.57    77.50    78.07 /Users/arest/observing/decat_pointings/json_files/2026B/p9/260912/p9-1hour-rectangle_dither-09092026.json
     46   ultra         0    290    1.57     98.7                             kilicA.json  65.00 -60.60 2026-09-13T05:26:08.645 02:26 01:26   20.30        0      0.74    69.00    69.74                          /Users/arest/observing/decat_pointings/json_files/2026B/ultra/260912/kilicA.json
     37     yse         0    300    1.23    108.1                              XEDFS.json  61.25 -48.42 2026-09-13T06:35:53.313 03:35 02:35   12.37        0      0.45    42.67    43.12                             /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/XEDFS.json
     39  shadow         0    310    1.06    120.8             1_Shadow_Fornax_g_1of3.json  53.80 -35.64 2026-09-13T07:19:00.523 04:19 03:19   13.91        0      0.51    10.00    10.51         /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/1_Shadow_Fornax_g_1of3.json
     40  shadow         0    320    1.05    120.8           1_Shadow_Fornax_r90_1of3.json  53.80 -35.64 2026-09-13T07:29:31.132 04:29 03:29    0.00        0      0.00    10.00    10.00       /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/1_Shadow_Fornax_r90_1of3.json
     41  shadow         0    330    1.03    121.2           2_Shadow_Fornax_g90_2of3.json  53.34 -35.47 2026-09-13T07:39:31.132 04:39 03:39    0.41        0      0.02    10.00    10.02       /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/2_Shadow_Fornax_g90_2of3.json
     42  shadow         0    340    1.03    121.2           2_Shadow_Fornax_r90_2of3.json  53.34 -35.47 2026-09-13T07:49:32.040 04:49 03:49    0.00        0      0.00    10.00    10.00       /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/2_Shadow_Fornax_r90_2of3.json
     43  shadow         0    350    1.03    121.3           3_Shadow_Fornax_g90_3of3.json  56.49 -32.55 2026-09-13T07:59:32.040 04:59 03:59    3.91        0      0.14    10.00    10.14       /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/3_Shadow_Fornax_g90_3of3.json
     44  shadow         0    360    1.02    121.3           3_Shadow_Fornax_r90_3of3.json  56.49 -32.55 2026-09-13T08:09:40.653 05:09 04:09    0.00        0      0.00    10.00    10.00       /Users/arest/observing/decat_pointings/json_files/2026B/shadow/260912/3_Shadow_Fornax_r90_3of3.json
     48     agn         0    370    1.00    126.7                                 C3.json  52.65 -28.10 2026-09-13T08:19:40.653 05:19 04:19    5.55        1      3.20    11.00    14.20                                /Users/arest/observing/decat_pointings/json_files/2026B/agn/260912/C3.json
     36     yse         0    380    1.00    126.5                             XECDFS.json  52.98 -28.08 2026-09-13T08:33:52.860 05:33 04:33    0.29        0      0.01    21.33    21.34                            /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/XECDFS.json
     50     agn         0    390    1.16    154.0                               X123.json  35.53  -5.31 2026-09-13T08:55:13.501 05:55 04:55   28.16        0      1.03    33.00    34.03                              /Users/arest/observing/decat_pointings/json_files/2026B/agn/260912/X123.json
     38     yse         0    400    1.24    154.5                                XMM.json  35.57  -4.78 2026-09-13T09:29:15.444 06:29 05:29    0.54        0      0.02    10.67    10.69                               /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/XMM.json
      1     twi         0    410    2.29     69.2       SheppardTwilightSep13morning.json 126.79   1.00 2026-09-13T09:43:03.044 06:43 05:43   91.30        0      3.35    12.78    16.13      /Users/arest/observing/decat_pointings/json_files/2026B/twi/260912/SheppardTwilightSep13morning.json
     21  desirt         1     -1     NaN      NaN                       FAR_ELIASS_i.json   9.12 -43.69                     NaN   NaN   NaN     NaN        0       NaN    12.83      NaN                 /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_ELIASS_i.json
     22  desirt         1     -1     NaN      NaN                       FAR_ELIASS_r.json   9.12 -43.69                     NaN   NaN   NaN     NaN        0       NaN    10.50      NaN                 /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_ELIASS_r.json
     19  desirt         1     -1     NaN      NaN                        FAR_ECDFS_i.json  52.40 -28.19                     NaN   NaN   NaN     NaN        0       NaN    12.83      NaN                  /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_ECDFS_i.json
     20  desirt         1     -1     NaN      NaN                        FAR_ECDFS_r.json  52.40 -28.19                     NaN   NaN   NaN     NaN        0       NaN    11.67      NaN                  /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_ECDFS_r.json
     30     yse         0     -1     NaN      NaN                            2026fhx.json 215.54 -86.75                     NaN   NaN   NaN     NaN        1       NaN     3.50      NaN                           /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/2026fhx.json
     34     yse         0     -1     NaN      NaN                                494.json 332.94   4.77                     NaN   NaN   NaN     NaN        0       NaN    16.00      NaN                               /Users/arest/observing/decat_pointings/json_files/2026B/yse/260912/494.json
     15  desirt         1     -1     NaN      NaN                          FAR_335_i.json 335.27  -8.39                     NaN   NaN   NaN     NaN        0       NaN    11.00      NaN                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_335_i.json
     16  desirt         1     -1     NaN      NaN                          FAR_335_r.json 335.27  -8.39                     NaN   NaN   NaN     NaN        0       NaN     9.00      NaN                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_335_r.json
     17  desirt         1     -1     NaN      NaN                          FAR_350_g.json 348.97  -9.70                     NaN   NaN   NaN     NaN        0       NaN     8.00      NaN                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_350_g.json
     18  desirt         1     -1     NaN      NaN                          FAR_357_g.json 357.79  -0.23                     NaN   NaN   NaN     NaN        0       NaN     8.00      NaN                    /Users/arest/observing/decat_pointings/json_files/2026B/desirt/260912/1/FAR_357_g.json
