UT -14 deg twilight: 2026-09-18T23:38:28.416 2026-09-19T09:35:27.808
UT middle of the night: 2026-09-19T04:36:58.112

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/18/2026,   20:38:28 to 06:35:27
timezone ET: America/New_YorkET  -14 deg twilight: 09/18/2026,   19:38:28 to 05:35:27
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/18/2026,   16:38:28 to 02:35:27
CLT middle of the night: 01:36:58
ET  middle of the night: 00:36:58
PT  middle of the night: 21:36:58


UT -14 deg twilight: 2026-09-18T23:38:28.416 2026-09-19T09:35:27.808
UT middle of the night: 2026-09-19T04:36:58.112

timezone CLT: America/SantiagoCLT -14 deg twilight: 09/18/2026,   20:38:28 to 06:35:27
timezone ET: America/New_YorkET  -14 deg twilight: 09/18/2026,   19:38:28 to 05:35:27
timezone PT: America/Los_AngelesPT  -14 deg twilight: 09/18/2026,   16:38:28 to 02:35:27
CLT middle of the night: 01:36:58
ET  middle of the night: 00:36:58
PT  middle of the night: 21:36:58



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                        json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
      0     twi         0     10    1.81     48.8 SheppardTwilightSep18evening.json 218.06  -9.94 2026-09-18T23:12:57.416 20:12 19:12    0.00      0.0      0.00    25.52    25.52
     22     yse         0     20    1.92     60.0                      2026fhx.json 215.54 -86.75 2026-09-18T23:38:28.416 20:38 19:38   76.81      1.0      5.82     3.50     9.32
     21     yse         0     30    1.26     22.6                      2026cmv.json 241.99 -23.92 2026-09-18T23:47:47.395 20:47 19:47   63.18      1.0      5.32     5.33    10.65
      2  desirt         0     40    1.12     42.5                    FAR_310_i.json 310.41 -14.53 2026-09-18T23:58:26.399 20:58 19:58   64.71      0.0      2.37    11.00    13.37
      3  desirt         0     50    1.09     42.4                    FAR_310_r.json 310.41 -14.53 2026-09-19T00:11:48.760 21:11 20:11    0.00      0.0      0.00     9.00     9.00
      4  desirt         0     60    1.12     47.6                    FAR_316_i.json 316.96 -15.68 2026-09-19T00:20:48.760 21:20 20:20    6.42      0.0      0.24    11.00    11.24
      5  desirt         0     70    1.10     47.5                    FAR_316_r.json 316.96 -15.68 2026-09-19T00:32:02.886 21:32 20:32    0.00      0.0      0.00     9.00     9.00
     12  desirt         1     80    1.16     56.8                    FAR_330_g.json 328.05 -16.78 2026-09-19T00:41:02.886 21:41 20:41   10.71      0.0      0.39     8.00     8.39
      6  desirt         0     90    1.14     56.7                    FAR_330_i.json 328.05 -16.78 2026-09-19T00:49:26.438 21:49 20:49    0.00      0.0      0.00    11.00    11.00
      7  desirt         0    100    1.12     56.6                    FAR_330_r.json 328.05 -16.78 2026-09-19T01:00:26.438 22:00 21:00    0.00      0.0      0.00    10.00    10.00
