CCD     X    Y          RA       Dec
 01     1    1    53.76281 -26.13255
 01  2048    1    53.76191 -26.28174
 01     1 4096    54.09587 -26.13328
 01  2048 4096    54.09548 -26.28234
 02     1    1    54.10844 -26.13334
 02  2048    1    54.10777 -26.28240
 02     1 4096    54.44162 -26.13399
 02  2048 4096    54.44157 -26.28305
 03     1    1    54.45435 -26.13330
 03  2048    1    54.45460 -26.28236
 03     1 4096    54.78741 -26.13284
 03  2048 4096    54.78816 -26.28204
 04     1    1    53.58885 -26.29591
 04  2048    1    53.58762 -26.44516
 04     1 4096    53.92230 -26.29685
 04  2048 4096    53.92154 -26.44605
 05     1    1    53.93492 -26.29683
 05  2048    1    53.93427 -26.44600
 05     1 4096    54.26872 -26.29704
 05  2048 4096    54.26870 -26.44622
 06     1    1    54.28140 -26.29707
 06  2048    1    54.28129 -26.44625
 06     1 4096    54.61519 -26.29708
 06  2048 4096    54.61573 -26.44626
 07     1    1    54.62769 -26.29705
 07  2048    1    54.62832 -26.44623
 07     1 4096    54.96112 -26.29633
 07  2048 4096    54.96225 -26.44558
 08     1    1    53.41448 -26.45935
 08  2048    1    53.41309 -26.60871
 08     1 4096    53.74815 -26.46048
 08  2048 4096    53.74720 -26.60985
 09     1    1    53.76081 -26.46035
 09  2048    1    53.75970 -26.60971
 09     1 4096    54.09506 -26.46108
 09  2048 4096    54.09457 -26.61050
 10     1    1    54.10765 -26.46111
 10  2048    1    54.10728 -26.61052
 10     1 4096    54.44224 -26.46121
 10  2048 4096    54.44251 -26.61061
 11     1    1    54.45481 -26.46110
 11  2048    1    54.45506 -26.61052
 11     1 4096    54.78909 -26.46083
 11  2048 4096    54.78995 -26.61019
 12     1    1    54.80176 -26.46082
 12  2048    1    54.80265 -26.61020
 12     1 4096    55.13548 -26.45991
 12  2048 4096    55.13680 -26.60927
 13     1    1    53.23961 -26.62253
 13  2048    1    53.23799 -26.77196
 13     1 4096    53.57358 -26.62425
 13  2048 4096    53.57227 -26.77377
 14     1    1    53.58601 -26.62407
 14  2048    1    53.58476 -26.77358
 14     1 4096    53.92055 -26.62502
 14  2048 4096    53.91984 -26.77463
 15     1    1    53.93331 -26.62493
 15  2048    1    53.93265 -26.77457
 15     1 4096    54.26850 -26.62527
 15  2048 4096    54.26844 -26.77493
 16     1    1    54.28118 -26.62552
 16  2048    1    54.28117 -26.77520
 16     1 4096    54.61638 -26.62532
 16  2048 4096    54.61696 -26.77495
 17     1    1    54.62912 -26.62512
 17  2048    1    54.62962 -26.77475
 17     1 4096    54.96368 -26.62455
 17  2048 4096    54.96471 -26.77407
 18     1    1    54.97647 -26.62461
 18  2048    1    54.97764 -26.77412
 18     1 4096    55.31037 -26.62302
 18  2048 4096    55.31189 -26.77245
 19     1    1    53.23799 -26.78654
 19  2048    1    53.23644 -26.93601
 19     1 4096    53.57228 -26.78829
 19  2048 4096    53.57114 -26.93795
 20     1    1    53.58472 -26.78850
 20  2048    1    53.58353 -26.93816
 20     1 4096    53.91985 -26.78960
 20  2048 4096    53.91918 -26.93941
 21     1    1    53.93253 -26.78943
 21  2048    1    53.93193 -26.93922
 21     1 4096    54.26838 -26.78981
 21  2048 4096    54.26832 -26.93968
 22     1    1    54.28117 -26.78971
 22  2048    1    54.28106 -26.93958
 22     1 4096    54.61701 -26.78964
 22  2048 4096    54.61745 -26.93944
 23     1    1    54.62994 -26.78962
 23  2048    1    54.63043 -26.93942
 23     1 4096    54.96508 -26.78886
 23  2048 4096    54.96607 -26.93851
 24     1    1    54.97762 -26.78883
 24  2048    1    54.97863 -26.93849
 24     1 4096    55.31192 -26.78725
 24  2048 4096    55.31332 -26.93679
 25     1    1    53.06234 -26.94968
 25  2048    1    53.06067 -27.09915
 25     1 4096    53.39698 -26.95206
 25  2048 4096    53.39573 -27.10168
 26     1    1    53.40967 -26.95195
 26  2048    1    53.40839 -27.10158
 26     1 4096    53.74485 -26.95353
 26  2048 4096    53.74402 -27.10335
 27     1    1    53.75761 -26.95372
 27  2048    1    53.75678 -27.10355
 27     1 4096    54.09377 -26.95460
 27  2048 4096    54.09342 -27.10454
 28     1    1    54.10671 -26.95448
 28  2048    1    54.10646 -27.10443
 28     1 4096    54.44326 -26.95449
 28  2048 4096    54.44349 -27.10445
 29     1    1    54.45576 -26.95472
 29  2048    1    54.45598 -27.10467
 29     1 4096    54.79188 -26.95405
 29  2048 4096    54.79260 -27.10388
 30     1    1    54.80488 -26.95403
 30  2048    1    54.80560 -27.10384
 30     1 4096    55.14006 -26.95262
 30  2048 4096    55.14124 -27.10226
 31     1    1    55.15258 -26.95246
 31  2048    1    55.15380 -27.10209
 31     1 4096    55.48719 -26.95015
 31  2048 4096    55.48882 -27.09963
 32     1    1    53.06038 -27.11381
 32  2048    1    53.05863 -27.26328
 32     1 4096    53.39548 -27.11656
 32  2048 4096    53.39422 -27.26618
 33     1    1    53.40820 -27.11649
 33  2048    1    53.40702 -27.26612
 33     1 4096    53.74387 -27.11831
 33  2048 4096    53.74312 -27.26813
 34     1    1    53.75658 -27.11840
 34  2048    1    53.75593 -27.26822
 34     1 4096    54.09326 -27.11927
 34  2048 4096    54.09301 -27.26920
 35     1    1    54.10607 -27.11931
 35  2048    1    54.10579 -27.26925
 35     1 4096    54.44314 -27.11941
 35  2048 4096    54.44329 -27.26935
 36     1    1    54.45565 -27.11958
 36  2048    1    54.45595 -27.26953
 36     1 4096    54.79232 -27.11861
 36  2048 4096    54.79304 -27.26843
 37     1    1    54.80525 -27.11853
 37  2048    1    54.80584 -27.26840
 37     1 4096    55.14090 -27.11701
 37  2048 4096    55.14195 -27.26661
 38     1    1    55.15376 -27.11700
 38  2048    1    55.15476 -27.26663
 38     1 4096    55.48881 -27.11471
 38  2048 4096    55.49031 -27.26417
 39     1    1    53.23275 -27.27972
 39  2048    1    53.23147 -27.42920
 39     1 4096    53.56845 -27.28203
 39  2048 4096    53.56766 -27.43167
 40     1    1    53.58110 -27.28218
 40  2048    1    53.58033 -27.43183
 40     1 4096    53.91779 -27.28363
 40  2048 4096    53.91739 -27.43342
 41     1    1    53.93073 -27.28363
 41  2048    1    53.93036 -27.43343
 41     1 4096    54.26817 -27.28411
 41  2048 4096    54.26815 -27.43398
 42     1    1    54.28104 -27.28433
 42  2048    1    54.28098 -27.43417
 42     1 4096    54.61845 -27.28389
 42  2048 4096    54.61878 -27.43369
 43     1    1    54.63122 -27.28389
 43  2048    1    54.63156 -27.43369
 43     1 4096    54.96788 -27.28255
 43  2048 4096    54.96861 -27.43220
 44     1    1    54.98052 -27.28253
 44  2048    1    54.98121 -27.43220
 44     1 4096    55.31622 -27.28034
 44  2048 4096    55.31745 -27.42980
 45     1    1    53.23124 -27.44388
 45  2048    1    53.23001 -27.59331
 45     1 4096    53.56749 -27.44631
 45  2048 4096    53.56680 -27.59583
 46     1    1    53.57994 -27.44657
 46  2048    1    53.57927 -27.59608
 46     1 4096    53.91706 -27.44814
 46  2048 4096    53.91670 -27.59777
 47     1    1    53.93025 -27.44825
 47  2048    1    53.92982 -27.59787
 47     1 4096    54.26808 -27.44899
 47  2048 4096    54.26792 -27.59864
 48     1    1    54.28058 -27.44906
 48  2048    1    54.28056 -27.59877
 48     1 4096    54.61842 -27.44844
 48  2048 4096    54.61870 -27.59814
 49     1    1    54.63155 -27.44843
 49  2048    1    54.63180 -27.59806
 49     1 4096    54.96866 -27.44698
 49  2048 4096    54.96926 -27.59649
 50     1    1    54.98133 -27.44685
 50  2048    1    54.98200 -27.59634
 50     1 4096    55.31761 -27.44445
 50  2048 4096    55.31879 -27.59389
 51     1    1    53.40475 -27.60956
 51  2048    1    53.40372 -27.75891
 51     1 4096    53.74185 -27.61192
 51  2048 4096    53.74129 -27.76129
 52     1    1    53.75456 -27.61185
 52  2048    1    53.75406 -27.76122
 52     1 4096    54.09240 -27.61310
 52  2048 4096    54.09221 -27.76249
 53     1    1    54.10538 -27.61306
 53  2048    1    54.10519 -27.76247
 53     1 4096    54.44365 -27.61319
 53  2048 4096    54.44369 -27.76260
 54     1    1    54.45635 -27.61334
 54  2048    1    54.45637 -27.76275
 54     1 4096    54.79421 -27.61237
 54  2048 4096    54.79449 -27.76175
 55     1    1    54.80696 -27.61217
 55  2048    1    54.80733 -27.76152
 55     1 4096    55.14404 -27.61008
 55  2048 4096    55.14491 -27.75943
 56     1    1    53.57880 -27.77495
 56  2048    1    53.57807 -27.92421
 56     1 4096    53.91659 -27.77679
 56  2048 4096    53.91634 -27.92601
 57     1    1    53.92927 -27.77682
 57  2048    1    53.92897 -27.92599
 57     1 4096    54.26771 -27.77752
 57  2048 4096    54.26767 -27.92673
 58     1    1    54.28066 -27.77768
 58  2048    1    54.28071 -27.92686
 58     1 4096    54.61909 -27.77697
 58  2048 4096    54.61938 -27.92615
 59     1    1    54.63182 -27.77700
 59  2048    1    54.63208 -27.92619
 59     1 4096    54.96974 -27.77528
 59  2048 4096    54.97039 -27.92452
 60     1    1    53.75354 -27.93997
 60  2048    1    53.75286 -28.08919
 60     1 4096    54.09208 -27.94141
 60  2048 4096    54.09174 -28.09052
 61     1    1    54.10489 -27.94124
 61  2048    1    54.10468 -28.09029
 61     1 4096    54.44367 -27.94136
 61  2048 4096    54.44372 -28.09041
 62     1    1    54.45655 -27.94143
 62  2048    1    54.45660 -28.09049
 62     1 4096    54.79513 -27.94044
 62  2048 4096    54.79553 -28.08963
