       YSEID          RA        Dec      RACand    DecCand     SNID  candCCD priority 
         523.D.a  173.375886  13.538246  172.910267  14.076264  2021dha      9.0   1
         418.F.a  162.205174   0.348084  162.600631   0.926922  2021dev     11.0   1
         403.D.a   52.093869   0.140225   52.200620   0.918704  2021ctk      6.0 1
         253.B.a   52.142616 -20.354317   52.069189 -20.223701  2021cxr     28.0  1   
         575.B.a  178.620162  24.625125  178.648724  25.383441  2021ckc      6.0   1
         401.B.a   37.932886   1.641360   37.965368   2.050201  2021cjf     16.0 1
   376.2020esm.a  211.415586  -7.652090  211.505891  -7.772315  2021cjb     35.0 1
         353.F.a   67.338019  -6.564764   67.439363  -5.996753  2021ccy     10.0 1
        1511.B.a  124.468209  10.483320  124.553788  10.890245  2021cym     16.0 1
         474.E.a  186.023769   3.155637  186.381320   3.437056  2021dgu     23.0 1
        523.C.a  173.677382   9.016230  173.736066   9.038658  2021dib     28.0  1
        577.B.a  194.170947  21.419442  194.198754  21.647986  2021dhg     22.0 1
        577.A.a  196.339769  29.207647  196.348945  29.509636  2021dch     22.0 1 
        525.D.a  183.942876  14.540017  183.692940  13.331372  2021chy       -9  1
        415.A.a  123.118545  -12.01966  123.454596 -12.115986  2021cyn       36  1
        415.A.b  129.507492  -1.339554  129.871321  -1.408103  2021ddh       36 1
        415.B.a  133.714302  -0.538301  134.077946  -0.442142  2021dov       29 1
        523.C.a  173.895752   8.613094  173.736066   9.038658  2021dib       15 1
        674.E.a  210.89111    27.887453 211.052733  27.626144  2021dep       42 1
        477.F.a  216.522959   15.593446 216.886787  15.524897  2021dam       36 1
        428.B.a  223.440154   3.770551  223.279096   3.537253  2021dlb       41 1
        632.C.a  241.864306   25.745045 242.025929  25.483736  2021dcu       42 1
          415.A.a     123.118545     -12.01966     123.454596     -12.115986     2021cyn          36            2    
         1511.B.a     124.365277     10.492781     124.553788      10.890245     2021cym          16            4    
          415.A.b     129.507492     -1.339554     129.871321      -1.408103     2021ddh          36            1    
         415.B.a     133.714302     -0.538301     134.077946      -0.442142     2021dov          29            1    
          418.F.a     162.238815      0.364871     162.600631       0.926922     2021dev          11            1    
          523.D.a     173.243143     13.486186     172.910267      14.076265     2021dha           9            1    
          523.C.a     173.895752      8.613094     173.736066       9.038658     2021dib          15            2    
          575.B.a      178.48851     24.629617     178.648724      25.383441     2021ckc           6            2    
          525.D.a     183.678371     13.235346      183.69294      13.331372     2021chy          28            2    
          474.E.a     185.871629      3.175669      186.38132       3.437056     2021dgu          23            2    
          577.B.a      194.03777      21.38709     194.198754      21.647986     2021dhg          22            2    
          577.A.a     196.187961     29.276518     196.348945      29.509636     2021dch          22            1    
          674.E.a      210.89111     27.887453     211.052733      27.626144     2021dep          42            2    
    376.2020esm.a     211.316737     -7.374202     211.505891      -7.772315     2021cjb          48            2    
          477.F.a     216.522959     15.593446     216.886787      15.524897     2021dam          36            2    
          428.B.a     223.440154      3.770551     223.279096       3.537253     2021dlb          41            2    
          632.C.a     241.864306     25.745045     242.025929      25.483736     2021dcu          42            1    
          477.E.a     215.906104      +2.442526     216.066837      +2.867767     2021dur         16            1
     477.E.a     215.906104      +2.442526     216.066837      +2.867767     2021dur          16   1 
    1658.C.a     102.703163     +27.911818     102.513992     +27.486092     2021esi          47  1
583.F.a     245.381540     20.496170     245.541762      21.222213     2021gez           6            1
