             pointing  group        RA       Dec  skip        SN               filename                 field detname  tilenumber
             1511.B.a   1511 124.36528  10.49278     0       NaN          1511.B.a.json                 1511B     NaN        <NA>
        181.A.2021ltk    181 211.94327 -39.62687     0   2021ltk     181.A.2021ltk.json               2021ltk     NaN        <NA>
      2021iuk_2021hiz    NaN 186.45583   6.98590     0 21iuk_hiz   2021iuk_2021hiz.json             21iuk_hiz     NaN        <NA>
              253.A.a    253  58.59323 -25.78954     0       NaN           253.A.a.json                  253A     NaN        <NA>
              253.B.a    253  58.59504 -22.69093     0       NaN           253.B.a.json                  253B     NaN        <NA>
              253.C.a    253  66.94323 -25.78954     0       NaN           253.C.a.json                  253C     NaN        <NA>
              253.D.a    253  53.08699 -27.78861     0       NaN           253.D.a.json                  253D     NaN        <NA>
              253.E.a    253  63.59414 -24.29022     0       NaN           253.E.a.json                  253E     NaN        <NA>
              253.F.a    253  66.89548 -21.89127     0       NaN           253.F.a.json                  253F     NaN        <NA>
              257.A.a    257  85.66643 -24.29022     0       NaN           257.A.a.json                  257A     NaN        <NA>
              257.B.a    257  81.86648 -24.19027     0       NaN           257.B.a.json                  257B     NaN        <NA>
              257.C.a    257  91.56552 -25.78954     0       NaN           257.C.a.json                  257C     NaN        <NA>
              257.D.a    257  90.56734 -22.69093     0       NaN           257.D.a.json                  257D     NaN        <NA>
              257.E.a    257  94.96552 -25.78954     0       NaN           257.E.a.json                  257E     NaN        <NA>
              257.F.a    257  93.96788 -21.69136     0       NaN           257.F.a.json                  257F     NaN        <NA>
              296.A.a    296  12.36117 -20.09204     0       NaN           296.A.a.json                  296A     NaN        <NA>
              296.C.a    296  17.40442 -18.59267     0       NaN           296.C.a.json                  296C     NaN        <NA>
              296.D.a    296  17.40587 -15.49393     0       NaN           296.D.a.json                  296D     NaN        <NA>
              296.E.a    296  20.64692 -18.59267     0       NaN           296.E.a.json                  296E     NaN        <NA>
              296.F.a    296  22.74890 -14.29440     0       NaN           296.F.a.json                  296F     NaN        <NA>
              311.A.a    311 120.30521 -18.58358     0       NaN                    NaN                  311A     NaN        <NA>
              311.B.a    311 120.30850 -15.48681     0       NaN                    NaN                  311B     NaN        <NA>
              311.C.a    311 123.54772 -18.58358     0       NaN                    NaN                  311C     NaN        <NA>
              311.D.a    311 123.55101 -15.48681     0       NaN                    NaN                  311D     NaN        <NA>
              311.E.a    311 126.79023 -18.58358     0       NaN                    NaN                  311E     NaN        <NA>
              311.F.a    311 126.79352 -15.48681     0       NaN                    NaN                  311F     NaN        <NA>
              353.A.a    353  60.01655 -11.39553     0       NaN           353.A.a.json                  353A     NaN        <NA>
              353.B.a    353  60.01779  -8.29671     0       NaN           353.B.a.json                  353B     NaN        <NA>
              353.C.a    353  63.21121 -11.39521     0       NaN           353.C.a.json                  353C     NaN        <NA>
              353.D.a    353  63.16417  -8.29671     0       NaN           353.D.a.json                  353D     NaN        <NA>
              353.E.a    353  66.30950 -10.89572     0       NaN           353.E.a.json                  353E     NaN        <NA>
              353.F.a    353  67.51074  -7.79690     0       NaN           353.F.a.json                  353F     NaN        <NA>
        365.A.2021lnf    365 143.82241 -16.76384     1   2021lnf     365.A.2021lnf.json               2021lnf     NaN        <NA>
              365.A.a    365 144.74716 -11.40000     0       NaN           365.A.a.json                  365A     NaN        <NA>
              365.B.a    365 144.74716  -8.30000     0       NaN           365.B.a.json                  365B     NaN        <NA>
              365.C.a    365 147.84716 -11.40000     0       NaN           365.C.a.json                  365C     NaN        <NA>
              365.D.a    365 147.84716  -8.30000     0       NaN           365.D.a.json                  365D     NaN        <NA>
              365.E.a    365 150.94716 -11.40000     0       NaN           365.E.a.json                  365E     NaN        <NA>
              365.F.a    365 150.94716  -8.30000     0       NaN           365.F.a.json                  365F     NaN        <NA>
        376.2020esm.a    376 211.31674  -7.37420     1   2020esm     376.2020esm.a.json               2020esm     NaN        <NA>
        376.A.2020esm    376 211.31674  -7.37420     1   2020esm     376.A.2020esm.json               2020esm     NaN        <NA>
        376.A.2021pfs    376 210.65978  -6.45686     0   2021pfs     376.A.2021pfs.json               2021pfs     NaN        <NA>
              376.A.a    376 212.57689  -5.12499     1       NaN         376.A_1.a.json                  376A     NaN        <NA>
              376.B.a    376 220.74857  -8.43880     0       NaN           376.B.a.json                  376B     NaN        <NA>
              376.C.a    376 223.89374 -11.53762     0       NaN           376.C.a.json                  376C     NaN        <NA>
              376.D.a    376 223.89499  -8.43880     0       NaN           376.D.a.json                  376D     NaN        <NA>
              376.E.a    376 227.04011 -11.53762     0       NaN           376.E.a.json                  376E     NaN        <NA>
              376.F.a    376 227.04136  -8.43880     0       NaN           376.F.a.json                  376F     NaN        <NA>
              401.A.a    401  35.86754  -4.14825     0       NaN           401.A.a.json                  401A     NaN        <NA>
              401.B.a    401  36.29869  -1.04941     0       NaN           401.B.a.json                  401B     NaN        <NA>
              401.D.a    401  40.20214  -0.74952     1       NaN           401.D.a.json                  401D     NaN        <NA>
