# Date  ID    RA     Dec       dt_min airmass_best airmass_ok airmass_acceptable jsonfilename
  03/18 CDF-S 52.65  -28.1     11     1.5          2.0        3.0                C3.json     
  03/18 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  03/21 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  03/23 CDF-S 52.65  -28.1     11     1.5          2.0        3.0                C3.json     
  03/23 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  03/27 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  03/30 CDF-S 52.65  -28.1     11     1.5          2.0        3.0                C3.json     
  03/30 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/02 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/05 CDF-S 52.65  -28.1     11     1.5          2.0        3.0                C3.json     
  04/05 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/08 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/11 CDF-S 52.65  -28.1     11     1.5          2.0        3.0                C3.json     
  04/11 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/14 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/17 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/20 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/24 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/26 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  04/26 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  04/28 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/02 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/02 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  05/05 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/08 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/08 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  05/11 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/14 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/14 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  05/17 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/21 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/21 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  05/23 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/26 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  05/26 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  05/29 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  06/01 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
  06/01 E12   7.8746 -43.0096  25     1.5          2.0        3.0                E12.json    
  06/04 S-CVZ 90.0   -66.56056 11     1.5          2.0        3.0                S-CVZ.json  
