2025mb_P1 [8 -28]
2024agld_P1 [18 -31]
2024aedt_P1 [27 7]
2025L_P1 [36 -22]
2025ie_P1 [37 -22]
2025fi_P1 [42 -14]
2025at_P1 [36 -9]
2025afh_P1 [47 -3]
2025kd_P1 [87 -25]
2025afx_P1 [103 -46]
2025kk_P1 [120 2]
2025acv_P1 [129 19]
2025gj_P1 [146 -20]
2025yz_P1 [154 -5]
2025hg_P1 [164 -2]
2025acu_P1 [158 0]
2024aewf_P1 [176 3]
2025aes_P1 [201 -35]
2025acj_P1 [195 3]
2025kj_P1 [212 -5]
2025afe_P1 [223 2]

2025J_P2 [42 -21]
2024aemo_P2 [63 -30]
2024aemk_P2 [87 -19]
2025gm_P2 [118 -19]
2024agky_P2 [140 -33]
2025hd_P2 [135 -23]
2025dd_P2 [163 -2]
2025an_P2 [164 11]
2025bg_P2 [157 21]
2024aevp_P2 [179 -13]
2025jh_P2 [194 -31]

2023vpo_P3 [7 13]
2024adzq_P3 [19 -32]
2022vrj_P3 [22 17]
2023tyl_P3 [25 20]
2023nzu_P3 [27 22]
2021abko_P3 [31 23]
2024adzv_P3 [36 -29]
2023olz_P3 [54 15]
2024aegm_P3 [106 23]
2024aeyv_P3 [116 -48]
2024aeis_P3 [120 -23]
2024aejs_P3 [166 -16]
2024adyi_P3 [167 -4]
2021lxb_P3 [196 28]
2022itd_P3 [273 11]
2023pbe_P3 [327 14]
2022mhe_P3 [352 8]
2024aeou_P3 [359 -34]
2024afxo_P3 [358 -12]

EVERYTHING	181.8 minutes
EVERYTHING_P1	67.5 minutes
