# Date  ID  RA  Dec  dt  airmass_best  airmass_ok  airmass_acceptable  jsonfilename
2021-03-18  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-03-18  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-03-18  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-03-18  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-03-18  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-03-21  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-03-21  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-03-21  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-03-21  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-03-21  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-03-23  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-03-23  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-03-23  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-03-23  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-03-23  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-03-27  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-03-27  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-03-27  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-03-27  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-03-27  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-03-30  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-03-30  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
