         field    RAh    RAm        RAs    decd    decm       decs    equinox   
   TILEID_1282     14      7    57.6000       1      34    48.0000       2000   
   TILEID_1260     14     14    34.8000       1      35    20.4000       2000   
   TILEID_1239     14     21     9.1200       1      35    49.2000       2000   
   TILEID_1219     14     27    41.0400       1      36    14.4000       2000   
   TILEID_1200     14     31     2.6400       3      12    43.2000       2000   
   TILEID_1201     14     34    10.5600       1      36    36.0000       2000   
   TILEID_1184     14     40    38.1600       1      36    54.0000       2000   
   TILEID_1168     14     47     3.8400       1      37    12.0000       2000   
   TILEID_1153     14     53    28.0800       1      37    26.4000       2000   
   TILEID_1169     14     50    13.9200       0       0     0.0000       2000   
   TILEID_1185     14     43    49.2000       0       0     0.0000       2000   
   TILEID_1202     14     37    22.8000       0       0     0.0000       2000   
   TILEID_1220     14     30    54.2400       0       0     0.0000       2000   
   TILEID_1240     14     24    23.7600       0       0     0.0000       2000   
   TILEID_1261     14     17    50.6400       0       0     0.0000       2000   
   TILEID_1283     14     11    15.1200       0       0     0.0000       2000   
   TILEID_1303     14      7    57.6000      -1      34    48.0000       2000   
   TILEID_1284     14     14    34.8000      -1      35    20.4000       2000   
   TILEID_1262     14     21     9.1200      -1      35    49.2000       2000   
   TILEID_1241     14     27    41.0400      -1      36    14.4000       2000   
   TILEID_1221     14     34    10.5600      -1      36    36.0000       2000   
   TILEID_1203     14     40    38.1600      -1      36    54.0000       2000   
   TILEID_1186     14     47     3.8400      -1      37    12.0000       2000   
   TILEID_1170     14     53    28.0800      -1      37    26.4000       2000   
   TILEID_1187     14     50    25.9200      -3      14    24.0000       2000   
   TILEID_1204     14     43    59.7600      -3      13    55.2000       2000   
   TILEID_1222     14     37    31.9200      -3      13    22.8000       2000   
   TILEID_1242     14     31     2.6400      -3      12    43.2000       2000   
   TILEID_1263     14     24    31.2000      -3      11    56.4000       2000   
   TILEID_1285     14     17    57.6000      -3      11     6.0000       2000   
   TILEID_1304     14     11    21.3600      -3      10     8.4000       2000   
